	louvain	kmeans	hc
CD4_1	1	4	0
CD4_2	0	4	0
CD4_3	0	4	0
CD4_4	1	4	2
CD4_5	0	4	0
CD4_6	1	4	0
CD4_7	0	4	2
CD4_8	0	4	0
CD4_9	3	4	0
CD4_10	0	4	0
CD4_11	4	4	2
CD4_12	0	4	0
CD4_13	1	2	0
CD4_14	3	4	2
CD4_15	1	4	0
CD4_16	0	4	0
CD4_17	3	2	1
CD4_18	0	2	0
CD4_19	0	4	0
CD4_20	0	4	0
CD4_21	0	4	0
CD4_22	0	2	0
CD4_23	0	4	0
CD4_24	3	4	0
CD4_25	3	4	0
CD4_26	1	2	0
CD4_27	0	4	0
CD4_28	0	4	2
CD4_29	0	4	1
CD4_30	0	4	0
CD4_31	1	4	2
CD4_32	3	4	2
CD4_33	3	4	0
CD4_34	3	4	0
CD4_35	0	4	0
CD4_36	1	4	2
CD4_37	3	2	0
CD4_38	0	4	0
CD4_39	1	4	2
CD4_40	0	4	0
CD4_41	0	4	0
CD4_42	0	4	0
CD4_43	0	4	0
CD4_44	1	4	0
CD4_45	1	4	0
CD4_46	1	4	0
CD4_47	3	4	0
CD4_48	1	4	2
CD4_49	0	4	0
CD4_50	3	4	0
CD4_51	1	4	0
CD4_52	0	4	0
CD4_53	1	2	0
CD4_54	3	4	0
CD4_55	3	2	0
CD4_56	0	4	2
CD4_57	1	2	0
CD4_58	1	4	0
CD4_59	3	4	0
CD4_60	1	4	0
CD4_61	1	4	0
CD4_62	1	4	0
CD4_63	0	4	0
CD4_64	0	4	0
CD4_65	1	4	0
CD4_66	0	4	0
CD4_67	4	4	0
CD4_68	0	4	2
CD4_69	0	2	0
CD4_70	3	4	0
CD4_71	3	4	2
CD4_72	0	4	2
CD4_73	0	2	0
CD4_74	3	4	0
CD4_75	3	2	0
CD4_76	0	4	2
CD4_77	0	2	0
CD4_78	3	4	2
CD4_79	1	4	0
CD4_80	3	2	2
CD4_81	0	4	2
CD4_82	1	4	0
CD4_83	0	4	0
CD4_84	0	4	2
CD4_85	0	4	0
CD4_86	0	4	0
CD4_87	0	4	0
CD4_88	0	4	2
CD4_89	0	4	1
CD4_90	3	4	2
CD4_91	1	2	0
CD4_92	3	4	0
CD4_93	1	4	0
CD4_94	0	4	0
CD4_95	0	4	0
CD4_96	1	4	0
CD4_97	1	4	0
CD4_98	0	4	0
CD4_99	3	4	0
CD4_100	0	4	0
CD4_101	0	4	0
CD4_102	0	4	0
CD4_103	0	4	0
CD4_104	1	4	2
CD4_105	1	4	0
CD4_106	0	4	2
CD4_107	0	2	0
CD4_108	3	4	0
CD4_109	0	4	0
CD4_110	1	4	2
CD4_111	0	2	0
CD4_112	1	2	0
CD4_113	0	4	0
CD4_114	0	4	1
CD4_115	0	4	0
CD4_116	1	4	0
CD4_117	3	4	0
CD4_118	3	4	0
CD4_119	3	4	2
CD4_120	0	4	0
CD4_121	0	4	0
CD4_122	0	4	0
CD4_123	0	4	2
CD4_124	3	4	0
CD4_125	1	4	0
CD4_126	1	4	0
CD4_127	0	4	0
CD4_128	0	4	0
CD4_129	0	4	2
CD4_130	0	4	0
CD4_131	0	4	0
CD4_132	3	2	0
CD4_133	0	2	2
CD4_134	0	2	2
CD4_135	1	4	0
CD4_136	3	4	0
CD4_137	3	4	0
CD4_138	0	4	2
CD4_139	0	4	0
CD4_140	3	4	0
CD4_141	3	4	0
CD4_142	3	2	0
CD4_143	0	4	4
CD4_144	1	4	0
CD4_145	0	4	0
CD4_146	0	4	0
CD4_147	4	4	0
CD4_148	0	4	0
CD4_149	1	4	0
CD4_150	0	4	0
CD4_151	0	4	0
CD4_152	1	4	0
CD4_153	3	2	0
CD4_154	0	4	0
CD4_155	3	4	0
CD4_156	0	4	2
CD4_157	0	4	0
CD4_158	1	4	0
CD4_159	0	4	0
CD4_160	0	2	0
CD4_161	0	4	0
CD4_162	0	2	2
CD4_163	0	4	2
CD4_164	0	2	0
CD4_165	3	4	2
CD4_166	0	4	0
CD4_167	0	4	0
CD4_168	0	4	0
CD4_169	4	4	0
CD4_170	0	4	0
CD4_171	3	4	0
CD4_172	0	2	0
CD4_173	0	4	0
CD4_174	3	4	0
CD4_175	1	4	0
CD4_176	3	2	0
CD4_177	3	4	0
CD4_178	3	4	0
CD4_179	0	4	2
CD4_180	0	4	2
CD4_181	1	4	0
CD4_182	0	4	0
CD4_183	0	4	0
CD4_184	0	4	0
