,ARI_Louvain,ARI_kmeans,ARI_HC,AMI_Louvain,AMI_kmeans,AMI_HC,Homogeneity_Louvain,Homogeneity_kmeans,Homogeneity_HC
Control,0.7797594765014705,0.7808280165702574,0.7909289479220291,0.8486784879853358,0.8458849471438296,0.84621800674514,0.8484696272525774,0.846676387775484,0.8464520803651695
BROCKMAN,0.5613278330189558,0.5552789800953717,0.6020352443605139,0.6853236837717462,0.6804932950952359,0.7171588883084645,0.6820407656712879,0.6810511709855014,0.7097155791969627
Cusanovich2018,0.992016762098606,0.7684449470489085,0.9781792961203318,0.9888670324543867,0.8915748590943218,0.9711119216455557,0.9889299067479566,0.8638825351367356,0.9712765140665318
cisTopic,0.9531954437261235,0.9475451103855309,0.9178937230688538,0.948381860080038,0.9438896852653549,0.9185007226361422,0.9486796231746227,0.9441939612607273,0.9188956119592965
chromVAR_kmers,0.4955893034922886,0.49799879289181426,0.5316369611323838,0.6047256415917732,0.6361525342725246,0.651478758780367,0.5874388944758498,0.6268893245530457,0.6411114461420147
chromVAR_motifs,0.3989006197570284,0.41040727061650445,0.3165926362782931,0.5537809841779395,0.5670976794873384,0.5136238024460519,0.5557224680315483,0.5693908458397663,0.5034477812032612
chromVAR_kmers_pca,0.6010486097846007,0.5968012780854766,0.5587170758815524,0.7205886455368952,0.7004581293216945,0.6686441347923813,0.7120375328011186,0.7015015230548824,0.6661856671426943
chromVAR_motifs_pca,0.400535812984262,0.34573864525073045,0.3931507954622226,0.553188982867722,0.5746133725761854,0.5323863925792657,0.5550767946899858,0.5615009751254765,0.5323873976095155
GeneScoring,0.008066085772127134,0.3560700619900538,0.24621117028248307,0.009204841910568048,0.43676243420470984,0.32488704059161727,0.014808577318462449,0.40979093973007985,0.2910859569831442
GeneScoring_pca,0.323091886388405,0.357344838357875,0.362712370535817,0.4177523535466306,0.4389167785978244,0.43975631426270106,0.40738010827370263,0.4282614126337696,0.427890716224073
Cicero,0.08784614301012632,0.47317322616184754,0.4207825154084284,0.09921928418858338,0.680706676346145,0.6194445356677851,0.10028725020891702,0.5591893292418657,0.5301663932669897
Cicero_pca,0.5303822318134404,0.5140691110021955,0.4480582597159435,0.6769718938817653,0.6283293900759355,0.583012075637359,0.642584370740488,0.6254299729180446,0.5748145867516679
SnapATAC,0.9960033869562319,0.9979966524484145,0.9860674110554488,0.9947554470551045,0.9970534508118033,0.9815761961124473,0.9947815227634181,0.9970695409928627,0.9816714797510234
Scasat,0.8591241659782991,0.7949098723134314,0.8016621417430234,0.8868035299972788,0.8513311013565585,0.853164049030464,0.887067638863083,0.8517431072466642,0.8537607346254239
scABC,0.3388290736168928,0.4214180234861215,0.6051208814815195,0.44117268953031064,0.6205265470628633,0.6878067362620159,0.39119967274978523,0.6003559816947294,0.6876620266664453
SCRAT,0.4944427015958643,0.5002755524766764,0.5167337232511288,0.6477509862996681,0.626947338360405,0.6366065581468023,0.6399185428761547,0.6283195538302221,0.6340031985519002
SCRAT_pca,0.4942984109902618,0.4949369445164465,0.49625422393907637,0.651300285107193,0.6278297101430673,0.6439161157199665,0.6399844227609351,0.6285372740011245,0.6412918730035022
