	louvain	kmeans	hc
CMP_1	6	1	10
CMP_2	6	6	11
CMP_3	6	6	11
CMP_4	6	1	10
CMP_5	6	1	10
CMP_6	6	1	10
CMP_7	6	1	10
CMP_8	6	1	10
CMP_9	6	1	10
CMP_10	6	1	10
CMP_11	6	6	11
CMP_12	6	1	10
CMP_13	6	1	10
CMP_14	6	6	11
CMP_15	6	1	10
CMP_16	6	1	10
CMP_17	6	6	11
CMP_18	6	6	10
CMP_19	6	6	10
CMP_20	6	6	11
CMP_21	6	1	10
CMP_22	6	1	10
CMP_23	6	6	11
CMP_24	6	6	11
CMP_25	6	1	10
CMP_26	6	1	10
CMP_27	6	1	10
CMP_28	6	6	11
CMP_29	6	1	10
CMP_30	6	1	10
CMP_31	6	1	10
CMP_32	6	6	11
CMP_33	6	1	10
CMP_34	6	6	11
CMP_35	6	1	10
CMP_36	6	1	10
CMP_37	6	1	10
CMP_38	6	6	11
CMP_39	6	1	10
CMP_40	6	6	11
CMP_41	6	1	10
CMP_42	6	6	11
CMP_43	6	1	10
CMP_44	6	6	11
CMP_45	6	1	10
CMP_46	6	1	10
CMP_47	6	1	10
CMP_48	6	6	11
CMP_49	6	1	10
CMP_50	6	6	11
CMP_51	6	1	10
CMP_52	6	1	10
CMP_53	6	6	10
CMP_54	6	6	11
CMP_55	6	1	10
CMP_56	6	6	11
CMP_57	6	6	11
CMP_58	6	1	10
CMP_59	6	6	11
CMP_60	6	6	11
CMP_61	6	1	10
CMP_62	6	1	10
CMP_63	6	1	10
CMP_64	6	1	10
CMP_65	6	1	10
CMP_66	6	1	10
CMP_67	6	6	10
CMP_68	6	6	10
CMP_69	6	1	10
CMP_70	6	1	10
CMP_71	6	1	10
CMP_72	6	6	11
CMP_73	6	1	10
CMP_74	6	6	11
CMP_75	6	1	10
CMP_76	6	6	11
CMP_77	6	6	11
CMP_78	6	1	10
CMP_79	6	6	11
CMP_80	6	6	11
CMP_81	6	1	10
CMP_82	6	6	11
CMP_83	6	1	10
CMP_84	6	6	11
CMP_85	6	6	11
CMP_86	6	6	11
CMP_87	6	6	11
CMP_88	6	1	10
CMP_89	6	6	11
CMP_90	6	1	10
CMP_91	6	1	10
CMP_92	6	6	11
CMP_93	6	6	11
CMP_94	6	6	11
CMP_95	6	1	10
CMP_96	6	6	11
CMP_97	6	1	10
CMP_98	6	1	10
CMP_99	6	6	11
CMP_100	6	1	10
HSC_101	11	4	4
HSC_102	0	11	5
HSC_103	11	4	4
HSC_104	11	4	4
HSC_105	11	4	4
HSC_106	11	4	4
HSC_107	0	4	4
HSC_108	0	4	5
HSC_109	11	4	4
HSC_110	0	4	4
HSC_111	0	11	5
HSC_112	0	4	5
HSC_113	0	11	5
HSC_114	11	4	4
HSC_115	11	4	4
HSC_116	11	4	4
HSC_117	11	4	4
HSC_118	0	4	5
HSC_119	0	11	5
HSC_120	0	11	5
HSC_121	0	11	5
HSC_122	0	11	5
HSC_123	0	11	5
HSC_124	11	4	4
HSC_125	11	4	4
HSC_126	0	11	5
HSC_127	11	4	4
HSC_128	0	4	5
HSC_129	11	4	4
HSC_130	11	4	4
HSC_131	0	4	5
HSC_132	11	4	4
HSC_133	11	4	4
HSC_134	0	11	5
HSC_135	0	4	5
HSC_136	0	11	5
HSC_137	11	4	4
HSC_138	11	4	4
HSC_139	0	11	5
HSC_140	0	11	5
HSC_141	11	4	4
HSC_142	11	4	4
HSC_143	11	4	4
HSC_144	0	11	5
HSC_145	0	11	5
HSC_146	0	11	5
