	louvain	kmeans	hc
CMP_1	6	0	2
CMP_2	5	0	1
CMP_3	3	0	3
CMP_4	5	0	8
CMP_5	0	0	10
CMP_6	7	0	1
CMP_7	5	0	1
CMP_8	0	0	10
CMP_9	1	0	2
CMP_10	6	0	10
CMP_11	9	0	3
CMP_12	5	0	3
CMP_13	7	0	8
CMP_14	4	0	2
CMP_15	0	0	2
CMP_16	1	0	2
CMP_17	0	0	1
CMP_18	7	0	4
CMP_19	2	3	3
CMP_20	1	0	4
CMP_21	9	0	1
CMP_22	4	0	10
CMP_23	11	0	3
CMP_24	9	0	6
CMP_25	9	0	1
CMP_26	11	0	3
CMP_27	10	0	2
CMP_28	4	0	4
CMP_29	9	0	4
CMP_30	3	0	2
CMP_31	1	0	1
CMP_32	5	0	3
CMP_33	8	0	2
CMP_34	5	0	6
CMP_35	0	0	2
CMP_36	6	0	8
CMP_37	4	0	8
CMP_38	3	0	2
CMP_39	9	0	2
CMP_40	0	0	3
CMP_41	8	0	1
CMP_42	6	0	1
CMP_43	2	0	2
CMP_44	1	0	2
CMP_45	10	0	6
CMP_46	1	0	1
CMP_47	8	0	4
CMP_48	0	0	3
CMP_49	5	0	1
CMP_50	1	0	2
CMP_51	0	0	4
CMP_52	0	0	10
CMP_53	0	0	2
CMP_54	1	0	1
CMP_55	3	0	1
CMP_56	3	0	1
CMP_57	10	0	6
CMP_58	10	0	8
CMP_59	0	0	1
CMP_60	1	0	2
CMP_61	0	0	10
CMP_62	9	0	1
CMP_63	5	0	1
CMP_64	0	0	10
CMP_65	0	0	10
CMP_66	1	0	1
CMP_67	2	0	2
CMP_68	0	0	2
CMP_69	7	0	10
CMP_70	0	0	8
CMP_71	2	0	10
CMP_72	10	0	1
CMP_73	2	0	2
CMP_74	0	0	2
CMP_75	10	0	2
CMP_76	10	0	4
CMP_77	4	0	3
CMP_78	1	0	1
CMP_79	4	0	1
CMP_80	7	0	3
CMP_81	8	0	2
CMP_82	3	0	1
CMP_83	4	0	1
CMP_84	1	0	2
CMP_85	0	0	8
CMP_86	3	0	4
CMP_87	8	0	1
CMP_88	2	0	3
CMP_89	8	0	1
CMP_90	8	11	6
CMP_91	3	0	8
CMP_92	10	0	2
CMP_93	2	0	2
CMP_94	8	0	2
CMP_95	1	0	1
CMP_96	0	0	1
CMP_97	3	0	10
CMP_98	0	0	2
CMP_99	0	0	3
CMP_100	0	0	1
HSC_101	0	0	2
HSC_102	2	0	4
HSC_103	5	0	2
HSC_104	6	0	2
HSC_105	4	0	2
HSC_106	0	0	3
HSC_107	6	0	2
HSC_108	3	0	2
HSC_109	10	0	3
HSC_110	3	0	1
HSC_111	3	0	2
HSC_112	0	0	2
HSC_113	0	0	2
HSC_114	4	0	2
HSC_115	2	0	2
HSC_116	4	0	2
HSC_117	4	0	2
HSC_118	4	0	2
HSC_119	0	0	2
HSC_120	1	0	2
HSC_121	0	0	2
HSC_122	8	0	2
HSC_123	11	0	2
HSC_124	7	0	2
HSC_125	5	0	2
HSC_126	3	0	2
HSC_127	3	0	2
HSC_128	7	0	2
HSC_129	4	0	2
HSC_130	3	0	2
HSC_131	3	0	2
HSC_132	0	0	2
HSC_133	3	0	3
HSC_134	3	0	8
HSC_135	1	0	3
HSC_136	2	0	2
HSC_137	4	0	6
HSC_138	10	0	2
HSC_139	1	0	2
HSC_140	0	0	2
HSC_141	11	0	2
HSC_142	3	0	3
HSC_143	7	0	2
HSC_144	4	0	2
HSC_145	7	0	2
HSC_146	10	0	2
HSC_147	10	0	2
HSC_148	4	0	2
HSC_149	6	0	2
HSC_150	2	0	3
HSC_151	0	0	2
HSC_152	0	0	2
HSC_153	10	0	2
HSC_154	11	0	2
HSC_155	11	0	2
HSC_156	0	0	1
HSC_157	0	0	2
HSC_158	7	0	2
HSC_159	10	0	3
HSC_160	2	0	2
HSC_161	1	0	2
HSC_162	2	0	2
HSC_163	0	0	2
HSC_164	6	0	2
HSC_165	7	0	2
HSC_166	5	0	2
HSC_167	2	0	3
HSC_168	11	0	2
HSC_169	3	0	2
HSC_170	0	0	2
HSC_171	6	0	2
HSC_172	8	0	1
HSC_173	6	0	2
HSC_174	0	0	2
HSC_175	4	0	2
HSC_176	10	0	2
HSC_177	6	0	2
HSC_178	0	0	2
HSC_179	2	0	2
HSC_180	2	0	3
HSC_181	11	0	1
HSC_182	11	0	2
HSC_183	7	0	2
HSC_184	3	0	2
HSC_185	10	0	2
HSC_186	0	0	2
HSC_187	0	0	2
HSC_188	0	0	2
HSC_189	7	0	1
HSC_190	3	0	2
HSC_191	1	0	2
HSC_192	4	0	2
HSC_193	0	0	2
HSC_194	0	0	2
HSC_195	4	0	2
HSC_196	0	0	2
HSC_197	0	0	2
HSC_198	0	0	2
HSC_199	2	0	2
HSC_200	2	0	2
MEP_201	0	0	1
MEP_202	9	0	1
MEP_203	1	0	1
MEP_204	4	0	6
MEP_205	1	0	4
MEP_206	0	0	8
MEP_207	7	0	4
MEP_208	7	0	1
MEP_209	0	0	1
MEP_210	6	2	4
MEP_211	3	0	3
MEP_212	0	0	1
MEP_213	0	0	3
MEP_214	11	0	3
MEP_215	0	0	4
MEP_216	10	0	4
MEP_217	0	0	10
MEP_218	3	0	4
MEP_219	5	0	8
MEP_220	6	0	1
MEP_221	2	0	10
MEP_222	3	0	4
MEP_223	8	0	1
MEP_224	3	0	4
MEP_225	6	0	4
MEP_226	4	0	3
MEP_227	2	0	4
MEP_228	0	0	2
MEP_229	5	0	4
MEP_230	7	0	4
MEP_231	0	0	3
MEP_232	0	0	1
MEP_233	0	0	10
MEP_234	9	0	4
MEP_235	10	0	6
MEP_236	9	0	6
MEP_237	8	0	1
MEP_238	1	0	10
MEP_239	0	0	4
MEP_240	10	0	4
MEP_241	6	0	10
MEP_242	4	0	3
MEP_243	3	0	4
MEP_244	0	0	4
MEP_245	8	0	1
MEP_246	1	7	1
MEP_247	6	0	3
MEP_248	10	0	8
MEP_249	8	0	10
MEP_250	8	0	5
MEP_251	7	0	2
MEP_252	3	0	1
