	louvain	kmeans	hc
CMP_1	7	5	9
CMP_2	2	7	7
CMP_3	9	5	0
CMP_4	5	10	5
CMP_5	2	7	7
CMP_6	5	10	5
CMP_7	9	5	10
CMP_8	5	10	5
CMP_9	2	7	10
CMP_10	9	5	10
CMP_11	9	5	0
CMP_12	2	7	10
CMP_13	7	0	9
CMP_14	7	0	10
CMP_15	5	10	5
CMP_16	11	0	0
CMP_17	5	10	5
CMP_18	2	7	10
CMP_19	9	5	0
CMP_20	9	5	0
CMP_21	2	7	10
CMP_22	2	7	10
CMP_23	5	0	5
CMP_24	2	5	10
CMP_25	2	7	7
CMP_26	7	7	10
CMP_27	7	5	9
CMP_28	7	7	10
CMP_29	9	5	0
CMP_30	9	5	0
CMP_31	9	5	0
CMP_32	5	10	5
CMP_33	9	0	10
CMP_34	5	10	5
CMP_35	7	0	10
CMP_36	9	5	9
CMP_37	11	0	9
CMP_38	5	10	10
CMP_39	9	0	0
CMP_40	5	10	5
CMP_41	5	10	5
CMP_42	5	10	5
CMP_43	2	7	10
CMP_44	11	0	9
CMP_45	2	5	10
CMP_46	5	10	5
CMP_47	9	5	0
CMP_48	9	5	0
CMP_49	2	7	7
CMP_50	2	7	10
CMP_51	7	5	10
CMP_52	5	10	5
CMP_53	5	10	5
CMP_54	7	7	10
CMP_55	2	7	10
CMP_56	11	0	0
CMP_57	7	5	9
CMP_58	7	5	9
CMP_59	2	5	10
CMP_60	2	7	10
CMP_61	9	5	0
CMP_62	5	10	5
CMP_63	5	10	5
CMP_64	5	10	9
CMP_65	5	10	5
CMP_66	11	0	9
CMP_67	2	7	10
CMP_68	7	5	9
CMP_69	5	10	5
CMP_70	7	0	9
CMP_71	5	10	5
CMP_72	5	10	5
CMP_73	2	7	10
CMP_74	11	0	0
CMP_75	2	0	0
CMP_76	7	5	9
CMP_77	2	7	10
CMP_78	11	0	0
CMP_79	2	0	10
CMP_80	2	0	10
CMP_81	11	0	0
CMP_82	2	7	10
CMP_83	2	7	7
CMP_84	2	0	10
CMP_85	5	10	5
CMP_86	9	5	0
CMP_87	11	0	0
CMP_88	9	0	10
CMP_89	2	7	10
CMP_90	2	7	10
CMP_91	5	10	5
CMP_92	9	7	0
CMP_93	2	7	10
CMP_94	2	7	10
CMP_95	2	7	10
CMP_96	11	0	0
CMP_97	5	10	5
CMP_98	7	0	9
CMP_99	9	5	0
CMP_100	9	5	0
HSC_101	2	0	10
HSC_102	9	5	0
HSC_103	5	10	5
HSC_104	11	0	0
HSC_105	2	7	10
HSC_106	2	0	10
HSC_107	7	0	10
HSC_108	5	10	5
HSC_109	5	10	5
HSC_110	11	0	10
HSC_111	2	7	7
HSC_112	5	10	5
HSC_113	11	0	0
HSC_114	2	7	10
HSC_115	9	5	0
HSC_116	2	7	10
HSC_117	5	10	5
HSC_118	7	5	10
HSC_119	5	10	7
HSC_120	5	0	10
HSC_121	5	5	5
HSC_122	7	0	10
HSC_123	2	5	10
HSC_124	2	0	10
HSC_125	2	7	5
HSC_126	5	10	5
HSC_127	9	0	10
HSC_128	9	0	0
HSC_129	7	5	9
HSC_130	2	7	10
HSC_131	2	7	10
HSC_132	5	10	5
HSC_133	2	7	10
HSC_134	7	0	10
HSC_135	2	7	10
HSC_136	2	5	10
HSC_137	2	7	7
HSC_138	9	7	10
HSC_139	7	7	10
HSC_140	11	0	0
HSC_141	5	10	5
HSC_142	2	7	10
HSC_143	2	7	10
HSC_144	7	5	9
HSC_145	11	0	10
HSC_146	5	10	5
HSC_147	9	5	9
HSC_148	2	0	10
HSC_149	2	7	10
HSC_150	2	7	10
HSC_151	2	7	10
HSC_152	2	7	10
HSC_153	5	10	5
HSC_154	5	10	5
HSC_155	2	7	10
HSC_156	11	0	10
