	louvain	kmeans	hc
CMP_1	5	11	7
CMP_2	5	11	7
CMP_3	5	11	7
CMP_4	5	11	7
CMP_5	5	11	7
CMP_6	5	11	7
CMP_7	5	11	7
CMP_8	5	11	7
CMP_9	5	11	7
CMP_10	5	11	7
CMP_11	5	11	7
CMP_12	5	11	7
CMP_13	5	11	7
CMP_14	5	11	7
CMP_15	5	11	7
CMP_16	5	11	7
CMP_17	5	11	7
CMP_18	5	11	7
CMP_19	5	11	7
CMP_20	5	11	7
CMP_21	5	11	7
CMP_22	5	11	7
CMP_23	5	11	7
CMP_24	5	11	7
CMP_25	5	11	7
CMP_26	5	11	7
CMP_27	5	11	7
CMP_28	5	11	7
CMP_29	5	11	7
CMP_30	5	11	7
CMP_31	5	11	7
CMP_32	5	11	7
CMP_33	5	11	7
CMP_34	5	11	7
CMP_35	5	11	7
CMP_36	5	11	7
CMP_37	5	11	7
CMP_38	5	11	7
CMP_39	5	11	7
CMP_40	5	11	7
CMP_41	5	11	7
CMP_42	5	11	7
CMP_43	5	11	7
CMP_44	5	11	7
CMP_45	5	11	7
CMP_46	5	11	7
CMP_47	5	11	7
CMP_48	5	11	7
CMP_49	5	11	7
CMP_50	5	11	7
CMP_51	5	11	7
CMP_52	5	11	7
CMP_53	5	11	7
CMP_54	5	11	7
CMP_55	5	11	7
CMP_56	5	11	7
CMP_57	5	11	7
CMP_58	5	11	7
CMP_59	5	11	7
CMP_60	5	11	7
CMP_61	5	11	7
CMP_62	5	11	7
CMP_63	5	11	7
CMP_64	5	11	7
CMP_65	5	11	7
CMP_66	5	11	7
CMP_67	5	11	7
CMP_68	5	11	7
CMP_69	5	11	7
CMP_70	5	11	7
CMP_71	5	11	7
CMP_72	5	11	7
CMP_73	5	11	7
CMP_74	5	11	7
CMP_75	5	11	7
CMP_76	5	11	7
CMP_77	5	11	7
CMP_78	5	11	7
CMP_79	5	11	7
CMP_80	5	11	7
CMP_81	5	11	7
CMP_82	5	11	7
CMP_83	5	11	7
CMP_84	5	11	7
CMP_85	5	11	7
CMP_86	5	11	7
CMP_87	5	11	7
CMP_88	5	11	7
CMP_89	5	11	7
CMP_90	5	11	7
CMP_91	5	11	7
CMP_92	5	11	7
CMP_93	5	11	7
CMP_94	5	11	7
CMP_95	5	11	7
CMP_96	5	11	7
CMP_97	5	11	7
CMP_98	5	11	7
CMP_99	5	11	7
CMP_100	5	11	7
HSC_101	11	3	10
HSC_102	0	7	5
HSC_103	0	7	5
HSC_104	11	3	10
HSC_105	0	7	5
HSC_106	11	3	5
HSC_107	11	3	5
HSC_108	11	3	10
HSC_109	0	7	5
HSC_110	11	3	10
HSC_111	11	3	5
HSC_112	0	7	5
