	louvain	kmeans	hc
CMP_1	3	6	6
CMP_2	3	6	6
CMP_3	3	6	6
CMP_4	3	6	6
CMP_5	3	6	6
CMP_6	3	6	6
CMP_7	3	6	6
CMP_8	3	6	6
CMP_9	3	6	6
CMP_10	3	6	6
CMP_11	3	6	6
CMP_12	3	6	6
CMP_13	3	6	6
CMP_14	3	6	6
CMP_15	3	6	6
CMP_16	3	6	6
CMP_17	3	6	6
CMP_18	3	6	6
CMP_19	3	6	6
CMP_20	3	6	6
CMP_21	3	6	6
CMP_22	3	6	6
CMP_23	3	6	6
CMP_24	3	6	6
CMP_25	3	6	6
CMP_26	3	6	6
CMP_27	3	6	6
CMP_28	3	6	6
CMP_29	3	6	6
CMP_30	3	6	6
CMP_31	3	6	6
CMP_32	3	6	6
CMP_33	3	6	6
CMP_34	3	6	6
CMP_35	3	6	6
CMP_36	3	6	6
CMP_37	3	6	6
CMP_38	3	6	6
CMP_39	3	6	6
CMP_40	3	6	6
CMP_41	3	6	6
CMP_42	3	6	6
CMP_43	3	6	6
CMP_44	3	6	6
CMP_45	3	6	6
CMP_46	3	6	6
CMP_47	3	6	6
CMP_48	3	6	6
CMP_49	3	6	6
CMP_50	3	6	6
CMP_51	3	6	6
CMP_52	3	6	6
CMP_53	3	6	6
CMP_54	3	6	6
CMP_55	3	6	6
CMP_56	3	6	6
CMP_57	3	6	6
CMP_58	3	6	6
CMP_59	3	6	6
CMP_60	3	6	6
CMP_61	3	6	6
CMP_62	3	6	6
CMP_63	3	6	6
CMP_64	3	6	6
CMP_65	3	6	6
CMP_66	3	6	6
CMP_67	3	6	6
CMP_68	3	6	6
CMP_69	3	6	6
CMP_70	3	6	6
CMP_71	3	6	6
CMP_72	3	6	6
CMP_73	3	6	6
CMP_74	3	6	6
CMP_75	3	6	6
CMP_76	3	6	6
CMP_77	3	6	6
CMP_78	3	6	6
CMP_79	3	6	6
CMP_80	3	6	6
CMP_81	3	6	6
CMP_82	3	6	6
