	louvain	kmeans	hc
CMP_1	4	11	8
CMP_2	2	11	8
CMP_3	8	11	8
CMP_4	6	11	8
CMP_5	8	11	8
CMP_6	0	11	8
CMP_7	0	11	8
CMP_8	0	11	8
CMP_9	3	11	8
CMP_10	0	11	8
CMP_11	11	11	8
CMP_12	7	11	8
CMP_13	1	11	8
CMP_14	7	11	8
CMP_15	10	11	8
CMP_16	1	11	8
CMP_17	3	11	8
CMP_18	11	11	8
CMP_19	8	11	8
CMP_20	0	11	8
CMP_21	10	11	8
CMP_22	0	11	8
CMP_23	2	11	8
CMP_24	3	11	8
CMP_25	3	11	8
CMP_26	9	11	8
CMP_27	7	11	8
CMP_28	10	11	8
CMP_29	0	11	8
CMP_30	8	11	8
CMP_31	7	11	8
CMP_32	0	11	8
CMP_33	1	11	8
CMP_34	11	11	8
CMP_35	4	11	8
CMP_36	5	11	7
CMP_37	1	11	8
CMP_38	11	11	8
CMP_39	9	11	8
CMP_40	5	11	7
CMP_41	10	11	8
CMP_42	2	11	8
CMP_43	0	11	8
CMP_44	5	11	8
CMP_45	0	11	8
CMP_46	3	11	8
CMP_47	11	11	8
CMP_48	4	11	8
CMP_49	11	11	8
CMP_50	4	11	8
CMP_51	5	11	7
CMP_52	8	11	8
CMP_53	7	11	8
CMP_54	11	11	8
CMP_55	3	11	8
CMP_56	7	11	8
CMP_57	7	11	8
CMP_58	6	11	8
CMP_59	11	11	8
CMP_60	6	11	8
CMP_61	3	11	8
CMP_62	4	11	8
CMP_63	0	11	8
CMP_64	5	11	7
CMP_65	0	11	8
CMP_66	4	11	8
CMP_67	2	11	8
CMP_68	9	11	8
CMP_69	0	11	8
CMP_70	3	11	8
CMP_71	7	11	8
CMP_72	5	11	8
CMP_73	6	11	8
CMP_74	8	11	8
CMP_75	0	11	8
CMP_76	1	11	8
CMP_77	1	11	8
CMP_78	10	11	8
CMP_79	5	11	7
CMP_80	6	11	8
CMP_81	0	11	8
CMP_82	0	11	8
CMP_83	2	11	8
CMP_84	2	11	8
CMP_85	2	11	8
CMP_86	0	11	8
CMP_87	0	11	8
CMP_88	8	11	8
CMP_89	2	11	8
CMP_90	4	11	8
CMP_91	8	11	8
CMP_92	3	11	8
CMP_93	8	11	8
CMP_94	7	11	8
CMP_95	1	11	8
CMP_96	4	11	8
CMP_97	7	11	8
CMP_98	7	11	8
CMP_99	0	11	8
CMP_100	7	11	8
HSC_101	4	11	8
HSC_102	4	11	8
HSC_103	0	11	8
HSC_104	4	11	8
HSC_105	2	11	8
HSC_106	7	11	8
HSC_107	1	11	8
HSC_108	0	11	8
HSC_109	0	11	8
HSC_110	0	11	8
HSC_111	0	11	8
HSC_112	7	11	8
HSC_113	11	11	8
HSC_114	0	11	8
HSC_115	9	11	8
HSC_116	8	11	8
HSC_117	0	11	8
HSC_118	3	11	8
HSC_119	4	11	8
HSC_120	0	11	8
HSC_121	4	11	8
HSC_122	4	11	8
HSC_123	6	11	8
HSC_124	9	11	8
HSC_125	1	11	8
HSC_126	1	11	8
HSC_127	0	11	8
HSC_128	2	11	8
HSC_129	0	11	8
HSC_130	2	11	8
HSC_131	0	11	8
HSC_132	0	11	8
HSC_133	10	11	8
HSC_134	7	11	8
HSC_135	7	11	8
HSC_136	0	11	8
HSC_137	4	11	8
HSC_138	0	11	8
HSC_139	0	11	8
HSC_140	0	11	8
HSC_141	4	11	8
HSC_142	0	11	8
HSC_143	3	11	8
HSC_144	0	11	8
HSC_145	2	11	8
HSC_146	6	11	8
HSC_147	6	11	8
HSC_148	1	11	8
HSC_149	5	11	7
HSC_150	4	11	8
HSC_151	8	11	8
HSC_152	9	11	8
HSC_153	4	11	8
HSC_154	6	11	8
HSC_155	7	11	8
HSC_156	5	11	8
HSC_157	11	11	8
HSC_158	8	11	8
HSC_159	1	11	8
HSC_160	0	11	8
HSC_161	4	11	8
HSC_162	3	11	8
HSC_163	4	11	8
HSC_164	0	11	8
HSC_165	0	11	8
HSC_166	8	11	8
HSC_167	2	11	8
HSC_168	1	11	8
HSC_169	9	11	8
HSC_170	4	11	8
HSC_171	2	11	8
HSC_172	5	11	7
HSC_173	4	11	8
HSC_174	0	11	8
HSC_175	2	11	8
HSC_176	5	11	7
HSC_177	5	11	7
HSC_178	5	11	8
HSC_179	0	11	8
HSC_180	2	11	8
HSC_181	6	11	8
HSC_182	0	11	8
HSC_183	5	11	7
HSC_184	2	11	8
HSC_185	5	11	7
HSC_186	6	11	8
HSC_187	8	11	8
HSC_188	1	11	8
HSC_189	8	11	8
HSC_190	5	11	8
HSC_191	2	11	8
HSC_192	4	11	8
HSC_193	11	11	8
HSC_194	0	11	8
HSC_195	0	11	8
HSC_196	0	11	8
HSC_197	3	11	8
HSC_198	9	11	8
HSC_199	6	11	8
HSC_200	0	11	8
MEP_201	8	11	8
MEP_202	5	11	7
MEP_203	11	11	8
MEP_204	2	11	8
MEP_205	3	11	8
MEP_206	3	11	8
MEP_207	7	11	8
MEP_208	9	11	8
MEP_209	3	11	8
MEP_210	3	11	8
MEP_211	4	11	8
MEP_212	2	11	8
MEP_213	10	11	8
MEP_214	10	11	8
MEP_215	2	11	8
MEP_216	7	11	8
MEP_217	1	11	8
MEP_218	8	11	8
MEP_219	5	11	8
MEP_220	8	11	8
MEP_221	10	11	8
MEP_222	0	11	8
MEP_223	11	11	8
MEP_224	2	11	8
MEP_225	2	11	8
MEP_226	3	11	8
MEP_227	2	11	8
MEP_228	3	11	8
MEP_229	5	11	8
MEP_230	6	11	8
MEP_231	4	11	8
MEP_232	1	11	8
MEP_233	3	11	8
MEP_234	10	11	8
MEP_235	5	11	7
MEP_236	2	11	8
MEP_237	11	11	8
MEP_238	2	11	8
MEP_239	4	11	8
MEP_240	9	11	8
MEP_241	10	11	8
MEP_242	0	11	8
MEP_243	1	11	8
MEP_244	0	11	8
MEP_245	3	11	8
MEP_246	5	11	7
MEP_247	5	11	7
MEP_248	7	11	8
MEP_249	6	11	8
MEP_250	2	11	8
MEP_251	0	11	8
MEP_252	1	11	8
MEP_253	8	11	8
MEP_254	4	11	8
MEP_255	10	11	8
MEP_256	5	11	8
MEP_257	8	11	8
MEP_258	5	11	7
MEP_259	10	11	8
MEP_260	2	11	8
MEP_261	0	11	8
MEP_262	6	11	8
MEP_263	2	11	8
MEP_264	10	11	8
MEP_265	9	11	8
MEP_266	1	11	8
MEP_267	3	11	8
MEP_268	5	11	8
MEP_269	8	11	8
MEP_270	0	11	8
MEP_271	6	11	8
MEP_272	7	11	8
MEP_273	0	11	8
MEP_274	7	11	8
MEP_275	10	11	8
MEP_276	1	11	8
MEP_277	11	11	8
MEP_278	0	11	8
MEP_279	8	11	8
MEP_280	5	11	7
MEP_281	11	11	8
MEP_282	9	11	8
MEP_283	3	11	8
MEP_284	2	11	8
MEP_285	11	11	8
MEP_286	6	11	8
MEP_287	4	11	8
MEP_288	1	11	8
MEP_289	9	11	8
MEP_290	1	11	8
MEP_291	9	11	8
MEP_292	2	11	8
MEP_293	5	11	7
MEP_294	4	11	8
MEP_295	0	11	8
MEP_296	7	11	8
MEP_297	4	11	8
MEP_298	9	11	8
MEP_299	0	11	8
MEP_300	1	11	8
MPP_301	7	11	8
MPP_302	4	11	8
MPP_303	2	3	8
MPP_304	1	11	8
MPP_305	0	11	8
MPP_306	0	11	8
MPP_307	0	11	8
MPP_308	0	11	8
MPP_309	0	11	8
MPP_310	1	11	8
MPP_311	0	11	8
MPP_312	9	11	8
MPP_313	4	11	8
MPP_314	4	11	8
MPP_315	0	11	8
MPP_316	0	11	8
MPP_317	4	11	8
MPP_318	6	11	8
MPP_319	0	11	8
MPP_320	7	11	8
MPP_321	4	11	8
MPP_322	0	11	8
MPP_323	0	1	8
MPP_324	4	11	8
MPP_325	8	11	8
MPP_326	0	11	8
MPP_327	11	11	8
MPP_328	0	11	8
MPP_329	3	11	8
MPP_330	2	11	8
MPP_331	11	11	8
MPP_332	11	11	8
MPP_333	11	11	8
MPP_334	0	11	8
MPP_335	0	11	8
MPP_336	3	11	8
MPP_337	1	11	8
MPP_338	1	11	8
MPP_339	2	11	8
MPP_340	4	11	8
MPP_341	8	11	8
MPP_342	0	11	8
MPP_343	0	11	8
MPP_344	2	11	8
MPP_345	8	11	8
MPP_346	0	11	8
MPP_347	1	11	8
MPP_348	7	11	8
MPP_349	5	11	7
MPP_350	7	11	8
MPP_351	11	11	8
MPP_352	0	11	8
MPP_353	1	11	8
MPP_354	6	11	8
MPP_355	1	11	8
MPP_356	2	11	8
MPP_357	0	11	8
MPP_358	2	11	8
MPP_359	6	11	8
MPP_360	2	11	8
MPP_361	11	11	8
MPP_362	3	11	8
MPP_363	0	11	8
MPP_364	8	11	8
MPP_365	2	11	8
MPP_366	7	11	8
MPP_367	8	11	8
MPP_368	1	11	8
MPP_369	7	11	8
MPP_370	2	11	8
MPP_371	0	11	8
MPP_372	5	11	8
MPP_373	1	11	8
MPP_374	0	11	8
MPP_375	4	11	8
MPP_376	7	11	8
MPP_377	0	11	8
MPP_378	11	11	8
MPP_379	0	11	8
MPP_380	3	11	8
MPP_381	0	11	8
MPP_382	7	11	8
MPP_383	6	11	8
MPP_384	0	11	8
MPP_385	0	11	8
MPP_386	0	11	8
MPP_387	0	11	8
MPP_388	0	11	8
MPP_389	3	11	8
