	louvain	kmeans	hc
CMP_1	7	1	10
CMP_2	7	1	10
CMP_3	7	1	10
CMP_4	7	1	10
CMP_5	3	9	6
CMP_6	7	1	10
CMP_7	7	1	10
CMP_8	4	1	10
CMP_9	11	1	10
CMP_10	3	9	6
CMP_11	11	1	10
CMP_12	7	1	10
CMP_13	3	9	6
CMP_14	7	1	10
CMP_15	10	1	10
CMP_16	4	1	10
CMP_17	4	1	10
CMP_18	7	1	10
CMP_19	10	1	10
CMP_20	10	1	10
CMP_21	4	1	10
CMP_22	3	9	6
CMP_23	3	9	6
CMP_24	7	1	10
CMP_25	4	1	10
CMP_26	4	1	10
CMP_27	3	9	6
CMP_28	7	1	10
CMP_29	7	1	10
CMP_30	11	1	10
CMP_31	3	9	6
CMP_32	10	1	10
CMP_33	10	1	10
CMP_34	4	1	10
CMP_35	7	1	10
CMP_36	4	1	10
CMP_37	4	1	10
CMP_38	4	1	10
CMP_39	7	1	10
CMP_40	3	9	6
CMP_41	3	9	6
CMP_42	3	9	6
CMP_43	11	1	10
CMP_44	3	9	6
CMP_45	10	1	10
CMP_46	10	1	10
CMP_47	10	1	10
CMP_48	3	9	6
CMP_49	10	1	10
CMP_50	7	1	10
CMP_51	4	1	10
CMP_52	4	1	10
CMP_53	4	1	10
CMP_54	4	1	10
CMP_55	10	1	10
CMP_56	7	1	10
CMP_57	4	1	10
CMP_58	4	1	10
CMP_59	10	1	10
CMP_60	4	1	6
CMP_61	10	1	10
CMP_62	10	1	10
CMP_63	10	1	10
CMP_64	4	1	10
CMP_65	7	1	10
CMP_66	11	1	10
CMP_67	4	1	10
CMP_68	4	1	10
CMP_69	7	1	10
CMP_70	7	1	10
CMP_71	4	1	10
CMP_72	10	1	10
CMP_73	3	9	6
CMP_74	7	1	10
CMP_75	4	1	10
CMP_76	3	9	6
CMP_77	7	1	10
CMP_78	10	1	10
CMP_79	4	1	10
CMP_80	7	1	10
CMP_81	4	1	10
CMP_82	11	1	10
CMP_83	3	9	6
CMP_84	10	1	10
CMP_85	3	9	6
CMP_86	11	1	10
CMP_87	7	1	10
CMP_88	3	9	6
CMP_89	3	9	6
CMP_90	11	1	10
CMP_91	3	9	6
CMP_92	10	1	10
CMP_93	7	1	10
CMP_94	10	1	10
CMP_95	4	1	10
CMP_96	11	1	10
CMP_97	10	1	10
CMP_98	7	1	10
CMP_99	3	9	6
CMP_100	7	1	10
HSC_101	11	1	10
HSC_102	7	1	10
HSC_103	10	1	10
HSC_104	7	1	10
HSC_105	4	1	10
HSC_106	7	1	10
HSC_107	4	1	10
HSC_108	3	9	6
HSC_109	10	1	10
HSC_110	4	1	10
HSC_111	4	1	10
HSC_112	11	1	10
HSC_113	11	1	10
HSC_114	10	1	10
HSC_115	4	1	10
HSC_116	10	1	10
HSC_117	7	1	10
HSC_118	7	1	10
HSC_119	7	1	10
HSC_120	4	1	10
HSC_121	11	1	10
HSC_122	7	1	10
HSC_123	4	1	10
HSC_124	11	1	10
HSC_125	4	1	10
HSC_126	4	1	10
HSC_127	11	1	10
HSC_128	3	9	6
HSC_129	7	1	10
HSC_130	3	9	6
HSC_131	7	1	10
HSC_132	7	1	10
HSC_133	3	9	6
HSC_134	7	1	10
HSC_135	7	1	10
HSC_136	7	1	10
HSC_137	11	1	10
HSC_138	7	1	10
HSC_139	4	1	10
HSC_140	3	9	6
HSC_141	4	1	10
HSC_142	4	1	10
HSC_143	4	1	10
HSC_144	4	1	10
HSC_145	3	9	6
HSC_146	4	1	10
HSC_147	4	1	10
HSC_148	4	1	10
HSC_149	4	1	10
HSC_150	7	1	10
HSC_151	10	1	10
HSC_152	7	1	10
HSC_153	7	1	10
HSC_154	4	1	10
HSC_155	3	1	6
HSC_156	7	1	10
HSC_157	10	1	10
HSC_158	4	1	10
HSC_159	10	1	10
HSC_160	4	1	10
HSC_161	7	1	10
HSC_162	11	1	10
HSC_163	7	1	10
HSC_164	4	1	10
HSC_165	7	1	10
HSC_166	4	1	10
HSC_167	3	9	6
HSC_168	11	1	10
HSC_169	7	1	10
HSC_170	3	9	6
HSC_171	3	9	6
HSC_172	4	1	10
HSC_173	3	9	6
HSC_174	11	1	10
HSC_175	3	9	6
HSC_176	4	1	10
HSC_177	3	9	6
HSC_178	4	1	10
HSC_179	7	1	10
HSC_180	3	9	6
HSC_181	11	1	10
HSC_182	4	1	10
HSC_183	4	1	10
HSC_184	3	9	6
HSC_185	4	1	10
HSC_186	4	1	10
HSC_187	4	1	10
HSC_188	10	1	10
HSC_189	10	1	10
HSC_190	10	1	10
HSC_191	4	1	10
HSC_192	7	1	10
HSC_193	10	1	10
HSC_194	4	1	10
HSC_195	7	1	10
HSC_196	4	1	10
HSC_197	10	1	10
HSC_198	4	1	10
HSC_199	4	1	10
HSC_200	3	9	6
MEP_201	7	1	10
MEP_202	4	1	10
MEP_203	10	1	10
MEP_204	3	9	6
MEP_205	11	1	10
MEP_206	4	1	10
MEP_207	3	9	6
MEP_208	3	9	6
MEP_209	10	1	10
MEP_210	10	1	10
MEP_211	11	1	10
MEP_212	3	9	6
MEP_213	7	1	10
MEP_214	3	9	6
MEP_215	10	1	10
MEP_216	11	1	10
MEP_217	3	9	6
MEP_218	7	1	10
MEP_219	10	1	10
MEP_220	11	1	10
MEP_221	7	1	10
MEP_222	3	9	6
MEP_223	3	9	6
MEP_224	4	1	10
MEP_225	7	1	10
MEP_226	11	1	10
MEP_227	10	1	10
MEP_228	7	1	10
MEP_229	3	9	6
MEP_230	11	1	10
MEP_231	7	1	10
MEP_232	3	9	6
MEP_233	7	1	10
MEP_234	3	9	6
MEP_235	4	1	10
MEP_236	3	9	6
MEP_237	10	1	10
MEP_238	3	9	6
MEP_239	11	1	10
MEP_240	7	1	10
MEP_241	11	1	10
MEP_242	11	1	10
MEP_243	4	1	10
MEP_244	4	1	10
MEP_245	11	1	10
MEP_246	4	1	10
MEP_247	4	1	10
MEP_248	7	1	10
MEP_249	11	9	6
MEP_250	3	9	6
MEP_251	7	1	10
MEP_252	11	1	10
MEP_253	3	9	6
MEP_254	7	1	10
MEP_255	10	1	10
MEP_256	7	1	10
MEP_257	7	1	10
MEP_258	3	9	6
MEP_259	3	9	6
MEP_260	3	9	6
MEP_261	10	1	10
MEP_262	4	1	10
MEP_263	3	9	6
MEP_264	11	1	10
MEP_265	4	1	10
MEP_266	7	1	10
MEP_267	11	1	10
MEP_268	3	9	6
MEP_269	4	1	6
MEP_270	10	1	10
MEP_271	10	1	10
MEP_272	3	9	6
MEP_273	7	1	10
MEP_274	4	1	10
MEP_275	10	1	10
MEP_276	10	1	10
MEP_277	11	1	10
MEP_278	7	1	10
MEP_279	11	1	10
MEP_280	4	1	10
MEP_281	11	1	10
MEP_282	3	9	6
MEP_283	11	1	10
MEP_284	3	9	6
MEP_285	10	1	10
MEP_286	10	1	10
MEP_287	11	1	10
MEP_288	11	1	10
MEP_289	10	1	10
MEP_290	10	1	10
MEP_291	7	1	10
MEP_292	4	1	10
MEP_293	4	1	10
MEP_294	3	9	6
MEP_295	7	1	10
MEP_296	4	1	10
MEP_297	11	1	10
MEP_298	7	1	10
MEP_299	3	9	6
MEP_300	4	1	10
MPP_301	3	9	6
MPP_302	11	1	10
MPP_303	3	9	6
MPP_304	3	9	6
MPP_305	7	1	10
MPP_306	7	1	10
MPP_307	7	1	10
MPP_308	3	9	6
MPP_309	7	1	10
MPP_310	10	1	10
