	louvain	kmeans	hc
CMP_1	7	6	0
CMP_2	7	6	0
CMP_3	7	4	0
CMP_4	7	6	0
CMP_5	7	6	0
CMP_6	7	6	0
CMP_7	7	6	0
CMP_8	7	6	0
CMP_9	7	6	0
CMP_10	7	6	0
CMP_11	7	6	0
CMP_12	7	6	0
CMP_13	7	6	0
CMP_14	7	6	0
CMP_15	7	6	0
CMP_16	7	6	0
CMP_17	7	6	0
CMP_18	7	6	0
CMP_19	7	6	0
CMP_20	7	6	0
CMP_21	7	6	0
CMP_22	7	6	0
CMP_23	7	6	0
CMP_24	7	6	0
CMP_25	7	6	0
CMP_26	7	6	0
CMP_27	7	6	0
CMP_28	7	6	0
CMP_29	7	6	0
CMP_30	7	6	0
CMP_31	7	6	0
CMP_32	7	6	0
CMP_33	7	6	0
CMP_34	7	6	0
CMP_35	7	6	0
CMP_36	7	6	0
CMP_37	7	6	0
CMP_38	7	6	0
CMP_39	7	6	0
CMP_40	7	6	0
CMP_41	7	6	0
CMP_42	7	6	0
CMP_43	7	6	0
CMP_44	7	6	0
CMP_45	7	6	0
CMP_46	7	6	0
CMP_47	7	6	0
CMP_48	7	4	0
CMP_49	7	6	0
CMP_50	7	6	0
CMP_51	7	6	0
CMP_52	2	2	0
CMP_53	7	6	0
CMP_54	7	4	0
CMP_55	7	6	0
CMP_56	7	6	0
CMP_57	7	6	0
CMP_58	7	6	0
CMP_59	7	6	0
CMP_60	7	6	0
CMP_61	7	6	0
CMP_62	7	2	0
CMP_63	7	6	0
CMP_64	7	6	0
CMP_65	7	6	0
CMP_66	7	6	0
CMP_67	7	6	0
CMP_68	7	6	0
CMP_69	7	6	0
CMP_70	7	6	0
CMP_71	7	6	0
CMP_72	7	6	0
CMP_73	7	6	0
CMP_74	7	6	0
CMP_75	7	6	0
CMP_76	7	6	0
CMP_77	7	6	0
CMP_78	7	6	0
CMP_79	7	6	0
CMP_80	7	6	0
CMP_81	7	6	0
CMP_82	7	6	0
CMP_83	7	6	0
CMP_84	7	6	0
CMP_85	7	6	0
CMP_86	7	6	0
CMP_87	7	6	0
CMP_88	7	6	0
CMP_89	7	6	0
CMP_90	7	6	0
CMP_91	7	6	0
CMP_92	7	6	0
CMP_93	7	6	0
CMP_94	7	6	0
CMP_95	7	6	0
CMP_96	7	6	0
CMP_97	7	6	0
CMP_98	7	6	0
CMP_99	7	6	0
CMP_100	7	2	0
HSC_101	2	9	6
HSC_102	2	9	6
HSC_103	2	2	6
HSC_104	7	6	0
HSC_105	2	2	6
HSC_106	2	9	6
HSC_107	2	9	6
HSC_108	2	2	6
HSC_109	2	2	6
HSC_110	2	2	6
HSC_111	9	9	10
HSC_112	2	9	6
HSC_113	2	2	6
HSC_114	2	2	6
HSC_115	9	9	10
HSC_116	9	9	10
HSC_117	2	2	6
HSC_118	2	9	6
HSC_119	9	9	10
HSC_120	2	2	6
HSC_121	9	9	6
HSC_122	9	9	10
HSC_123	9	9	10
HSC_124	2	2	6
HSC_125	2	2	6
HSC_126	2	2	6
HSC_127	2	9	6
HSC_128	9	9	6
HSC_129	9	9	10
HSC_130	2	2	6
HSC_131	2	9	6
HSC_132	2	2	6
HSC_133	2	2	6
HSC_134	9	9	10
HSC_135	2	2	6
HSC_136	9	9	10
HSC_137	2	2	6
HSC_138	2	2	6
HSC_139	2	9	6
HSC_140	2	9	6
HSC_141	2	2	6
HSC_142	2	2	6
HSC_143	2	2	6
HSC_144	2	9	6
HSC_145	9	9	6
HSC_146	9	9	10
HSC_147	9	9	10
HSC_148	9	9	10
HSC_149	9	9	10
HSC_150	9	9	10
HSC_151	2	2	6
HSC_152	2	9	6
HSC_153	9	9	10
HSC_154	9	9	6
HSC_155	2	2	6
HSC_156	2	9	6
HSC_157	2	9	6
HSC_158	9	9	10
HSC_159	9	9	10
HSC_160	2	2	6
HSC_161	2	2	6
HSC_162	2	2	6
HSC_163	2	2	6
HSC_164	9	9	10
HSC_165	2	2	6
HSC_166	9	9	6
HSC_167	9	9	6
HSC_168	2	2	6
HSC_169	9	9	10
HSC_170	9	9	6
HSC_171	2	9	6
HSC_172	9	9	10
HSC_173	9	9	10
HSC_174	9	9	6
HSC_175	9	9	6
HSC_176	9	9	10
HSC_177	2	9	6
HSC_178	2	2	6
HSC_179	2	9	6
HSC_180	2	2	6
HSC_181	9	9	10
HSC_182	2	2	6
HSC_183	2	2	0
HSC_184	2	2	6
HSC_185	9	9	10
HSC_186	2	9	6
HSC_187	2	2	6
HSC_188	2	2	6
HSC_189	9	9	10
HSC_190	2	9	6
HSC_191	2	2	6
HSC_192	9	9	10
HSC_193	2	2	6
HSC_194	9	9	6
HSC_195	2	2	6
HSC_196	2	2	6
HSC_197	2	9	6
HSC_198	2	2	6
HSC_199	9	9	10
HSC_200	2	2	6
MEP_201	5	4	2
MEP_202	5	4	2
MEP_203	5	4	2
MEP_204	5	4	2
MEP_205	5	4	2
MEP_206	5	4	2
MEP_207	5	4	2
MEP_208	5	4	2
MEP_209	5	4	2
MEP_210	5	6	2
MEP_211	5	4	2
MEP_212	5	4	2
MEP_213	5	4	2
MEP_214	5	4	2
MEP_215	5	4	2
MEP_216	5	4	2
MEP_217	5	4	2
MEP_218	5	4	2
MEP_219	5	4	2
MEP_220	5	4	2
MEP_221	5	4	2
MEP_222	5	4	2
MEP_223	5	4	2
MEP_224	5	4	2
MEP_225	5	4	2
MEP_226	5	4	2
MEP_227	5	4	2
MEP_228	5	4	2
MEP_229	5	4	2
MEP_230	5	4	2
MEP_231	5	4	2
MEP_232	5	4	2
MEP_233	5	4	2
MEP_234	5	4	2
MEP_235	5	4	2
MEP_236	5	4	2
MEP_237	5	4	2
MEP_238	5	4	2
MEP_239	5	4	2
MEP_240	5	4	2
MEP_241	5	4	2
MEP_242	5	4	2
MEP_243	5	4	2
MEP_244	5	6	2
MEP_245	5	4	2
MEP_246	5	4	2
MEP_247	5	4	2
MEP_248	5	4	2
MEP_249	5	4	2
MEP_250	5	4	2
MEP_251	5	4	2
MEP_252	5	6	2
MEP_253	5	4	2
MEP_254	5	4	2
MEP_255	5	4	2
MEP_256	5	4	2
MEP_257	5	4	2
MEP_258	5	4	2
MEP_259	5	4	2
MEP_260	5	4	2
MEP_261	5	4	2
MEP_262	5	4	2
MEP_263	5	4	2
MEP_264	5	4	2
MEP_265	5	4	2
MEP_266	5	4	2
MEP_267	5	4	2
MEP_268	5	4	2
MEP_269	5	4	2
MEP_270	5	6	2
MEP_271	5	4	2
MEP_272	5	4	2
MEP_273	5	4	2
MEP_274	5	4	2
MEP_275	5	4	2
MEP_276	5	4	2
MEP_277	5	4	2
MEP_278	5	4	2
MEP_279	5	4	2
MEP_280	5	4	2
MEP_281	5	4	2
MEP_282	5	4	2
MEP_283	5	4	2
MEP_284	5	4	2
MEP_285	5	4	2
MEP_286	5	4	2
MEP_287	5	4	2
MEP_288	5	4	2
MEP_289	5	4	2
MEP_290	5	4	2
MEP_291	5	4	2
MEP_292	5	4	2
MEP_293	5	4	2
MEP_294	5	4	2
MEP_295	5	4	2
MEP_296	5	4	2
MEP_297	5	4	2
MEP_298	5	4	2
MEP_299	5	4	2
MEP_300	5	4	2
MPP_301	9	9	10
MPP_302	2	2	6
MPP_303	2	9	10
MPP_304	9	9	10
MPP_305	9	9	6
MPP_306	2	2	6
MPP_307	2	2	6
MPP_308	2	9	6
MPP_309	2	2	6
MPP_310	9	9	10
MPP_311	2	2	6
MPP_312	2	2	6
MPP_313	2	2	6
MPP_314	2	2	6
MPP_315	2	9	6
MPP_316	9	9	6
MPP_317	2	2	6
MPP_318	2	2	6
MPP_319	9	9	10
MPP_320	9	9	6
MPP_321	9	9	10
MPP_322	9	2	6
MPP_323	9	9	6
MPP_324	2	2	6
MPP_325	9	9	10
MPP_326	9	9	10
MPP_327	2	2	6
MPP_328	2	2	6
MPP_329	9	9	10
MPP_330	2	9	6
MPP_331	9	9	10
MPP_332	2	9	6
MPP_333	2	2	6
MPP_334	2	2	6
MPP_335	9	9	10
MPP_336	2	9	6
MPP_337	2	9	6
MPP_338	2	2	6
MPP_339	9	9	10
MPP_340	9	9	10
MPP_341	9	9	10
MPP_342	9	9	6
MPP_343	2	9	6
MPP_344	9	9	10
MPP_345	9	9	10
MPP_346	2	2	6
MPP_347	2	9	6
MPP_348	2	9	6
MPP_349	9	9	10
MPP_350	2	2	6
MPP_351	2	2	6
MPP_352	2	9	6
MPP_353	2	9	6
MPP_354	2	9	6
MPP_355	9	9	10
MPP_356	2	2	6
MPP_357	9	9	10
MPP_358	2	2	6
MPP_359	2	2	6
MPP_360	2	2	6
MPP_361	9	9	10
MPP_362	9	9	10
MPP_363	2	2	6
MPP_364	9	9	6
MPP_365	9	9	6
MPP_366	2	2	6
MPP_367	2	9	6
MPP_368	9	9	10
MPP_369	2	9	6
MPP_370	2	2	6
MPP_371	9	9	10
MPP_372	2	2	6
MPP_373	9	9	10
MPP_374	2	2	6
MPP_375	9	9	6
MPP_376	2	2	6
MPP_377	9	9	10
MPP_378	9	9	10
MPP_379	9	9	6
MPP_380	2	2	6
MPP_381	2	9	6
MPP_382	2	2	6
MPP_383	2	9	6
MPP_384	9	9	10
MPP_385	2	2	0
MPP_386	2	2	6
MPP_387	2	2	6
MPP_388	2	2	6
MPP_389	2	9	6
MPP_390	9	9	10
MPP_391	2	2	6
MPP_392	9	9	10
MPP_393	2	2	6
MPP_394	2	2	6
MPP_395	2	2	6
MPP_396	2	9	6
MPP_397	9	9	10
MPP_398	2	2	6
MPP_399	9	9	10
MPP_400	9	9	6
P1_401	6	1	5
P1_402	6	1	5
P1_403	6	1	5
P1_404	6	1	5
P1_405	6	1	5
P1_406	6	1	5
P1_407	6	1	5
P1_408	6	1	5
P1_409	6	1	5
P1_410	6	1	5
P1_411	6	1	5
P1_412	6	1	5
P1_413	6	1	5
P1_414	6	1	5
P1_415	6	1	5
P1_416	6	1	5
P1_417	6	1	5
P1_418	6	1	5
P1_419	6	1	5
P1_420	6	1	5
P1_421	6	1	5
P1_422	6	1	5
P1_423	6	1	5
P1_424	6	1	5
P1_425	6	1	5
P1_426	6	1	5
P1_427	6	1	5
P1_428	6	1	5
P1_429	6	1	5
P1_430	6	1	5
P1_431	6	1	5
P1_432	6	1	5
P1_433	6	1	5
P1_434	6	1	5
P1_435	6	1	5
P1_436	6	1	5
P1_437	6	1	5
P1_438	6	1	5
P1_439	6	1	5
P1_440	6	1	5
P1_441	6	1	5
P1_442	6	1	5
P1_443	6	1	5
P1_444	6	1	5
P1_445	6	1	5
P1_446	6	1	5
P1_447	6	1	5
P1_448	6	1	5
P1_449	6	1	5
P1_450	6	1	5
P1_451	6	1	5
P1_452	6	1	5
P1_453	6	1	5
P1_454	6	1	5
P1_455	6	1	5
P1_456	6	1	5
P1_457	6	1	5
P1_458	6	1	5
P1_459	6	1	5
P1_460	6	1	5
P1_461	6	1	5
P1_462	6	1	5
P1_463	6	1	5
P1_464	6	1	5
P1_465	6	1	5
P1_466	6	1	5
P1_467	6	1	5
P1_468	6	1	5
P1_469	6	1	5
P1_470	6	1	5
P1_471	6	1	5
P1_472	6	1	5
P1_473	6	1	5
P1_474	6	1	5
P1_475	6	1	5
P1_476	6	1	5
P1_477	6	1	5
P1_478	6	1	5
P1_479	6	1	5
P1_480	6	1	5
P1_481	6	1	5
