	louvain	kmeans	hc
CMP_1	5	2	10
CMP_2	5	9	1
CMP_3	5	9	1
CMP_4	5	2	10
CMP_5	5	2	10
CMP_6	5	2	10
CMP_7	5	2	10
CMP_8	5	9	10
CMP_9	5	9	10
CMP_10	5	2	10
CMP_11	5	9	1
CMP_12	5	2	10
CMP_13	5	2	10
CMP_14	5	9	10
CMP_15	5	9	10
CMP_16	5	2	10
CMP_17	5	9	1
CMP_18	5	2	10
CMP_19	5	9	1
CMP_20	5	9	1
CMP_21	5	2	10
CMP_22	5	9	1
CMP_23	5	9	1
CMP_24	5	9	1
CMP_25	5	9	1
CMP_26	5	2	10
CMP_27	5	2	10
CMP_28	5	2	10
CMP_29	5	2	10
CMP_30	5	9	1
CMP_31	5	2	10
CMP_32	5	9	1
CMP_33	5	2	10
CMP_34	5	9	1
CMP_35	5	2	10
CMP_36	5	2	10
CMP_37	5	2	10
CMP_38	5	9	1
CMP_39	5	2	10
CMP_40	5	9	1
CMP_41	5	2	10
CMP_42	5	9	1
CMP_43	5	9	1
CMP_44	5	9	10
CMP_45	5	2	10
CMP_46	5	9	10
CMP_47	5	2	10
CMP_48	5	4	1
CMP_49	5	2	10
CMP_50	5	9	1
CMP_51	5	2	10
CMP_52	11	8	11
CMP_53	5	9	1
CMP_54	5	9	1
CMP_55	5	2	10
CMP_56	5	9	1
CMP_57	5	9	1
CMP_58	5	2	10
CMP_59	5	9	1
CMP_60	5	9	10
CMP_61	5	2	10
CMP_62	5	2	11
CMP_63	5	9	1
CMP_64	5	2	10
CMP_65	5	9	1
CMP_66	5	2	10
CMP_67	5	9	10
CMP_68	5	2	10
CMP_69	5	2	10
CMP_70	5	2	10
CMP_71	5	2	10
CMP_72	5	9	1
CMP_73	5	2	10
CMP_74	5	9	1
CMP_75	5	2	10
CMP_76	5	9	1
CMP_77	5	9	1
CMP_78	5	2	10
CMP_79	5	9	1
CMP_80	5	9	1
CMP_81	5	9	1
CMP_82	5	9	1
CMP_83	5	2	10
CMP_84	5	9	1
CMP_85	5	9	1
CMP_86	5	9	1
CMP_87	5	9	1
CMP_88	5	2	10
CMP_89	5	9	1
CMP_90	5	2	10
CMP_91	5	2	10
CMP_92	5	9	1
CMP_93	5	9	10
CMP_94	5	9	1
CMP_95	5	2	10
CMP_96	5	9	1
CMP_97	5	2	10
CMP_98	5	2	10
CMP_99	5	9	1
CMP_100	5	2	11
HSC_101	0	8	4
HSC_102	0	8	4
HSC_103	11	8	11
HSC_104	5	2	10
HSC_105	0	8	11
HSC_106	0	5	4
HSC_107	0	8	4
HSC_108	11	8	11
HSC_109	0	8	11
HSC_110	0	8	4
HSC_111	0	5	4
HSC_112	0	5	4
HSC_113	11	8	11
HSC_114	0	8	11
HSC_115	0	5	4
HSC_116	0	5	4
HSC_117	11	8	11
HSC_118	0	8	4
HSC_119	0	5	4
HSC_120	11	8	11
HSC_121	0	5	4
HSC_122	0	5	4
HSC_123	0	5	4
HSC_124	0	8	11
HSC_125	11	8	11
HSC_126	0	8	4
HSC_127	0	8	4
HSC_128	0	5	4
HSC_129	0	5	4
HSC_130	11	8	11
HSC_131	0	8	4
HSC_132	11	8	11
HSC_133	11	8	11
HSC_134	0	5	4
HSC_135	11	8	11
HSC_136	0	5	4
HSC_137	11	8	11
HSC_138	11	8	11
HSC_139	0	8	4
HSC_140	0	8	4
HSC_141	11	8	11
HSC_142	11	8	11
HSC_143	11	8	11
HSC_144	0	8	4
HSC_145	0	5	4
HSC_146	0	5	4
HSC_147	0	5	4
HSC_148	0	5	4
HSC_149	0	5	4
HSC_150	0	5	4
HSC_151	0	8	4
HSC_152	0	8	4
HSC_153	0	5	4
HSC_154	0	5	4
HSC_155	0	8	11
HSC_156	0	8	4
HSC_157	0	5	4
HSC_158	0	5	4
HSC_159	0	5	4
HSC_160	11	8	11
HSC_161	0	8	4
HSC_162	0	8	4
HSC_163	0	8	11
HSC_164	0	5	4
HSC_165	11	8	11
HSC_166	0	5	4
HSC_167	0	5	4
HSC_168	0	8	4
HSC_169	0	5	4
HSC_170	0	5	4
HSC_171	0	5	4
HSC_172	0	5	4
HSC_173	0	5	4
HSC_174	0	5	4
HSC_175	0	5	4
HSC_176	0	5	4
HSC_177	0	5	4
HSC_178	11	8	11
HSC_179	0	8	4
HSC_180	11	8	11
HSC_181	0	5	4
HSC_182	11	8	11
HSC_183	5	2	11
HSC_184	11	8	11
HSC_185	0	5	4
HSC_186	0	8	4
HSC_187	0	8	11
HSC_188	11	2	11
HSC_189	0	5	4
HSC_190	0	8	4
HSC_191	11	8	11
HSC_192	0	5	4
HSC_193	0	8	11
HSC_194	0	5	4
HSC_195	11	8	11
HSC_196	11	8	11
HSC_197	0	8	4
HSC_198	0	8	4
HSC_199	0	5	4
HSC_200	11	8	11
MEP_201	7	4	1
MEP_202	7	4	7
MEP_203	7	4	7
MEP_204	7	4	7
MEP_205	7	4	1
MEP_206	7	9	1
MEP_207	7	4	7
MEP_208	7	9	1
MEP_209	7	4	7
MEP_210	7	9	1
MEP_211	7	4	7
MEP_212	7	4	7
MEP_213	7	4	1
MEP_214	7	4	7
MEP_215	7	9	1
MEP_216	7	9	1
MEP_217	7	4	1
MEP_218	7	4	7
MEP_219	7	4	7
MEP_220	7	4	1
MEP_221	7	4	7
MEP_222	7	4	1
MEP_223	7	4	7
MEP_224	7	4	7
MEP_225	7	4	7
MEP_226	7	9	1
MEP_227	7	4	7
MEP_228	7	9	1
MEP_229	7	4	1
MEP_230	7	4	7
MEP_231	7	4	7
MEP_232	7	4	1
MEP_233	7	4	1
MEP_234	7	4	7
MEP_235	7	4	7
MEP_236	7	4	7
MEP_237	7	4	1
MEP_238	7	4	1
MEP_239	7	4	7
MEP_240	7	4	7
MEP_241	7	4	1
MEP_242	7	4	1
MEP_243	7	4	7
MEP_244	7	9	1
MEP_245	7	4	1
MEP_246	7	4	1
MEP_247	7	4	7
MEP_248	7	4	7
MEP_249	7	9	1
MEP_250	7	4	7
MEP_251	7	4	7
MEP_252	7	9	1
MEP_253	7	4	1
MEP_254	7	4	7
MEP_255	7	4	7
MEP_256	7	4	7
MEP_257	7	4	1
MEP_258	7	4	7
MEP_259	7	4	7
MEP_260	7	4	7
MEP_261	7	4	7
MEP_262	7	4	1
MEP_263	7	4	7
MEP_264	7	4	7
MEP_265	7	4	7
MEP_266	7	4	7
MEP_267	7	4	1
MEP_268	7	4	7
MEP_269	7	4	7
MEP_270	7	9	1
MEP_271	7	4	7
MEP_272	7	4	7
MEP_273	7	4	1
MEP_274	7	9	1
MEP_275	7	9	1
MEP_276	7	4	7
MEP_277	7	4	1
MEP_278	7	4	7
MEP_279	7	4	7
MEP_280	7	9	1
MEP_281	7	4	7
MEP_282	7	4	7
MEP_283	7	4	7
MEP_284	7	4	7
MEP_285	7	9	1
MEP_286	7	4	7
MEP_287	7	4	7
MEP_288	7	4	7
MEP_289	7	9	1
MEP_290	7	4	1
MEP_291	7	4	7
MEP_292	7	4	7
MEP_293	7	4	7
MEP_294	7	9	1
MEP_295	7	4	7
MEP_296	7	4	1
MEP_297	7	4	7
MEP_298	7	4	1
MEP_299	7	4	7
MEP_300	7	4	7
MPP_301	0	5	4
MPP_302	11	8	11
MPP_303	0	5	4
MPP_304	0	5	4
MPP_305	0	5	4
MPP_306	11	8	11
MPP_307	11	8	11
MPP_308	0	5	4
MPP_309	11	8	11
MPP_310	0	5	4
MPP_311	0	8	4
MPP_312	0	8	4
MPP_313	11	8	11
MPP_314	0	8	4
MPP_315	0	5	4
MPP_316	0	5	4
MPP_317	11	8	11
MPP_318	11	8	11
MPP_319	0	5	4
MPP_320	0	5	4
MPP_321	0	5	4
MPP_322	0	8	11
MPP_323	0	5	4
MPP_324	11	8	11
MPP_325	0	5	4
MPP_326	0	5	4
MPP_327	11	8	11
MPP_328	0	8	11
MPP_329	0	5	4
MPP_330	0	5	4
MPP_331	0	5	4
MPP_332	0	8	4
MPP_333	11	8	11
MPP_334	11	8	11
MPP_335	0	5	4
MPP_336	0	5	4
MPP_337	0	8	4
MPP_338	0	8	4
MPP_339	0	5	4
MPP_340	0	5	4
MPP_341	0	5	4
MPP_342	0	8	4
MPP_343	0	8	4
MPP_344	0	5	4
MPP_345	0	5	4
MPP_346	0	8	4
MPP_347	0	5	4
MPP_348	0	8	4
MPP_349	0	5	4
MPP_350	11	8	11
MPP_351	0	8	4
MPP_352	0	8	4
MPP_353	0	8	4
MPP_354	0	5	4
MPP_355	0	5	4
MPP_356	0	8	4
MPP_357	0	5	4
MPP_358	11	8	11
MPP_359	11	8	11
MPP_360	11	8	11
MPP_361	0	5	4
MPP_362	0	5	4
MPP_363	11	8	11
MPP_364	0	5	4
MPP_365	0	5	4
MPP_366	0	8	4
MPP_367	0	5	4
MPP_368	0	5	4
MPP_369	0	5	4
MPP_370	0	8	11
MPP_371	0	5	4
MPP_372	11	8	11
MPP_373	0	5	4
MPP_374	11	8	11
MPP_375	0	8	4
MPP_376	0	8	4
MPP_377	0	5	4
MPP_378	0	5	4
MPP_379	0	5	4
MPP_380	11	8	11
MPP_381	0	8	4
MPP_382	11	8	11
MPP_383	0	5	4
MPP_384	0	5	4
MPP_385	5	2	11
MPP_386	11	8	11
MPP_387	11	8	11
MPP_388	0	8	4
MPP_389	0	8	4
MPP_390	0	5	4
MPP_391	11	8	11
MPP_392	0	5	4
MPP_393	11	8	11
MPP_394	11	8	11
MPP_395	11	8	11
MPP_396	0	8	4
MPP_397	0	5	4
MPP_398	11	8	11
MPP_399	0	5	4
MPP_400	0	5	4
P1_401	6	7	5
P1_402	6	7	5
P1_403	6	7	5
P1_404	6	7	5
P1_405	6	7	5
P1_406	6	7	5
P1_407	6	7	5
P1_408	6	7	5
P1_409	6	7	5
P1_410	6	7	5
P1_411	6	7	5
P1_412	6	7	5
P1_413	6	7	5
P1_414	6	7	5
P1_415	6	7	5
P1_416	6	7	5
P1_417	6	7	5
P1_418	6	7	5
P1_419	6	7	5
P1_420	6	7	5
P1_421	6	7	5
P1_422	6	7	5
P1_423	6	7	5
P1_424	6	7	5
P1_425	6	7	5
P1_426	6	7	5
P1_427	6	7	5
P1_428	6	7	5
P1_429	6	7	5
P1_430	6	7	5
P1_431	6	7	5
P1_432	6	7	5
P1_433	6	7	5
P1_434	6	7	5
P1_435	6	7	5
P1_436	6	7	5
P1_437	6	7	5
P1_438	6	7	5
P1_439	6	7	5
P1_440	6	7	5
P1_441	6	7	5
P1_442	6	7	5
P1_443	6	7	5
P1_444	6	7	5
P1_445	6	7	5
P1_446	6	7	5
P1_447	6	7	5
P1_448	6	7	5
P1_449	6	7	5
P1_450	6	7	5
P1_451	6	7	5
P1_452	6	7	5
P1_453	6	7	5
P1_454	6	7	5
P1_455	6	7	5
P1_456	6	7	5
P1_457	6	7	5
P1_458	6	7	5
P1_459	6	7	5
P1_460	6	7	5
P1_461	6	7	5
P1_462	6	7	5
P1_463	6	7	5
P1_464	6	7	5
P1_465	6	7	5
P1_466	6	7	5
P1_467	6	7	5
P1_468	6	7	5
P1_469	6	7	5
P1_470	6	7	5
P1_471	6	7	5
P1_472	6	7	5
P1_473	6	7	5
P1_474	6	7	5
P1_475	6	7	5
P1_476	6	7	5
P1_477	6	7	5
P1_478	6	7	5
P1_479	6	7	5
P1_480	6	7	5
P1_481	6	7	5
P1_482	6	7	5
P1_483	6	7	5
P1_484	6	7	5
P1_485	6	7	5
P1_486	6	7	5
P1_487	6	7	5
P1_488	6	7	5
P1_489	6	7	5
P1_490	6	7	5
P1_491	6	7	5
P1_492	6	7	5
P1_493	6	7	5
P1_494	6	7	5
P1_495	6	7	5
P1_496	6	7	5
P1_497	6	7	5
P1_498	6	7	5
P1_499	6	7	5
P1_500	6	7	5
P2_501	10	1	3
P2_502	1	10	8
P2_503	10	1	3
P2_504	10	1	3
P2_505	10	1	3
P2_506	10	1	3
P2_507	10	1	3
P2_508	10	1	3
P2_509	4	1	3
P2_510	10	1	3
P2_511	10	1	3
P2_512	10	1	3
P2_513	10	1	3
P2_514	10	1	3
P2_515	1	10	8
P2_516	1	1	8
P2_517	10	1	3
P2_518	10	1	3
P2_519	4	1	3
P2_520	10	1	3
P2_521	4	10	8
P2_522	10	1	3
P2_523	4	1	8
P2_524	10	1	3
P2_525	10	1	3
P2_526	10	1	3
P2_527	10	1	3
P2_528	4	10	8
P2_529	1	10	8
P2_530	10	1	3
P2_531	10	1	3
P2_532	10	1	3
P2_533	10	1	3
P2_534	10	1	3
P2_535	10	1	3
P2_536	1	10	8
P2_537	1	10	8
P2_538	10	1	3
P2_539	10	1	3
P2_540	10	1	3
P2_541	10	1	3
P2_542	1	1	8
P2_543	4	1	3
P2_544	10	1	3
P2_545	1	10	8
P2_546	10	1	3
P2_547	4	1	3
P2_548	10	1	3
P2_549	10	1	3
P2_550	10	1	3
P2_551	4	1	3
P2_552	10	1	3
P2_553	10	1	3
P2_554	10	1	3
P2_555	4	10	3
P2_556	10	1	3
P2_557	10	1	3
P2_558	4	1	3
P2_559	10	1	3
P2_560	10	1	3
P2_561	4	1	3
P2_562	10	1	3
P2_563	1	10	8
P2_564	4	10	8
P2_565	10	1	3
P2_566	4	1	3
P2_567	4	1	3
P2_568	4	10	3
P2_569	10	1	3
P2_570	4	10	3
P2_571	10	1	3
P2_572	4	10	3
P2_573	4	1	3
P2_574	10	1	3
P2_575	4	1	3
P2_576	10	1	3
P2_577	4	1	3
P2_578	4	1	3
P2_579	10	1	3
P2_580	4	1	3
P2_581	10	1	3
P2_582	10	1	3
P2_583	10	1	3
P2_584	4	1	3
P2_585	10	1	3
P2_586	1	10	8
P2_587	4	1	3
P2_588	1	10	8
P2_589	10	1	3
P2_590	10	1	3
P2_591	4	10	3
P2_592	4	1	3
P2_593	1	10	8
P2_594	1	10	8
P2_595	1	10	8
P2_596	4	1	3
P2_597	10	1	3
P2_598	4	1	3
P2_599	4	10	8
P2_600	10	1	3
P3_601	10	1	3
P3_602	10	1	3
P3_603	1	10	8
P3_604	1	10	8
P3_605	1	10	8
P3_606	10	1	3
P3_607	1	1	8
P3_608	1	10	8
P3_609	1	10	8
P3_610	1	10	8
P3_611	1	10	8
P3_612	4	1	3
P3_613	4	1	3
P3_614	1	10	8
P3_615	1	10	8
P3_616	1	10	8
P3_617	4	1	3
P3_618	1	10	8
P3_619	1	1	8
P3_620	4	10	8
P3_621	1	10	8
P3_622	1	10	8
P3_623	4	10	3
P3_624	1	10	8
P3_625	1	10	8
P3_626	1	10	8
P3_627	1	10	8
P3_628	1	10	8
P3_629	1	10	8
P3_630	1	10	8
P3_631	10	1	3
P3_632	1	10	8
P3_633	1	10	8
P3_634	1	10	8
P3_635	1	1	8
P3_636	1	10	8
P3_637	4	1	3
P3_638	1	10	8
P3_639	1	10	8
P3_640	4	1	3
P3_641	1	10	8
P3_642	1	10	8
P3_643	1	10	8
P3_644	4	10	8
P3_645	4	10	3
P3_646	1	10	8
P3_647	4	1	3
P3_648	1	10	3
P3_649	4	1	3
P3_650	1	10	8
P3_651	1	10	3
P3_652	4	10	3
P3_653	4	1	3
P3_654	1	10	8
P3_655	1	10	8
P3_656	1	10	8
P3_657	1	10	8
P3_658	1	10	8
P3_659	1	10	8
P3_660	4	1	3
P3_661	4	1	3
P3_662	10	1	3
P3_663	1	10	8
P3_664	4	1	3
P3_665	1	10	8
P3_666	10	1	3
P3_667	4	1	3
P3_668	10	1	3
P3_669	1	10	8
P3_670	1	10	8
P3_671	1	10	8
P3_672	1	10	8
P3_673	4	1	3
P3_674	1	10	8
P3_675	1	10	8
P3_676	1	10	8
P3_677	1	10	8
P3_678	4	1	8
P3_679	4	1	3
P3_680	4	1	3
P3_681	1	10	8
P3_682	1	10	8
P3_683	1	10	8
P3_684	4	10	3
P3_685	1	10	8
P3_686	1	10	8
P3_687	1	10	8
P3_688	1	10	8
P3_689	1	10	8
P3_690	1	10	8
P3_691	1	10	8
P3_692	1	10	8
P3_693	1	1	8
P3_694	1	10	8
P3_695	10	1	3
P3_696	1	10	8
P3_697	1	10	8
P3_698	1	10	8
P3_699	4	1	3
P3_700	4	1	3
P4_701	4	1	3
P4_702	4	10	8
P4_703	4	10	8
P4_704	1	10	8
P4_705	4	1	3
P4_706	1	10	8
P4_707	4	10	3
P4_708	1	10	8
P4_709	4	1	3
P4_710	1	10	8
P4_711	4	1	3
P4_712	4	1	3
P4_713	4	1	3
P4_714	4	10	3
P4_715	4	1	3
P4_716	4	1	3
P4_717	1	10	8
P4_718	4	1	3
P4_719	1	10	8
P4_720	1	10	8
P4_721	1	10	8
P4_722	1	10	8
P4_723	1	10	8
P4_724	1	10	8
P4_725	1	10	8
P4_726	4	10	8
P4_727	1	10	8
P4_728	1	10	8
P4_729	4	1	3
P4_730	4	1	3
P4_731	1	1	8
P4_732	4	1	3
P4_733	10	1	3
P4_734	1	10	8
P4_735	4	1	3
P4_736	10	1	3
P4_737	4	1	3
P4_738	4	10	3
P4_739	4	10	3
P4_740	1	10	8
P4_741	1	10	8
P4_742	10	1	3
P4_743	4	1	3
P4_744	1	10	8
P4_745	1	10	8
P4_746	1	10	8
P4_747	4	1	3
P4_748	1	10	8
P4_749	4	10	3
P4_750	4	10	3
P4_751	4	1	3
P4_752	1	10	8
P4_753	4	1	3
P4_754	1	10	8
P4_755	1	1	8
P4_756	1	10	8
P4_757	1	10	8
P4_758	4	10	8
P4_759	4	1	3
P4_760	4	1	3
P4_761	4	10	3
P4_762	1	10	8
P4_763	4	10	3
P4_764	1	10	8
P4_765	4	1	3
P4_766	4	1	3
P4_767	1	10	8
P4_768	1	10	8
P4_769	10	1	3
P4_770	1	10	8
P4_771	1	10	8
P4_772	4	1	3
P4_773	4	10	3
P4_774	4	1	3
P4_775	4	1	3
P4_776	1	10	8
P4_777	1	10	8
P4_778	4	1	3
P4_779	1	10	8
P4_780	1	10	8
P4_781	1	10	8
P4_782	4	1	3
P4_783	1	10	8
P4_784	4	1	3
P4_785	1	10	8
P4_786	4	1	3
P4_787	4	1	3
P4_788	1	10	8
P4_789	4	1	3
P4_790	4	10	3
P4_791	4	1	3
P4_792	1	10	8
P4_793	4	10	8
P4_794	1	10	8
P4_795	4	1	3
P4_796	4	1	3
P4_797	10	1	3
P4_798	4	1	3
P4_799	1	10	8
