	louvain	kmeans	hc
CMP_1	2	5	8
CMP_2	2	5	8
CMP_3	2	5	8
CMP_4	2	5	8
CMP_5	2	5	8
CMP_6	2	5	8
CMP_7	2	5	8
CMP_8	2	5	8
CMP_9	2	5	8
CMP_10	2	5	8
CMP_11	2	5	8
CMP_12	2	5	8
CMP_13	2	5	8
CMP_14	2	5	8
CMP_15	2	5	8
CMP_16	2	5	8
CMP_17	2	5	8
CMP_18	2	5	8
CMP_19	2	5	8
CMP_20	2	5	8
CMP_21	2	5	8
CMP_22	2	5	8
CMP_23	2	5	8
CMP_24	2	5	8
CMP_25	2	5	8
CMP_26	2	5	8
CMP_27	2	5	8
CMP_28	2	5	8
CMP_29	2	5	8
CMP_30	2	5	8
CMP_31	2	5	8
CMP_32	2	5	8
CMP_33	2	5	8
CMP_34	2	5	8
CMP_35	2	5	8
CMP_36	2	5	8
CMP_37	2	5	8
CMP_38	2	5	8
CMP_39	2	5	8
CMP_40	2	5	8
CMP_41	2	5	8
CMP_42	2	5	8
CMP_43	2	5	8
CMP_44	2	5	8
CMP_45	2	5	8
CMP_46	2	5	8
CMP_47	2	5	8
CMP_48	2	5	8
CMP_49	2	5	8
CMP_50	2	5	8
CMP_51	2	5	8
CMP_52	2	5	8
CMP_53	2	5	8
CMP_54	2	5	8
CMP_55	2	5	8
CMP_56	2	5	8
CMP_57	2	5	8
CMP_58	2	5	8
CMP_59	2	5	8
CMP_60	2	5	8
CMP_61	2	5	8
CMP_62	2	5	8
CMP_63	2	5	8
CMP_64	2	5	8
CMP_65	2	5	8
CMP_66	2	5	8
CMP_67	2	5	8
CMP_68	2	5	8
CMP_69	2	5	8
CMP_70	2	5	8
CMP_71	2	5	8
CMP_72	2	5	8
CMP_73	2	5	8
CMP_74	2	5	8
CMP_75	2	5	8
CMP_76	2	5	8
CMP_77	2	5	8
CMP_78	2	5	8
CMP_79	2	5	8
CMP_80	2	5	8
CMP_81	2	5	8
CMP_82	2	5	8
CMP_83	2	5	8
CMP_84	2	5	8
CMP_85	2	5	8
CMP_86	2	5	8
CMP_87	2	5	8
CMP_88	2	5	8
CMP_89	2	5	8
CMP_90	2	5	8
CMP_91	2	5	8
CMP_92	2	5	8
CMP_93	2	5	8
CMP_94	2	5	8
CMP_95	2	5	8
CMP_96	2	5	8
CMP_97	2	5	8
CMP_98	2	5	8
CMP_99	2	5	8
CMP_100	2	5	8
HSC_101	0	1	2
HSC_102	0	1	2
HSC_103	0	1	2
HSC_104	0	1	2
HSC_105	0	1	2
HSC_106	0	1	2
HSC_107	0	1	2
HSC_108	0	1	2
HSC_109	0	1	2
HSC_110	0	1	2
HSC_111	0	1	2
HSC_112	0	1	2
HSC_113	0	1	2
HSC_114	0	1	2
HSC_115	0	1	2
HSC_116	0	1	2
HSC_117	0	1	2
HSC_118	0	1	2
HSC_119	0	1	2
HSC_120	0	1	2
HSC_121	0	1	2
HSC_122	0	1	2
HSC_123	0	1	2
HSC_124	0	1	2
HSC_125	0	1	2
HSC_126	0	1	2
HSC_127	0	1	2
HSC_128	0	1	2
HSC_129	0	1	2
HSC_130	0	1	2
HSC_131	0	1	2
HSC_132	0	1	2
HSC_133	0	1	2
HSC_134	0	1	2
HSC_135	0	1	2
HSC_136	0	1	2
HSC_137	0	1	2
HSC_138	0	1	2
HSC_139	0	1	2
HSC_140	0	1	2
HSC_141	0	1	2
HSC_142	0	1	2
HSC_143	0	1	2
HSC_144	0	1	2
HSC_145	0	1	2
HSC_146	0	1	2
HSC_147	0	1	2
HSC_148	0	1	2
HSC_149	0	1	2
HSC_150	0	1	2
HSC_151	0	1	2
HSC_152	0	1	2
HSC_153	0	1	2
HSC_154	0	1	2
HSC_155	0	1	2
HSC_156	0	1	2
HSC_157	0	1	2
HSC_158	0	1	2
HSC_159	0	1	2
HSC_160	0	1	2
HSC_161	0	1	2
HSC_162	0	1	2
HSC_163	0	1	2
HSC_164	0	1	2
HSC_165	0	1	2
HSC_166	0	1	2
HSC_167	0	1	2
HSC_168	0	1	2
HSC_169	0	1	2
HSC_170	0	1	2
HSC_171	0	1	2
HSC_172	0	1	2
HSC_173	0	1	2
HSC_174	0	1	2
HSC_175	0	1	2
HSC_176	0	1	2
HSC_177	0	1	2
HSC_178	0	1	2
HSC_179	0	1	2
HSC_180	0	1	2
HSC_181	0	1	2
HSC_182	0	1	2
HSC_183	0	1	2
HSC_184	0	1	2
HSC_185	0	1	2
HSC_186	0	1	2
HSC_187	0	1	2
HSC_188	0	1	2
HSC_189	0	1	2
HSC_190	0	1	2
HSC_191	0	1	2
HSC_192	0	1	2
HSC_193	0	1	2
HSC_194	0	1	2
HSC_195	0	1	2
HSC_196	0	1	2
HSC_197	0	1	2
HSC_198	0	1	2
HSC_199	0	1	2
HSC_200	0	1	2
MEP_201	5	9	3
MEP_202	5	9	3
MEP_203	5	9	3
MEP_204	5	9	3
MEP_205	5	9	3
MEP_206	5	9	3
MEP_207	5	9	3
MEP_208	5	9	3
MEP_209	5	9	3
MEP_210	5	9	3
MEP_211	5	9	3
MEP_212	5	9	3
MEP_213	5	9	3
MEP_214	5	9	3
MEP_215	5	9	3
MEP_216	5	9	3
MEP_217	5	9	3
MEP_218	5	9	3
MEP_219	5	9	3
MEP_220	5	9	3
MEP_221	5	9	3
MEP_222	5	9	3
MEP_223	5	9	3
MEP_224	5	9	3
MEP_225	5	9	3
MEP_226	5	9	3
MEP_227	5	9	3
MEP_228	5	9	3
MEP_229	5	9	3
MEP_230	5	9	3
MEP_231	5	9	3
MEP_232	5	9	3
MEP_233	5	9	3
MEP_234	5	9	3
MEP_235	5	9	3
MEP_236	5	9	3
MEP_237	5	9	3
MEP_238	5	9	3
MEP_239	5	9	3
MEP_240	5	9	3
MEP_241	5	9	3
MEP_242	5	9	3
MEP_243	5	9	3
MEP_244	5	9	3
MEP_245	5	9	3
MEP_246	5	9	3
MEP_247	5	9	3
MEP_248	5	9	3
MEP_249	5	9	3
MEP_250	5	9	3
MEP_251	5	9	3
MEP_252	5	9	3
MEP_253	5	9	3
MEP_254	5	9	3
MEP_255	5	9	3
MEP_256	5	9	3
MEP_257	5	9	3
MEP_258	5	9	3
MEP_259	5	9	3
MEP_260	5	9	3
MEP_261	5	9	3
MEP_262	5	9	3
MEP_263	5	9	3
MEP_264	5	9	3
MEP_265	5	9	3
MEP_266	5	9	3
MEP_267	5	9	3
MEP_268	5	9	3
MEP_269	5	9	3
MEP_270	5	9	3
MEP_271	5	9	3
MEP_272	5	9	3
MEP_273	5	9	3
MEP_274	5	9	3
MEP_275	5	9	3
MEP_276	5	9	3
MEP_277	5	9	3
MEP_278	5	9	3
MEP_279	5	9	3
MEP_280	5	9	3
MEP_281	5	9	3
MEP_282	5	9	3
MEP_283	5	9	3
MEP_284	5	9	3
MEP_285	5	9	3
MEP_286	5	9	3
MEP_287	5	9	3
MEP_288	5	9	3
MEP_289	5	9	3
MEP_290	5	9	3
MEP_291	5	9	3
MEP_292	5	9	3
MEP_293	5	9	3
MEP_294	5	9	3
MEP_295	5	9	3
MEP_296	5	9	3
MEP_297	5	9	3
MEP_298	5	9	3
MEP_299	5	9	3
MEP_300	5	9	3
MPP_301	0	1	2
MPP_302	0	1	2
MPP_303	0	1	2
MPP_304	0	1	2
MPP_305	0	1	2
MPP_306	0	1	2
MPP_307	0	1	2
MPP_308	0	1	2
MPP_309	0	1	2
MPP_310	0	1	2
MPP_311	0	1	2
MPP_312	0	1	2
MPP_313	0	1	2
MPP_314	0	1	2
MPP_315	0	1	2
MPP_316	0	1	2
MPP_317	0	1	2
MPP_318	0	1	2
MPP_319	0	1	2
MPP_320	0	1	2
MPP_321	0	1	2
MPP_322	0	1	2
MPP_323	0	1	2
MPP_324	0	1	2
MPP_325	0	1	2
MPP_326	0	1	2
MPP_327	0	1	2
MPP_328	0	1	2
MPP_329	0	1	2
MPP_330	0	1	2
MPP_331	0	1	2
MPP_332	0	1	2
MPP_333	0	1	2
MPP_334	0	1	2
MPP_335	0	1	2
MPP_336	0	1	2
MPP_337	0	1	2
MPP_338	0	1	2
MPP_339	0	1	2
MPP_340	0	1	2
MPP_341	0	1	2
MPP_342	0	1	2
MPP_343	0	1	2
MPP_344	0	1	2
MPP_345	0	1	2
MPP_346	0	1	2
MPP_347	0	1	2
MPP_348	0	1	2
MPP_349	0	1	2
MPP_350	0	1	2
MPP_351	0	1	2
MPP_352	0	1	2
MPP_353	0	1	2
MPP_354	0	1	2
MPP_355	0	1	2
MPP_356	0	1	2
MPP_357	0	1	2
MPP_358	0	1	2
MPP_359	0	1	2
MPP_360	0	1	2
MPP_361	0	1	2
MPP_362	0	1	2
MPP_363	0	1	2
MPP_364	0	1	2
MPP_365	0	1	2
MPP_366	0	1	2
MPP_367	0	1	2
