	louvain	kmeans	hc
CMP_1	3	9	6
CMP_2	3	9	6
CMP_3	3	9	6
CMP_4	3	9	6
CMP_5	3	9	6
CMP_6	3	9	6
CMP_7	3	9	6
CMP_8	3	9	6
CMP_9	3	9	6
CMP_10	3	9	6
CMP_11	3	9	6
CMP_12	3	9	6
CMP_13	3	9	6
CMP_14	3	9	6
CMP_15	3	9	6
CMP_16	3	9	6
CMP_17	3	9	6
CMP_18	3	9	6
CMP_19	3	9	6
CMP_20	3	9	6
CMP_21	3	9	6
CMP_22	3	9	6
CMP_23	3	9	6
CMP_24	3	9	6
CMP_25	3	9	6
CMP_26	3	9	6
CMP_27	3	9	6
CMP_28	3	9	6
CMP_29	3	9	6
CMP_30	3	9	6
CMP_31	3	9	6
CMP_32	3	9	6
CMP_33	3	9	6
CMP_34	3	9	6
CMP_35	3	9	6
CMP_36	3	9	6
CMP_37	3	9	6
CMP_38	3	9	6
CMP_39	3	9	6
CMP_40	3	9	6
CMP_41	3	9	6
CMP_42	3	9	6
CMP_43	3	9	6
CMP_44	3	9	6
CMP_45	3	9	6
CMP_46	3	9	6
CMP_47	3	9	6
CMP_48	3	9	6
CMP_49	3	9	6
CMP_50	3	9	6
CMP_51	3	9	6
CMP_52	3	9	6
CMP_53	3	9	6
CMP_54	3	9	6
CMP_55	3	9	6
CMP_56	3	9	6
CMP_57	3	9	6
CMP_58	3	9	6
CMP_59	3	9	6
CMP_60	3	9	6
CMP_61	3	9	6
CMP_62	3	9	6
CMP_63	3	9	6
CMP_64	3	9	6
CMP_65	3	9	6
CMP_66	3	9	6
CMP_67	3	9	6
CMP_68	3	9	6
CMP_69	3	9	6
CMP_70	3	9	6
CMP_71	3	9	6
CMP_72	3	9	6
CMP_73	3	9	6
CMP_74	3	9	6
CMP_75	3	9	6
CMP_76	3	9	6
CMP_77	3	9	6
CMP_78	3	9	6
CMP_79	3	9	6
CMP_80	3	9	6
CMP_81	3	9	6
CMP_82	3	9	6
CMP_83	3	9	6
CMP_84	3	9	6
CMP_85	3	9	6
CMP_86	3	9	6
CMP_87	3	9	6
CMP_88	3	9	6
CMP_89	3	9	6
CMP_90	3	9	6
CMP_91	3	9	6
CMP_92	3	9	6
CMP_93	3	9	6
CMP_94	3	9	6
CMP_95	3	9	6
CMP_96	3	9	6
CMP_97	3	9	6
CMP_98	3	9	6
CMP_99	3	9	6
CMP_100	3	9	6
HSC_101	11	11	9
HSC_102	11	11	9
HSC_103	11	11	9
HSC_104	11	11	9
HSC_105	11	11	9
HSC_106	11	11	9
HSC_107	0	0	11
HSC_108	11	11	9
HSC_109	11	11	9
HSC_110	11	11	9
HSC_111	11	11	9
HSC_112	0	11	11
HSC_113	11	11	9
HSC_114	0	0	11
HSC_115	11	11	9
HSC_116	11	11	9
HSC_117	11	11	9
HSC_118	0	0	11
HSC_119	11	11	9
HSC_120	0	11	9
HSC_121	0	0	9
HSC_122	11	11	9
HSC_123	0	11	9
HSC_124	11	11	9
HSC_125	11	11	9
HSC_126	11	11	9
HSC_127	11	11	9
HSC_128	0	11	9
HSC_129	11	11	9
HSC_130	11	0	9
HSC_131	11	11	9
HSC_132	11	11	9
HSC_133	11	0	9
HSC_134	0	11	9
HSC_135	11	11	9
HSC_136	0	0	11
HSC_137	0	11	9
HSC_138	11	11	9
HSC_139	0	0	11
HSC_140	11	11	9
HSC_141	11	11	9
HSC_142	0	11	9
HSC_143	11	11	9
HSC_144	0	11	9
HSC_145	11	11	9
HSC_146	11	11	9
HSC_147	11	0	9
HSC_148	0	11	9
HSC_149	0	11	9
HSC_150	11	11	9
HSC_151	0	0	9
HSC_152	11	11	9
HSC_153	11	11	9
HSC_154	11	0	9
HSC_155	0	11	9
HSC_156	0	0	9
HSC_157	0	11	9
HSC_158	0	0	9
HSC_159	0	0	11
HSC_160	11	11	9
HSC_161	11	11	9
HSC_162	0	11	9
HSC_163	11	11	9
HSC_164	11	11	9
HSC_165	11	11	9
HSC_166	0	11	9
HSC_167	11	11	9
HSC_168	0	0	9
HSC_169	11	0	9
HSC_170	11	11	9
HSC_171	0	0	11
HSC_172	0	0	9
HSC_173	0	11	9
HSC_174	11	11	9
