	louvain	kmeans	hc
CMP_1	4	9	5
CMP_2	4	9	5
CMP_3	4	9	5
CMP_4	4	9	5
CMP_5	4	9	5
CMP_6	4	9	5
CMP_7	4	9	5
CMP_8	4	9	5
CMP_9	4	9	5
CMP_10	4	9	5
CMP_11	4	9	5
CMP_12	4	9	5
CMP_13	4	9	5
CMP_14	4	9	5
CMP_15	4	9	5
CMP_16	4	9	5
CMP_17	4	9	5
CMP_18	4	9	5
CMP_19	4	9	5
CMP_20	4	9	5
CMP_21	4	9	5
CMP_22	4	9	5
CMP_23	4	9	5
CMP_24	4	9	5
CMP_25	4	9	5
CMP_26	4	9	5
CMP_27	4	9	5
CMP_28	4	9	5
CMP_29	4	9	5
CMP_30	4	9	5
CMP_31	4	9	5
CMP_32	4	9	5
CMP_33	4	9	5
CMP_34	4	9	5
CMP_35	4	9	5
CMP_36	4	9	5
CMP_37	4	9	5
CMP_38	4	9	5
CMP_39	4	9	5
CMP_40	4	9	5
CMP_41	4	9	5
CMP_42	4	9	5
CMP_43	4	9	5
CMP_44	4	9	5
CMP_45	4	9	5
CMP_46	4	9	6
CMP_47	4	9	5
CMP_48	4	9	5
CMP_49	4	9	5
CMP_50	4	9	5
CMP_51	4	9	5
CMP_52	4	9	5
CMP_53	0	9	5
CMP_54	4	9	5
CMP_55	4	9	5
CMP_56	4	9	5
CMP_57	4	9	5
CMP_58	4	9	5
CMP_59	4	9	5
CMP_60	4	9	6
CMP_61	4	9	5
CMP_62	4	9	5
CMP_63	4	9	5
CMP_64	4	9	5
CMP_65	4	9	5
CMP_66	4	9	5
CMP_67	4	9	5
CMP_68	4	9	5
CMP_69	4	9	5
CMP_70	4	9	5
CMP_71	4	9	5
CMP_72	4	9	5
CMP_73	4	9	5
CMP_74	4	9	5
CMP_75	4	9	5
CMP_76	4	9	5
CMP_77	4	9	5
CMP_78	4	9	5
CMP_79	4	9	5
CMP_80	4	9	5
CMP_81	4	9	5
CMP_82	4	9	5
CMP_83	4	9	5
CMP_84	4	9	5
CMP_85	4	9	5
CMP_86	4	9	5
CMP_87	4	9	5
CMP_88	4	9	5
CMP_89	4	9	5
CMP_90	4	9	5
CMP_91	4	9	5
CMP_92	4	9	5
CMP_93	4	9	5
CMP_94	4	9	5
CMP_95	4	9	5
CMP_96	4	9	5
CMP_97	4	9	5
CMP_98	4	9	5
CMP_99	4	9	5
CMP_100	4	9	5
HSC_101	0	0	11
HSC_102	0	0	11
HSC_103	0	0	2
HSC_104	0	0	11
HSC_105	0	0	11
HSC_106	0	0	11
HSC_107	0	0	2
HSC_108	0	0	2
HSC_109	0	10	2
HSC_110	0	0	2
HSC_111	0	0	2
HSC_112	0	0	2
HSC_113	0	0	2
HSC_114	0	0	11
HSC_115	0	0	11
HSC_116	0	10	11
HSC_117	0	0	5
HSC_118	0	0	2
HSC_119	0	10	2
HSC_120	0	0	2
HSC_121	0	0	2
HSC_122	0	0	2
HSC_123	0	0	2
HSC_124	0	0	11
HSC_125	0	0	2
HSC_126	0	0	2
HSC_127	0	0	2
HSC_128	0	10	11
HSC_129	0	0	2
HSC_130	0	0	2
HSC_131	0	10	11
HSC_132	0	0	2
HSC_133	0	0	2
HSC_134	0	0	2
HSC_135	0	0	11
HSC_136	0	0	11
HSC_137	0	10	2
HSC_138	0	0	2
HSC_139	0	10	2
HSC_140	0	0	11
HSC_141	0	0	2
HSC_142	0	0	2
HSC_143	0	0	2
HSC_144	0	0	11
HSC_145	0	0	2
HSC_146	0	10	2
HSC_147	0	10	2
HSC_148	0	10	2
HSC_149	0	0	11
HSC_150	0	0	2
HSC_151	0	10	2
HSC_152	0	0	2
HSC_153	0	0	11
HSC_154	0	0	11
HSC_155	0	0	2
HSC_156	0	0	2
HSC_157	0	0	2
HSC_158	0	0	2
HSC_159	0	10	11
HSC_160	0	10	11
HSC_161	0	0	11
HSC_162	0	10	11
HSC_163	0	10	2
HSC_164	0	0	2
HSC_165	0	0	2
HSC_166	0	10	11
HSC_167	0	10	2
HSC_168	0	0	2
HSC_169	0	10	11
HSC_170	0	0	2
HSC_171	0	0	2
HSC_172	0	10	11
HSC_173	0	0	11
HSC_174	0	0	11
HSC_175	0	0	11
HSC_176	0	0	2
HSC_177	0	0	11
HSC_178	0	0	2
HSC_179	0	0	11
HSC_180	0	0	11
HSC_181	0	10	2
HSC_182	0	0	11
HSC_183	0	0	11
HSC_184	0	0	2
HSC_185	0	0	2
HSC_186	0	0	11
HSC_187	0	0	2
HSC_188	0	10	11
HSC_189	0	0	2
HSC_190	0	0	11
HSC_191	0	10	2
HSC_192	0	0	2
HSC_193	0	0	11
HSC_194	0	0	2
HSC_195	0	10	11
HSC_196	0	0	11
HSC_197	0	0	2
HSC_198	0	0	2
HSC_199	0	0	2
HSC_200	0	10	2
MEP_201	5	5	10
MEP_202	5	5	10
MEP_203	5	5	10
MEP_204	5	5	10
MEP_205	5	5	10
MEP_206	5	5	10
MEP_207	5	5	10
MEP_208	5	5	10
MEP_209	5	5	10
MEP_210	5	5	10
MEP_211	5	5	10
MEP_212	5	5	10
MEP_213	5	5	10
MEP_214	5	5	10
MEP_215	5	5	10
MEP_216	5	5	10
MEP_217	5	5	10
MEP_218	5	5	10
MEP_219	5	5	10
MEP_220	5	5	10
MEP_221	5	5	10
MEP_222	5	5	10
MEP_223	5	5	10
MEP_224	5	5	10
MEP_225	5	5	10
MEP_226	5	5	10
MEP_227	5	5	10
MEP_228	5	5	10
MEP_229	5	5	10
MEP_230	5	5	10
MEP_231	5	5	10
MEP_232	5	5	10
MEP_233	5	5	10
MEP_234	5	5	10
MEP_235	5	5	10
MEP_236	5	5	10
MEP_237	5	5	10
MEP_238	5	5	10
MEP_239	5	5	10
MEP_240	5	5	10
MEP_241	5	5	10
MEP_242	5	5	10
MEP_243	5	5	10
MEP_244	5	5	10
MEP_245	5	5	10
MEP_246	5	5	10
MEP_247	5	5	10
MEP_248	5	5	10
MEP_249	5	5	10
MEP_250	5	5	10
MEP_251	5	5	10
MEP_252	5	5	10
MEP_253	5	5	10
MEP_254	5	5	10
MEP_255	5	5	10
MEP_256	5	5	10
MEP_257	5	5	10
MEP_258	5	5	10
MEP_259	5	5	10
MEP_260	5	5	10
MEP_261	5	5	10
MEP_262	5	5	10
MEP_263	5	5	10
MEP_264	5	5	10
MEP_265	5	5	10
MEP_266	5	5	10
MEP_267	5	5	10
MEP_268	5	5	10
MEP_269	5	5	10
MEP_270	5	5	10
MEP_271	5	5	10
MEP_272	5	5	10
MEP_273	5	5	10
MEP_274	5	5	10
MEP_275	5	5	10
MEP_276	5	5	10
MEP_277	5	5	10
MEP_278	5	5	10
MEP_279	5	5	10
MEP_280	5	5	10
MEP_281	5	5	10
MEP_282	5	5	10
MEP_283	5	5	10
MEP_284	5	5	10
MEP_285	5	5	10
MEP_286	5	5	10
MEP_287	5	5	10
MEP_288	5	5	10
MEP_289	5	5	10
MEP_290	5	5	10
MEP_291	5	5	10
MEP_292	5	5	10
MEP_293	5	5	10
MEP_294	5	5	10
MEP_295	5	5	10
MEP_296	5	5	10
MEP_297	5	5	10
MEP_298	5	5	10
MEP_299	5	5	10
MEP_300	5	5	10
MPP_301	0	0	2
MPP_302	0	0	11
MPP_303	0	0	2
MPP_304	0	0	2
MPP_305	0	0	2
MPP_306	0	0	2
MPP_307	0	10	2
MPP_308	0	0	2
MPP_309	0	10	11
MPP_310	0	0	11
MPP_311	0	0	11
MPP_312	0	10	2
MPP_313	0	0	11
MPP_314	0	0	11
MPP_315	0	10	2
MPP_316	0	0	2
MPP_317	0	0	11
MPP_318	0	10	2
MPP_319	0	0	11
MPP_320	0	0	2
MPP_321	0	10	11
MPP_322	0	0	5
MPP_323	0	0	2
MPP_324	0	10	2
MPP_325	0	10	11
MPP_326	0	0	11
MPP_327	0	0	11
MPP_328	0	0	2
MPP_329	0	0	2
MPP_330	0	0	2
MPP_331	0	10	2
MPP_332	0	10	2
MPP_333	0	0	2
MPP_334	0	10	2
MPP_335	0	10	11
MPP_336	0	0	11
MPP_337	0	10	2
MPP_338	0	0	2
MPP_339	0	10	2
MPP_340	0	0	2
MPP_341	0	10	2
MPP_342	0	0	11
MPP_343	0	10	2
MPP_344	0	0	11
MPP_345	0	0	2
MPP_346	0	0	2
MPP_347	0	0	2
MPP_348	0	0	2
MPP_349	0	0	11
MPP_350	0	0	2
MPP_351	0	0	11
MPP_352	0	10	11
MPP_353	0	0	11
MPP_354	0	0	11
MPP_355	0	0	11
MPP_356	0	10	11
MPP_357	0	10	11
MPP_358	0	0	2
MPP_359	0	0	11
MPP_360	0	0	11
MPP_361	0	0	2
MPP_362	0	0	11
MPP_363	0	0	2
MPP_364	0	0	2
MPP_365	0	10	11
MPP_366	0	0	11
MPP_367	0	0	11
MPP_368	0	0	11
MPP_369	0	0	2
MPP_370	0	0	2
MPP_371	0	0	2
MPP_372	0	0	11
MPP_373	0	0	2
MPP_374	0	10	2
MPP_375	0	0	11
MPP_376	0	0	2
MPP_377	0	0	11
MPP_378	0	0	11
