	louvain	kmeans	hc
CMP_1	6	9	2
CMP_2	6	9	2
CMP_3	6	9	2
CMP_4	6	9	2
CMP_5	6	9	2
CMP_6	6	9	2
CMP_7	6	9	2
CMP_8	0	1	2
CMP_9	6	9	2
CMP_10	6	9	2
CMP_11	6	9	2
CMP_12	6	9	2
CMP_13	6	9	2
CMP_14	6	9	2
CMP_15	6	9	2
CMP_16	6	9	2
CMP_17	6	9	2
CMP_18	6	9	2
CMP_19	6	9	2
CMP_20	6	9	2
CMP_21	6	9	2
CMP_22	6	9	2
CMP_23	6	9	2
CMP_24	6	9	2
CMP_25	6	9	2
CMP_26	6	9	2
CMP_27	6	9	2
CMP_28	6	9	11
CMP_29	6	9	2
CMP_30	6	9	2
CMP_31	6	9	2
CMP_32	6	9	2
CMP_33	6	9	2
CMP_34	6	9	2
CMP_35	6	9	2
CMP_36	6	9	2
CMP_37	6	9	2
CMP_38	6	9	2
CMP_39	6	9	2
CMP_40	6	9	2
CMP_41	6	9	2
CMP_42	6	9	2
CMP_43	6	9	2
CMP_44	6	9	2
CMP_45	6	9	2
CMP_46	6	9	2
CMP_47	6	9	2
CMP_48	6	9	2
CMP_49	6	9	2
CMP_50	6	9	2
CMP_51	6	9	2
CMP_52	6	9	2
CMP_53	6	9	2
CMP_54	6	9	2
CMP_55	6	9	2
CMP_56	6	9	2
CMP_57	6	9	2
CMP_58	6	9	2
CMP_59	6	9	2
CMP_60	6	9	2
CMP_61	6	9	2
CMP_62	6	9	2
CMP_63	6	9	2
CMP_64	6	9	2
CMP_65	6	9	2
CMP_66	6	9	2
CMP_67	6	9	2
CMP_68	6	9	2
CMP_69	6	9	2
CMP_70	6	9	2
CMP_71	6	9	2
CMP_72	6	9	2
CMP_73	6	9	2
CMP_74	6	9	2
CMP_75	6	9	2
CMP_76	6	9	2
CMP_77	6	9	2
CMP_78	6	9	2
CMP_79	6	9	2
CMP_80	6	9	2
CMP_81	6	9	2
CMP_82	6	9	2
CMP_83	6	9	2
CMP_84	6	9	2
CMP_85	6	9	2
CMP_86	6	9	2
CMP_87	6	9	2
CMP_88	6	9	2
CMP_89	6	9	2
CMP_90	6	9	2
CMP_91	6	9	2
CMP_92	6	9	2
CMP_93	6	9	2
CMP_94	6	9	2
CMP_95	6	9	2
CMP_96	6	9	2
CMP_97	6	9	2
CMP_98	6	9	2
CMP_99	6	9	2
CMP_100	6	9	2
HSC_101	0	6	3
HSC_102	0	1	3
HSC_103	0	6	3
HSC_104	0	1	11
HSC_105	0	1	3
HSC_106	0	1	3
HSC_107	0	6	3
HSC_108	0	6	3
HSC_109	0	6	3
HSC_110	0	1	3
HSC_111	0	6	3
HSC_112	0	1	3
HSC_113	0	1	11
HSC_114	0	6	3
HSC_115	0	1	3
HSC_116	0	1	3
HSC_117	0	6	3
HSC_118	0	1	3
HSC_119	0	1	3
HSC_120	0	6	3
HSC_121	0	1	11
HSC_122	0	6	3
HSC_123	0	6	3
HSC_124	0	6	3
HSC_125	0	6	3
HSC_126	0	6	3
HSC_127	0	6	3
HSC_128	0	1	3
HSC_129	0	6	3
HSC_130	0	6	3
HSC_131	0	1	3
HSC_132	0	6	3
HSC_133	0	1	3
HSC_134	0	6	3
HSC_135	0	1	11
HSC_136	0	1	3
HSC_137	0	1	3
HSC_138	0	6	3
HSC_139	0	6	3
HSC_140	0	1	11
HSC_141	0	6	3
HSC_142	0	1	3
HSC_143	0	6	3
HSC_144	0	1	3
HSC_145	0	6	3
HSC_146	0	6	3
HSC_147	0	6	3
HSC_148	0	6	3
HSC_149	0	1	11
HSC_150	0	1	3
HSC_151	0	6	3
HSC_152	0	6	3
HSC_153	0	1	11
HSC_154	0	1	3
HSC_155	0	6	3
HSC_156	0	6	3
