	louvain	kmeans	hc
CMP_1	2	6	7
CMP_2	2	4	6
CMP_3	0	6	7
CMP_4	2	4	7
CMP_5	4	11	5
CMP_6	2	3	6
CMP_7	2	4	7
CMP_8	4	6	7
CMP_9	0	6	7
CMP_10	4	11	11
CMP_11	2	3	6
CMP_12	2	4	7
CMP_13	2	6	7
CMP_14	2	3	7
CMP_15	2	3	6
CMP_16	0	6	5
CMP_17	0	6	5
CMP_18	0	6	5
CMP_19	0	6	5
CMP_20	2	3	6
CMP_21	0	6	5
CMP_22	2	4	7
CMP_23	2	4	7
CMP_24	0	4	7
CMP_25	0	6	7
CMP_26	0	6	5
CMP_27	0	6	5
CMP_28	0	6	7
CMP_29	2	4	7
CMP_30	2	3	7
CMP_31	0	6	11
CMP_32	2	4	7
CMP_33	2	4	7
CMP_34	0	6	7
CMP_35	2	3	6
CMP_36	0	6	5
CMP_37	2	4	7
CMP_38	2	6	7
CMP_39	0	11	7
CMP_40	2	3	6
CMP_41	2	4	7
CMP_42	0	6	5
CMP_43	0	6	7
CMP_44	2	3	9
CMP_45	0	11	7
CMP_46	4	3	11
CMP_47	0	6	7
CMP_48	0	4	7
CMP_49	0	4	7
CMP_50	0	6	5
CMP_51	2	3	7
CMP_52	2	4	7
CMP_53	2	6	7
CMP_54	2	3	6
CMP_55	2	3	7
CMP_56	2	6	7
CMP_57	0	6	5
CMP_58	2	3	6
CMP_59	0	6	5
CMP_60	0	6	11
CMP_61	0	11	5
CMP_62	0	6	5
CMP_63	0	6	7
CMP_64	2	3	6
CMP_65	0	6	5
CMP_66	0	6	5
CMP_67	0	6	7
CMP_68	0	6	5
CMP_69	0	6	7
CMP_70	2	3	6
CMP_71	0	6	7
CMP_72	0	6	7
CMP_73	2	3	7
CMP_74	2	6	7
CMP_75	0	6	7
CMP_76	0	6	7
CMP_77	2	4	7
CMP_78	4	3	7
CMP_79	2	3	7
CMP_80	0	6	7
CMP_81	0	6	7
CMP_82	0	6	5
CMP_83	0	11	11
CMP_84	2	4	7
CMP_85	2	6	11
CMP_86	2	3	6
CMP_87	0	6	5
CMP_88	2	3	7
CMP_89	2	3	6
CMP_90	0	6	5
CMP_91	2	4	6
CMP_92	0	6	7
CMP_93	0	6	5
CMP_94	2	4	0
CMP_95	0	6	0
CMP_96	0	6	5
CMP_97	0	6	5
CMP_98	0	6	7
CMP_99	2	3	6
CMP_100	2	3	7
HSC_101	0	6	7
HSC_102	0	6	5
HSC_103	0	6	7
HSC_104	0	6	5
HSC_105	2	4	7
HSC_106	0	6	7
HSC_107	0	6	5
HSC_108	2	4	6
HSC_109	2	6	6
HSC_110	0	6	5
HSC_111	2	4	7
HSC_112	0	4	5
HSC_113	0	6	5
HSC_114	2	4	6
HSC_115	2	4	7
HSC_116	2	4	6
HSC_117	2	4	6
HSC_118	0	6	5
HSC_119	2	4	6
HSC_120	2	4	6
HSC_121	2	4	7
HSC_122	2	4	6
HSC_123	0	6	5
HSC_124	2	4	6
HSC_125	0	4	5
HSC_126	0	6	5
HSC_127	0	6	6
HSC_128	0	6	7
HSC_129	0	6	5
HSC_130	2	4	6
HSC_131	2	4	6
HSC_132	0	6	5
HSC_133	2	4	7
HSC_134	0	6	5
HSC_135	2	4	6
HSC_136	2	6	7
HSC_137	2	4	6
HSC_138	2	4	6
HSC_139	0	6	5
HSC_140	0	6	5
HSC_141	0	6	7
HSC_142	0	6	5
HSC_143	0	4	7
HSC_144	0	6	5
HSC_145	0	6	6
HSC_146	2	4	7
HSC_147	2	4	6
HSC_148	0	6	7
HSC_149	2	4	6
HSC_150	2	4	6
HSC_151	0	6	5
HSC_152	2	4	5
HSC_153	2	4	7
