	louvain	kmeans	hc
CMP_1	9	11	6
CMP_2	3	2	4
CMP_3	3	2	4
CMP_4	6	4	4
CMP_5	9	10	5
CMP_6	2	8	9
CMP_7	6	4	4
CMP_8	9	2	4
CMP_9	3	11	4
CMP_10	9	10	4
CMP_11	2	8	4
CMP_12	3	4	4
CMP_13	9	2	5
CMP_14	9	8	4
CMP_15	6	8	4
CMP_16	3	11	6
CMP_17	3	11	6
CMP_18	3	11	6
CMP_19	2	11	6
CMP_20	6	4	4
CMP_21	9	11	6
CMP_22	9	4	4
CMP_23	9	4	4
CMP_24	9	2	4
CMP_25	3	2	6
CMP_26	3	2	6
CMP_27	3	11	6
CMP_28	9	2	4
CMP_29	6	11	4
CMP_30	2	8	9
CMP_31	9	11	4
CMP_32	9	2	4
CMP_33	6	4	4
CMP_34	9	11	6
CMP_35	9	2	4
CMP_36	3	11	6
CMP_37	6	4	5
CMP_38	9	2	4
CMP_39	3	2	5
CMP_40	6	4	9
CMP_41	9	4	4
CMP_42	3	11	4
CMP_43	4	11	6
CMP_44	2	8	4
CMP_45	3	10	5
CMP_46	2	8	5
CMP_47	3	2	5
CMP_48	3	4	4
CMP_49	3	2	4
CMP_50	3	11	6
CMP_51	2	8	4
CMP_52	6	4	4
CMP_53	9	2	6
CMP_54	2	8	9
CMP_55	9	4	4
CMP_56	9	2	4
CMP_57	3	11	6
CMP_58	9	4	4
CMP_59	9	11	6
CMP_60	9	2	4
CMP_61	3	11	6
CMP_62	3	2	6
CMP_63	3	11	1
CMP_64	6	4	4
CMP_65	3	11	4
CMP_66	3	11	6
CMP_67	3	2	6
CMP_68	3	11	6
CMP_69	3	2	6
CMP_70	2	8	9
CMP_71	3	2	1
CMP_72	9	2	6
CMP_73	2	8	5
CMP_74	9	2	4
CMP_75	9	2	6
CMP_76	9	2	4
CMP_77	9	4	4
CMP_78	2	8	9
CMP_79	2	8	9
CMP_80	9	11	4
CMP_81	9	2	4
CMP_82	3	11	6
CMP_83	2	11	5
CMP_84	9	4	6
CMP_85	6	4	5
CMP_86	2	8	4
CMP_87	9	11	4
CMP_88	9	4	4
CMP_89	6	4	9
CMP_90	3	11	6
CMP_91	6	4	9
CMP_92	9	2	4
CMP_93	3	11	6
CMP_94	6	4	4
CMP_95	3	11	6
CMP_96	3	11	4
CMP_97	3	2	5
CMP_98	9	2	6
CMP_99	2	4	4
CMP_100	9	8	5
HSC_101	9	2	4
HSC_102	3	11	6
HSC_103	9	11	4
HSC_104	3	11	6
HSC_105	6	2	6
HSC_106	3	2	6
HSC_107	3	11	6
HSC_108	6	4	4
HSC_109	9	2	4
HSC_110	3	2	6
HSC_111	6	4	4
HSC_112	3	2	4
HSC_113	3	11	6
HSC_114	6	4	4
HSC_115	9	2	4
HSC_116	6	2	4
HSC_117	6	4	4
HSC_118	3	11	6
HSC_119	6	4	4
HSC_120	6	4	4
HSC_121	9	4	4
HSC_122	6	4	4
HSC_123	3	2	6
HSC_124	6	4	4
HSC_125	3	4	4
HSC_126	3	11	6
HSC_127	9	2	6
HSC_128	3	2	6
HSC_129	3	2	4
HSC_130	6	4	4
HSC_131	6	4	4
HSC_132	3	11	6
HSC_133	9	2	4
HSC_134	3	11	6
HSC_135	6	4	4
HSC_136	9	2	6
HSC_137	6	4	4
HSC_138	9	2	4
HSC_139	3	11	6
HSC_140	9	2	6
HSC_141	3	2	4
HSC_142	3	11	6
HSC_143	3	2	4
HSC_144	3	11	6
HSC_145	3	2	4
HSC_146	6	4	4
HSC_147	6	4	4
HSC_148	3	11	6
HSC_149	6	4	4
HSC_150	6	4	4
HSC_151	3	11	6
HSC_152	6	4	4
HSC_153	6	4	4
HSC_154	3	2	6
HSC_155	9	2	4
HSC_156	3	11	6
HSC_157	6	4	4
HSC_158	6	4	4
HSC_159	3	4	4
HSC_160	3	11	4
HSC_161	9	2	4
HSC_162	6	4	4
HSC_163	6	4	4
HSC_164	3	2	6
HSC_165	6	4	4
HSC_166	3	2	6
HSC_167	9	2	4
HSC_168	3	2	4
HSC_169	6	4	9
HSC_170	3	11	6
HSC_171	6	4	4
HSC_172	9	2	4
HSC_173	3	11	6
HSC_174	9	2	6
HSC_175	9	4	4
HSC_176	9	4	6
HSC_177	6	4	4
HSC_178	9	2	4
HSC_179	9	2	4
HSC_180	3	11	6
HSC_181	6	4	4
HSC_182	6	4	4
HSC_183	9	4	4
HSC_184	3	11	4
HSC_185	6	4	4
HSC_186	3	11	6
HSC_187	3	11	6
HSC_188	6	4	4
HSC_189	6	4	4
HSC_190	3	11	6
HSC_191	6	4	4
HSC_192	6	4	4
HSC_193	6	4	4
HSC_194	6	4	4
HSC_195	3	11	6
HSC_196	6	4	4
HSC_197	3	2	6
HSC_198	3	2	6
HSC_199	3	2	6
HSC_200	6	4	4
MEP_201	4	7	1
MEP_202	4	7	1
MEP_203	4	7	1
MEP_204	4	7	1
MEP_205	4	7	1
MEP_206	4	7	1
MEP_207	4	7	1
MEP_208	4	7	1
MEP_209	4	7	1
MEP_210	4	7	1
MEP_211	4	7	1
MEP_212	4	7	1
MEP_213	4	7	1
MEP_214	4	7	1
MEP_215	4	7	1
MEP_216	4	7	1
MEP_217	4	7	1
MEP_218	4	7	1
MEP_219	4	7	1
MEP_220	4	7	1
MEP_221	4	7	1
MEP_222	4	7	1
MEP_223	4	7	1
MEP_224	4	7	1
MEP_225	4	7	1
MEP_226	4	7	1
MEP_227	4	7	1
MEP_228	4	11	1
MEP_229	4	7	1
MEP_230	4	7	1
MEP_231	4	7	1
MEP_232	4	7	1
MEP_233	4	11	1
MEP_234	4	7	1
MEP_235	4	7	1
MEP_236	4	7	1
MEP_237	4	7	1
MEP_238	4	7	1
MEP_239	4	7	1
MEP_240	4	7	1
MEP_241	4	7	1
MEP_242	4	7	1
MEP_243	4	7	1
MEP_244	4	7	1
MEP_245	4	7	1
MEP_246	4	7	1
MEP_247	4	7	1
MEP_248	4	11	1
MEP_249	4	7	1
MEP_250	4	7	1
MEP_251	4	7	1
MEP_252	4	7	1
MEP_253	4	11	6
MEP_254	4	7	1
MEP_255	4	7	1
MEP_256	4	7	1
MEP_257	4	7	1
MEP_258	4	11	1
MEP_259	4	7	1
MEP_260	4	7	1
MEP_261	4	7	4
MEP_262	4	11	1
