	louvain	kmeans	hc
CMP_1	6	6	3
CMP_2	6	6	3
CMP_3	6	6	3
CMP_4	6	6	3
CMP_5	6	6	3
CMP_6	6	6	3
CMP_7	6	6	3
CMP_8	6	6	3
CMP_9	6	6	3
CMP_10	6	6	3
CMP_11	6	6	3
CMP_12	6	6	3
CMP_13	6	6	3
CMP_14	6	6	3
CMP_15	6	6	3
CMP_16	6	6	3
CMP_17	6	6	3
CMP_18	6	6	3
CMP_19	6	6	3
CMP_20	6	6	3
CMP_21	6	6	3
CMP_22	6	6	3
CMP_23	6	6	3
CMP_24	6	6	3
CMP_25	6	6	3
CMP_26	6	6	3
CMP_27	6	6	3
CMP_28	6	6	3
CMP_29	6	6	3
CMP_30	6	6	3
CMP_31	6	6	3
CMP_32	6	6	3
CMP_33	6	6	3
CMP_34	6	6	3
CMP_35	6	6	3
CMP_36	6	6	3
CMP_37	6	6	3
CMP_38	6	6	3
CMP_39	6	6	3
CMP_40	6	6	3
CMP_41	6	6	3
CMP_42	6	6	3
CMP_43	6	6	3
CMP_44	6	6	3
CMP_45	6	6	3
CMP_46	6	6	3
CMP_47	6	6	3
CMP_48	6	6	3
CMP_49	6	6	3
CMP_50	6	6	3
CMP_51	6	6	3
CMP_52	6	6	3
CMP_53	6	6	3
CMP_54	6	6	3
CMP_55	6	6	3
CMP_56	6	6	3
CMP_57	6	6	3
CMP_58	6	6	3
CMP_59	6	6	3
CMP_60	6	6	3
CMP_61	6	6	3
CMP_62	6	6	3
CMP_63	6	6	3
CMP_64	6	6	3
CMP_65	6	6	3
CMP_66	6	6	3
CMP_67	6	6	3
CMP_68	6	6	3
CMP_69	6	6	3
CMP_70	6	6	3
CMP_71	6	6	3
CMP_72	6	6	3
CMP_73	6	6	3
CMP_74	6	6	3
CMP_75	6	6	3
CMP_76	6	6	3
CMP_77	6	6	3
CMP_78	6	6	3
CMP_79	6	6	3
CMP_80	6	6	3
CMP_81	6	6	3
CMP_82	6	6	3
CMP_83	6	6	3
CMP_84	6	6	3
CMP_85	6	6	3
CMP_86	6	6	3
CMP_87	6	6	3
CMP_88	6	6	3
CMP_89	6	6	3
CMP_90	6	6	3
CMP_91	6	6	3
CMP_92	6	6	3
CMP_93	6	6	3
CMP_94	6	6	3
CMP_95	6	6	3
CMP_96	6	6	3
CMP_97	6	6	3
CMP_98	6	6	3
CMP_99	6	6	3
