	louvain	kmeans	hc
CMP_1	7	9	6
CMP_2	7	9	6
CMP_3	10	9	6
CMP_4	4	9	5
CMP_5	7	9	5
CMP_6	9	9	6
CMP_7	4	9	6
CMP_8	4	9	0
CMP_9	2	9	6
CMP_10	9	9	6
CMP_11	7	9	6
CMP_12	4	9	0
CMP_13	7	9	6
CMP_14	4	9	6
CMP_15	9	9	0
CMP_16	10	9	6
CMP_17	7	9	6
CMP_18	5	9	0
CMP_19	10	8	6
CMP_20	5	9	6
CMP_21	7	9	6
CMP_22	4	9	6
CMP_23	10	9	6
CMP_24	7	9	6
CMP_25	5	9	6
CMP_26	7	9	0
CMP_27	7	9	5
CMP_28	4	9	6
CMP_29	2	9	6
CMP_30	10	9	6
CMP_31	4	9	5
CMP_32	4	9	6
CMP_33	7	9	6
CMP_34	5	9	6
CMP_35	5	9	6
CMP_36	4	9	6
CMP_37	5	9	6
CMP_38	4	8	6
CMP_39	5	9	6
CMP_40	7	9	6
CMP_41	4	9	0
CMP_42	9	9	6
CMP_43	7	9	6
CMP_44	5	9	6
CMP_45	9	9	6
CMP_46	7	9	6
CMP_47	5	9	6
CMP_48	4	9	5
CMP_49	7	9	6
CMP_50	9	8	6
CMP_51	7	9	6
CMP_52	7	9	6
CMP_53	2	9	6
CMP_54	4	9	6
CMP_55	9	9	6
CMP_56	10	9	6
CMP_57	4	9	6
CMP_58	7	9	0
CMP_59	4	8	6
CMP_60	5	9	6
CMP_61	4	9	6
CMP_62	7	9	0
CMP_63	7	9	6
CMP_64	5	9	6
CMP_65	4	9	6
CMP_66	7	9	6
CMP_67	4	2	6
CMP_68	5	9	0
CMP_69	4	8	6
CMP_70	7	9	6
CMP_71	5	9	6
CMP_72	5	9	6
CMP_73	10	9	6
CMP_74	4	8	5
CMP_75	2	9	5
CMP_76	7	9	5
CMP_77	7	9	6
CMP_78	2	8	0
CMP_79	7	9	0
CMP_80	9	9	6
CMP_81	9	8	5
CMP_82	4	9	6
CMP_83	5	9	1
CMP_84	4	9	6
