,ARI_Louvain,ARI_kmeans,ARI_HC,AMI_Louvain,AMI_kmeans,AMI_HC,Homogeneity_Louvain,Homogeneity_kmeans,Homogeneity_HC
Control,0.7509412679780892,0.699898385059665,0.6966347693830417,0.8541980529797133,0.8209962815728108,0.8239168073581477,0.8553535280288439,0.8242733994072617,0.8227881914082606
BROCKMAN,0.8539369846805382,0.7105846738709564,0.7150004064466383,0.9126839836064229,0.8419184317733769,0.8569937628270617,0.9115271653708575,0.837231678895099,0.8476168522477311
Cusanovich2018,0.8338775360859039,0.7054879748736592,0.7283462824350516,0.9105099414006289,0.8579650821757103,0.8828251367375207,0.9122288282727679,0.8362350367966751,0.8385708749888346
cisTopic,0.8595049440549879,0.8702470274224893,0.8622041843109304,0.925825837884245,0.9245966629315985,0.9181300965688322,0.9242679638910307,0.9261081214696997,0.9190603194728533
chromVAR_kmers,0.6313615918535093,0.6831245608237233,0.6339394841058875,0.7797033824860297,0.8119927550171999,0.7713492043157495,0.7747948097091112,0.8093437733003058,0.7732499850401979
chromVAR_motifs,0.4183303251219175,0.373959960964349,0.34949879619455754,0.6122696141469555,0.5864846277331378,0.5585890809050321,0.6113403115886421,0.5918307646598595,0.559489392814745
chromVAR_kmers_pca,0.6947089484426298,0.7021742200995535,0.6704267632868235,0.8444248860106419,0.8188121778351324,0.7946885822868813,0.7905206414010724,0.8220464893354669,0.7897061476897675
chromVAR_motifs_pca,0.3966113195984477,0.35172197888945594,0.36696711655284286,0.5874961511631188,0.5838585446902371,0.5644767450302881,0.59070774337197,0.5887336205475051,0.5622348125843875
GeneScoring,0.012754519282333326,0.28144160069000546,0.2808547836548946,0.02125866839101055,0.5019210899172134,0.4681682725612736,0.041543512440951814,0.432986878730108,0.44614038207290146
GeneScoring_pca,0.2958747267169871,0.3162264621735638,0.27818429727358096,0.5044672320317971,0.5608273150230112,0.5162127422052865,0.5085651658644503,0.551596828871466,0.5064095682726639
Cicero,0.0034583121714096745,0.2786151282393706,0.42173122055029244,0.009644981334968787,0.4981868606556922,0.617712810614274,0.030290014321239803,0.41187138239845383,0.5708840684714556
Cicero_pca,0.3570914777033227,0.3385780446838907,0.3737424152541868,0.5442373946423495,0.5422565190082296,0.5646438685150174,0.5357209950989862,0.5422270727888195,0.5490066315789092
SnapATAC,0.9181732657033723,0.9264304768932382,0.937412997444771,0.9520172161550116,0.9521010338164276,0.9582222746803467,0.952461868003616,0.9530573091963512,0.9589203690782897
Scasat,0.762753796579329,0.7328748814383107,0.7362028828473994,0.864581368150762,0.8391806004730943,0.8438017513719521,0.8574770171394447,0.8347173223261233,0.8360370543046517
scABC,0.5201530994567106,0.3960195533714778,0.5913617425886417,0.7045763387249391,0.6479464811981768,0.7574402082051062,0.6569478290299918,0.5646960652771535,0.7447471304236439
SCRAT,0.6437017043314193,0.6045042144873228,0.6197466805868136,0.7931350481453999,0.7830771330495915,0.7971167757246962,0.7921250042458036,0.7800145451231825,0.7875135264771062
SCRAT_pca,0.6404079169031467,0.5945980656208333,0.577833865990107,0.790123720200921,0.7746768443886658,0.7730884086354425,0.7895331436563354,0.77357378695102,0.768021855185991
