	louvain	kmeans	hc
CMP_1	2	4	0
CMP_2	4	4	3
CMP_3	2	1	2
CMP_4	6	6	3
CMP_5	4	4	3
CMP_6	9	7	11
CMP_7	6	6	3
CMP_8	4	1	3
CMP_9	4	8	3
CMP_10	6	1	2
CMP_11	2	8	3
CMP_12	6	6	2
CMP_13	4	1	2
CMP_14	4	4	3
CMP_15	6	8	3
CMP_16	4	4	0
CMP_17	4	8	3
CMP_18	4	8	3
CMP_19	2	1	2
CMP_20	4	4	3
CMP_21	4	8	3
CMP_22	4	8	3
CMP_23	4	4	3
CMP_24	6	7	0
CMP_25	6	6	2
CMP_26	4	8	3
CMP_27	4	1	0
CMP_28	6	6	0
CMP_29	4	4	3
CMP_30	6	4	2
CMP_31	6	4	3
CMP_32	4	4	3
CMP_33	4	1	2
CMP_34	6	6	3
CMP_35	6	4	3
CMP_36	6	4	3
CMP_37	2	4	2
CMP_38	4	4	3
CMP_39	6	6	3
CMP_40	4	8	3
CMP_41	6	6	0
CMP_42	4	8	3
CMP_43	6	4	2
CMP_44	2	1	2
CMP_45	4	4	3
CMP_46	6	8	3
CMP_47	4	4	3
CMP_48	6	6	3
CMP_49	6	6	2
CMP_50	6	4	3
CMP_51	4	4	3
CMP_52	4	8	3
CMP_53	6	1	2
CMP_54	9	7	11
CMP_55	2	1	2
CMP_56	4	4	3
CMP_57	4	8	3
CMP_58	6	6	0
CMP_59	6	6	0
CMP_60	6	1	3
CMP_61	9	7	11
CMP_62	4	6	0
CMP_63	6	4	2
CMP_64	6	4	3
CMP_65	6	6	2
CMP_66	2	8	2
CMP_67	9	7	3
CMP_68	4	4	3
CMP_69	6	6	2
CMP_70	4	1	0
CMP_71	6	4	2
CMP_72	9	7	11
CMP_73	4	4	3
CMP_74	4	8	3
CMP_75	4	8	3
CMP_76	4	8	3
CMP_77	2	6	2
CMP_78	6	6	2
CMP_79	4	4	3
CMP_80	6	6	3
CMP_81	2	1	2
CMP_82	4	8	3
CMP_83	2	1	2
CMP_84	2	1	2
CMP_85	6	6	0
CMP_86	4	1	0
CMP_87	2	1	2
CMP_88	9	1	2
CMP_89	6	6	0
CMP_90	4	8	3
CMP_91	4	1	2
CMP_92	4	4	3
CMP_93	9	7	11
CMP_94	4	4	3
CMP_95	4	8	3
CMP_96	6	8	2
CMP_97	6	4	2
CMP_98	4	4	3
CMP_99	4	4	3
CMP_100	2	8	3
HSC_101	2	1	2
HSC_102	2	1	2
HSC_103	2	4	2
HSC_104	2	1	2
HSC_105	2	8	3
HSC_106	6	6	0
HSC_107	4	8	0
HSC_108	4	8	3
HSC_109	6	6	2
HSC_110	2	1	2
HSC_111	2	1	2
HSC_112	2	1	2
HSC_113	2	1	2
HSC_114	4	4	3
HSC_115	4	1	2
HSC_116	2	1	2
HSC_117	4	1	2
HSC_118	2	4	2
HSC_119	2	1	2
HSC_120	2	1	2
HSC_121	2	1	2
HSC_122	2	1	2
HSC_123	2	1	2
HSC_124	4	4	3
HSC_125	2	4	2
HSC_126	2	4	2
HSC_127	2	1	2
HSC_128	2	1	2
HSC_129	4	4	2
HSC_130	4	4	3
HSC_131	4	4	3
HSC_132	2	1	2
HSC_133	6	4	2
HSC_134	2	4	2
HSC_135	6	1	0
HSC_136	2	1	2
HSC_137	2	4	2
HSC_138	2	8	3
HSC_139	2	4	0
HSC_140	4	1	2
HSC_141	2	1	2
HSC_142	9	7	0
HSC_143	4	1	2
HSC_144	9	7	11
HSC_145	2	4	2
HSC_146	2	4	2
HSC_147	2	1	2
HSC_148	2	4	2
HSC_149	2	4	2
HSC_150	2	1	2
HSC_151	2	4	2
HSC_152	2	1	2
HSC_153	2	4	2
HSC_154	2	1	2
HSC_155	4	8	3
HSC_156	4	1	2
HSC_157	2	1	2
HSC_158	2	4	2
HSC_159	2	4	2
HSC_160	2	1	2
HSC_161	4	1	2
HSC_162	6	4	2
HSC_163	2	1	2
HSC_164	2	4	2
HSC_165	4	4	2
HSC_166	2	4	2
HSC_167	6	6	0
HSC_168	2	4	2
HSC_169	2	4	2
HSC_170	2	4	2
HSC_171	4	1	3
HSC_172	4	8	3
HSC_173	2	1	2
HSC_174	2	4	2
HSC_175	2	1	2
HSC_176	6	6	0
HSC_177	4	1	2
HSC_178	4	8	3
HSC_179	2	1	2
HSC_180	2	1	2
HSC_181	2	1	2
HSC_182	4	1	2
HSC_183	4	1	2
HSC_184	2	1	2
HSC_185	4	1	2
HSC_186	2	1	2
HSC_187	4	4	3
HSC_188	4	4	2
HSC_189	4	1	2
HSC_190	2	1	2
HSC_191	2	1	2
HSC_192	4	4	3
HSC_193	9	7	11
HSC_194	6	6	0
HSC_195	4	1	2
HSC_196	4	8	3
HSC_197	2	1	2
HSC_198	4	1	2
HSC_199	4	1	2
HSC_200	9	7	11
MEP_201	4	1	0
MEP_202	9	7	11
MEP_203	6	8	3
MEP_204	9	7	11
MEP_205	6	6	0
MEP_206	9	7	3
MEP_207	4	8	3
MEP_208	6	6	3
MEP_209	9	6	3
MEP_210	6	6	0
MEP_211	6	8	3
MEP_212	9	6	3
MEP_213	6	4	3
MEP_214	6	6	2
MEP_215	4	8	3
MEP_216	9	7	11
MEP_217	6	8	3
MEP_218	6	4	3
MEP_219	9	8	2
MEP_220	4	4	3
MEP_221	4	8	3
MEP_222	6	6	3
MEP_223	6	6	0
MEP_224	6	6	3
MEP_225	4	4	3
MEP_226	6	8	3
MEP_227	9	7	11
MEP_228	4	8	3
MEP_229	6	6	0
MEP_230	6	6	3
MEP_231	4	8	3
MEP_232	6	4	3
MEP_233	6	6	3
MEP_234	6	6	3
MEP_235	6	6	0
MEP_236	6	8	3
MEP_237	4	8	3
MEP_238	6	6	0
MEP_239	4	4	3
MEP_240	6	8	3
MEP_241	6	8	3
MEP_242	6	6	0
MEP_243	6	6	0
MEP_244	4	8	3
MEP_245	6	8	3
MEP_246	6	6	2
MEP_247	9	7	11
MEP_248	2	6	2
MEP_249	6	4	2
MEP_250	6	1	3
MEP_251	2	1	2
MEP_252	6	6	0
MEP_253	4	8	3
MEP_254	4	8	3
MEP_255	6	6	0
MEP_256	6	6	0
MEP_257	6	6	0
MEP_258	2	6	2
MEP_259	9	7	11
MEP_260	6	6	0
MEP_261	4	8	3
MEP_262	6	6	3
MEP_263	4	8	3
MEP_264	6	8	3
MEP_265	6	6	0
MEP_266	6	1	3
MEP_267	6	6	0
MEP_268	6	4	2
MEP_269	4	8	3
MEP_270	6	6	3
MEP_271	9	7	11
MEP_272	6	6	0
MEP_273	6	6	3
MEP_274	4	8	3
MEP_275	9	8	3
MEP_276	4	8	3
MEP_277	4	8	3
