	louvain	kmeans	hc
CMP_1	5	11	6
CMP_2	5	11	6
CMP_3	5	11	6
CMP_4	5	11	6
CMP_5	5	11	6
CMP_6	5	11	6
CMP_7	5	11	6
CMP_8	5	11	6
CMP_9	5	11	6
CMP_10	5	11	6
CMP_11	5	11	6
CMP_12	5	11	6
CMP_13	5	11	6
CMP_14	5	11	6
CMP_15	5	11	6
CMP_16	5	11	6
CMP_17	5	11	6
CMP_18	5	11	6
CMP_19	5	11	6
CMP_20	5	11	6
CMP_21	5	11	6
CMP_22	5	11	6
CMP_23	5	11	6
CMP_24	5	11	6
CMP_25	5	11	6
CMP_26	5	11	6
CMP_27	5	11	6
CMP_28	5	11	6
CMP_29	5	11	6
CMP_30	5	11	6
CMP_31	5	11	6
CMP_32	5	11	6
CMP_33	5	11	6
CMP_34	5	11	6
CMP_35	5	11	6
CMP_36	5	11	6
CMP_37	5	11	6
CMP_38	5	11	6
CMP_39	5	11	6
CMP_40	5	11	6
CMP_41	5	11	6
CMP_42	5	11	6
CMP_43	5	11	6
CMP_44	5	11	6
CMP_45	5	11	6
CMP_46	5	11	6
CMP_47	5	11	6
CMP_48	5	11	6
CMP_49	5	11	6
CMP_50	5	11	6
CMP_51	5	11	6
CMP_52	5	11	6
CMP_53	5	11	6
CMP_54	5	11	6
CMP_55	5	11	6
CMP_56	5	11	6
CMP_57	5	11	6
CMP_58	5	11	6
CMP_59	5	11	6
CMP_60	5	11	6
CMP_61	5	11	6
CMP_62	5	11	6
CMP_63	5	11	6
CMP_64	5	11	6
CMP_65	5	11	6
CMP_66	5	11	6
CMP_67	5	11	6
CMP_68	5	11	6
CMP_69	5	11	6
CMP_70	5	11	6
CMP_71	5	11	6
CMP_72	5	11	6
CMP_73	5	11	6
CMP_74	5	11	6
CMP_75	5	11	6
CMP_76	5	11	6
CMP_77	5	11	6
CMP_78	5	11	6
CMP_79	5	11	6
CMP_80	5	11	6
CMP_81	5	11	6
CMP_82	5	11	6
CMP_83	5	11	6
CMP_84	5	11	6
CMP_85	5	11	6
CMP_86	5	11	6
CMP_87	5	11	6
CMP_88	5	11	6
CMP_89	5	11	6
CMP_90	5	11	6
CMP_91	5	11	6
CMP_92	5	11	6
CMP_93	5	11	6
CMP_94	5	11	6
CMP_95	5	11	6
CMP_96	5	11	6
CMP_97	5	11	6
CMP_98	5	11	6
CMP_99	5	11	6
CMP_100	5	11	6
HSC_101	1	2	0
HSC_102	1	2	0
HSC_103	7	9	0
HSC_104	1	2	0
HSC_105	7	9	0
HSC_106	1	9	0
HSC_107	1	2	0
HSC_108	7	2	0
HSC_109	7	9	0
HSC_110	1	2	0
HSC_111	1	2	0
HSC_112	7	9	0
HSC_113	1	2	0
HSC_114	7	2	0
HSC_115	1	2	0
HSC_116	7	9	0
HSC_117	1	2	0
HSC_118	1	2	0
HSC_119	1	2	0
HSC_120	1	2	0
HSC_121	1	2	0
HSC_122	7	9	0
HSC_123	1	2	0
HSC_124	7	9	0
HSC_125	7	9	0
HSC_126	1	2	0
HSC_127	7	9	0
HSC_128	1	2	0
HSC_129	1	2	0
HSC_130	1	9	0
HSC_131	7	9	0
HSC_132	7	9	0
HSC_133	7	9	0
HSC_134	7	9	0
HSC_135	7	2	0
HSC_136	1	2	0
HSC_137	7	9	0
HSC_138	1	9	0
HSC_139	1	2	0
HSC_140	1	2	0
HSC_141	7	9	0
HSC_142	7	9	0
HSC_143	1	2	0
HSC_144	1	2	0
HSC_145	1	2	0
HSC_146	1	2	0
