	louvain	kmeans	hc
CMP_1	1	1	8
CMP_2	1	1	8
CMP_3	7	8	6
CMP_4	8	1	8
CMP_5	7	8	6
CMP_6	6	1	8
CMP_7	6	1	8
CMP_8	8	1	8
CMP_9	6	1	8
CMP_10	7	8	6
CMP_11	1	1	8
CMP_12	7	8	6
CMP_13	8	1	8
CMP_14	7	8	6
CMP_15	1	1	8
CMP_16	6	1	8
CMP_17	8	1	8
CMP_18	1	1	8
CMP_19	6	1	8
CMP_20	1	1	8
CMP_21	1	1	8
CMP_22	8	1	8
CMP_23	8	1	8
CMP_24	6	1	8
CMP_25	6	1	8
CMP_26	6	1	8
CMP_27	6	1	8
CMP_28	7	8	6
CMP_29	6	1	8
CMP_30	1	1	8
CMP_31	1	1	8
CMP_32	1	1	8
CMP_33	8	1	8
CMP_34	8	1	8
CMP_35	1	1	8
CMP_36	6	1	8
CMP_37	7	8	6
CMP_38	7	8	3
CMP_39	7	8	6
CMP_40	6	1	8
CMP_41	6	1	8
CMP_42	8	1	8
CMP_43	11	6	9
CMP_44	6	1	8
CMP_45	7	8	6
CMP_46	1	1	8
CMP_47	7	8	6
CMP_48	7	8	6
CMP_49	7	8	6
CMP_50	8	1	8
CMP_51	7	8	6
CMP_52	1	1	8
CMP_53	6	1	8
CMP_54	6	1	8
CMP_55	7	8	6
CMP_56	1	1	8
CMP_57	7	8	6
CMP_58	6	1	8
CMP_59	11	6	9
CMP_60	8	1	8
CMP_61	7	8	6
CMP_62	8	1	8
CMP_63	7	8	6
CMP_64	1	1	8
CMP_65	6	1	8
CMP_66	1	1	8
CMP_67	6	1	8
CMP_68	1	1	8
CMP_69	11	6	5
CMP_70	6	1	8
CMP_71	7	8	6
CMP_72	11	6	9
CMP_73	1	1	8
CMP_74	1	1	8
CMP_75	8	1	8
CMP_76	6	1	8
CMP_77	8	1	8
CMP_78	7	8	6
CMP_79	8	1	8
CMP_80	8	1	8
CMP_81	8	1	8
CMP_82	8	1	8
CMP_83	1	1	8
CMP_84	7	8	6
CMP_85	6	1	8
CMP_86	1	1	8
CMP_87	1	1	8
CMP_88	1	1	8
CMP_89	1	1	8
CMP_90	6	1	8
CMP_91	7	8	6
CMP_92	1	1	8
CMP_93	11	6	9
CMP_94	1	1	8
CMP_95	7	8	6
CMP_96	1	1	8
CMP_97	1	1	8
CMP_98	11	6	9
CMP_99	7	8	6
CMP_100	1	1	8
HSC_101	7	8	6
HSC_102	11	6	9
HSC_103	6	1	8
HSC_104	1	1	8
HSC_105	1	1	8
HSC_106	8	1	8
HSC_107	1	1	8
HSC_108	8	1	8
HSC_109	6	1	8
HSC_110	8	1	8
HSC_111	7	8	6
HSC_112	1	1	8
HSC_113	7	8	6
HSC_114	7	8	8
HSC_115	6	1	8
HSC_116	7	8	6
HSC_117	7	8	6
HSC_118	1	8	8
HSC_119	1	1	8
HSC_120	1	1	8
HSC_121	7	8	6
HSC_122	1	1	8
HSC_123	7	8	6
HSC_124	6	1	8
HSC_125	8	1	8
HSC_126	6	1	8
HSC_127	1	1	8
HSC_128	8	1	8
HSC_129	7	8	6
HSC_130	8	1	8
HSC_131	8	1	8
HSC_132	1	1	8
HSC_133	6	1	8
HSC_134	7	8	6
HSC_135	1	1	8
HSC_136	7	8	6
HSC_137	8	1	8
HSC_138	6	1	8
HSC_139	8	1	8
HSC_140	6	1	8
HSC_141	1	1	8
HSC_142	1	1	8
HSC_143	8	1	8
HSC_144	8	1	8
HSC_145	1	1	8
HSC_146	8	1	8
HSC_147	6	1	8
HSC_148	1	1	8
HSC_149	8	1	8
HSC_150	1	1	8
HSC_151	1	1	8
HSC_152	8	1	8
HSC_153	7	8	6
HSC_154	1	1	8
HSC_155	1	1	8
HSC_156	1	1	8
HSC_157	1	1	8
HSC_158	8	1	8
HSC_159	1	1	8
HSC_160	7	8	6
HSC_161	8	1	8
