	louvain	kmeans	hc
CMP_1	4	8	2
CMP_2	4	8	2
CMP_3	4	8	2
CMP_4	4	7	2
CMP_5	4	8	2
CMP_6	4	8	2
CMP_7	4	7	2
CMP_8	4	7	2
CMP_9	4	8	2
CMP_10	4	8	2
CMP_11	4	7	2
CMP_12	4	8	2
CMP_13	4	8	2
CMP_14	4	7	2
CMP_15	4	8	3
CMP_16	4	8	2
CMP_17	4	7	2
CMP_18	4	8	2
CMP_19	4	7	2
CMP_20	4	10	2
CMP_21	4	8	2
CMP_22	4	8	2
CMP_23	4	8	2
CMP_24	4	8	2
CMP_25	4	8	2
CMP_26	4	8	2
CMP_27	4	7	2
CMP_28	4	8	2
CMP_29	4	10	9
CMP_30	4	8	2
CMP_31	0	8	3
CMP_32	4	8	2
CMP_33	4	8	2
CMP_34	4	7	3
CMP_35	4	8	2
CMP_36	4	8	2
CMP_37	4	8	2
CMP_38	4	10	2
CMP_39	4	8	2
CMP_40	4	8	2
CMP_41	4	8	2
CMP_42	4	7	2
CMP_43	4	8	3
CMP_44	4	8	2
CMP_45	4	7	2
CMP_46	4	8	2
CMP_47	0	8	2
CMP_48	4	8	2
CMP_49	4	8	2
CMP_50	4	8	3
CMP_51	4	8	2
CMP_52	4	8	9
CMP_53	4	8	2
CMP_54	4	7	2
CMP_55	4	8	2
CMP_56	4	8	2
CMP_57	4	7	2
CMP_58	4	8	2
CMP_59	4	8	2
CMP_60	4	8	2
CMP_61	4	8	2
CMP_62	4	9	1
CMP_63	4	7	9
CMP_64	4	8	2
CMP_65	4	7	2
CMP_66	4	7	2
CMP_67	4	8	2
CMP_68	4	7	2
CMP_69	4	7	2
CMP_70	4	8	2
CMP_71	4	8	3
CMP_72	4	8	1
CMP_73	4	8	1
CMP_74	4	8	2
CMP_75	4	8	2
CMP_76	4	7	2
CMP_77	4	7	2
CMP_78	4	8	2
CMP_79	4	7	2
CMP_80	4	7	2
CMP_81	4	7	3
CMP_82	0	10	2
CMP_83	4	8	2
CMP_84	4	7	2
CMP_85	4	8	3
CMP_86	4	8	2
CMP_87	4	8	2
CMP_88	4	7	2
CMP_89	4	8	2
CMP_90	4	8	2
CMP_91	4	8	2
CMP_92	4	7	2
CMP_93	4	8	2
CMP_94	4	8	2
CMP_95	4	8	2
CMP_96	4	7	2
CMP_97	4	8	2
CMP_98	4	8	2
CMP_99	4	8	2
CMP_100	4	8	2
HSC_101	0	10	3
HSC_102	0	10	3
HSC_103	0	10	3
HSC_104	0	10	2
HSC_105	0	0	3
HSC_106	0	10	3
HSC_107	0	0	3
HSC_108	0	0	3
HSC_109	0	0	3
HSC_110	0	0	3
HSC_111	0	0	3
HSC_112	0	0	3
HSC_113	0	10	3
HSC_114	0	10	2
HSC_115	0	0	3
HSC_116	0	10	3
HSC_117	0	0	3
HSC_118	0	0	3
HSC_119	0	0	3
HSC_120	0	0	3
HSC_121	0	0	3
HSC_122	0	0	3
HSC_123	0	10	3
HSC_124	0	0	3
HSC_125	0	0	3
HSC_126	0	10	3
HSC_127	0	0	3
HSC_128	0	0	3
HSC_129	0	0	3
HSC_130	0	10	3
HSC_131	0	0	3
HSC_132	0	10	3
HSC_133	0	10	3
HSC_134	0	10	3
HSC_135	0	10	3
HSC_136	0	10	3
HSC_137	0	0	3
HSC_138	0	10	3
HSC_139	0	0	3
HSC_140	0	0	3
HSC_141	0	10	3
HSC_142	0	10	3
HSC_143	0	0	3
HSC_144	0	10	3
HSC_145	0	0	3
HSC_146	0	10	3
HSC_147	0	0	3
HSC_148	0	0	3
HSC_149	0	0	3
HSC_150	0	10	3
HSC_151	0	0	3
HSC_152	0	0	3
HSC_153	0	10	3
HSC_154	0	10	3
HSC_155	0	0	3
HSC_156	0	0	3
HSC_157	0	0	3
HSC_158	0	10	3
HSC_159	0	10	3
HSC_160	0	10	3
HSC_161	0	10	3
HSC_162	0	10	3
HSC_163	0	0	3
HSC_164	0	0	3
HSC_165	0	10	3
HSC_166	0	10	3
HSC_167	0	10	3
HSC_168	0	10	3
HSC_169	0	0	3
HSC_170	0	0	3
HSC_171	0	10	3
HSC_172	0	0	3
HSC_173	0	0	3
HSC_174	0	0	3
HSC_175	0	10	3
HSC_176	0	10	3
HSC_177	0	0	3
HSC_178	0	10	3
HSC_179	0	0	3
HSC_180	0	10	3
HSC_181	0	7	3
HSC_182	0	10	3
HSC_183	0	0	3
HSC_184	0	10	3
HSC_185	0	10	3
HSC_186	0	10	3
HSC_187	0	10	3
HSC_188	0	0	3
HSC_189	0	0	3
HSC_190	0	0	3
HSC_191	0	0	3
HSC_192	0	10	3
HSC_193	0	10	3
HSC_194	0	10	3
HSC_195	0	10	3
HSC_196	0	0	3
HSC_197	0	7	3
HSC_198	0	0	3
HSC_199	0	0	3
