	louvain	kmeans	hc
CMP_1	2	4	4
CMP_2	3	3	8
CMP_3	5	3	5
CMP_4	5	9	1
CMP_5	5	3	5
CMP_6	2	4	4
CMP_7	5	10	1
CMP_8	2	4	1
CMP_9	2	4	1
CMP_10	3	4	1
CMP_11	3	3	8
CMP_12	2	9	1
CMP_13	3	11	8
CMP_14	3	10	8
CMP_15	2	4	1
CMP_16	5	3	5
CMP_17	6	2	9
CMP_18	5	10	1
CMP_19	2	4	1
CMP_20	2	4	4
CMP_21	2	4	4
CMP_22	5	10	1
CMP_23	5	9	1
CMP_24	3	3	1
CMP_25	2	4	4
CMP_26	3	10	1
CMP_27	3	9	9
CMP_28	3	10	4
CMP_29	3	3	5
CMP_30	3	4	4
CMP_31	5	10	8
CMP_32	3	3	8
CMP_33	2	4	4
CMP_34	3	11	1
CMP_35	3	3	8
CMP_36	3	3	1
CMP_37	3	11	8
CMP_38	2	4	1
CMP_39	2	4	4
CMP_40	3	11	4
CMP_41	2	4	4
CMP_42	2	4	4
CMP_43	6	2	4
CMP_44	3	3	1
CMP_45	3	3	5
CMP_46	3	3	8
CMP_47	3	3	5
CMP_48	3	9	1
CMP_49	2	4	1
CMP_50	2	4	4
CMP_51	2	10	1
CMP_52	2	11	8
CMP_53	3	3	1
CMP_54	5	10	1
CMP_55	2	4	4
CMP_56	3	10	1
CMP_57	3	3	5
CMP_58	5	9	9
CMP_59	2	10	1
CMP_60	5	3	5
CMP_61	5	10	1
CMP_62	3	9	1
CMP_63	2	9	1
CMP_64	5	9	5
CMP_65	3	3	1
CMP_66	5	10	1
CMP_67	5	3	5
CMP_68	3	3	8
CMP_69	2	4	4
CMP_70	3	3	1
CMP_71	2	4	4
CMP_72	3	11	1
CMP_73	5	10	1
CMP_74	5	9	1
CMP_75	2	10	4
CMP_76	3	10	1
CMP_77	3	3	1
CMP_78	2	4	4
CMP_79	5	3	5
CMP_80	5	3	5
CMP_81	3	9	1
CMP_82	2	4	4
CMP_83	3	4	1
CMP_84	2	9	1
CMP_85	2	9	1
CMP_86	2	4	4
CMP_87	2	10	1
CMP_88	5	3	5
CMP_89	3	11	4
CMP_90	2	4	4
CMP_91	3	3	1
CMP_92	2	4	8
CMP_93	5	10	4
CMP_94	3	3	8
CMP_95	2	4	1
CMP_96	3	9	1
CMP_97	3	11	8
CMP_98	3	3	8
CMP_99	3	3	1
CMP_100	2	10	1
HSC_101	2	4	4
HSC_102	2	4	1
HSC_103	2	4	4
HSC_104	5	10	1
HSC_105	2	4	4
HSC_106	2	10	1
HSC_107	5	10	1
HSC_108	2	10	1
HSC_109	2	4	4
HSC_110	5	10	1
HSC_111	2	4	1
HSC_112	5	10	1
HSC_113	2	4	4
HSC_114	2	4	1
HSC_115	5	10	1
HSC_116	3	4	1
HSC_117	3	10	1
HSC_118	3	3	1
HSC_119	5	10	1
HSC_120	5	10	1
HSC_121	2	10	1
HSC_122	5	10	1
HSC_123	5	10	1
HSC_124	2	4	1
HSC_125	5	10	1
HSC_126	5	10	1
HSC_127	2	4	4
HSC_128	2	4	1
HSC_129	5	9	1
HSC_130	2	4	8
HSC_131	2	4	1
HSC_132	3	10	1
HSC_133	5	10	1
HSC_134	2	4	4
HSC_135	5	3	1
HSC_136	5	3	5
HSC_137	3	10	1
HSC_138	3	10	1
HSC_139	5	10	1
HSC_140	2	4	1
HSC_141	5	3	1
HSC_142	5	10	1
HSC_143	5	10	1
HSC_144	2	9	1
HSC_145	5	10	5
HSC_146	2	4	1
HSC_147	3	3	5
HSC_148	5	10	4
HSC_149	2	4	1
HSC_150	5	10	5
HSC_151	5	10	1
HSC_152	5	10	1
HSC_153	2	4	4
HSC_154	2	4	4
HSC_155	3	3	5
HSC_156	5	10	1
HSC_157	5	10	1
HSC_158	2	4	4
HSC_159	2	4	4
HSC_160	5	10	1
HSC_161	5	10	1
HSC_162	3	10	1
HSC_163	5	10	1
HSC_164	2	4	1
HSC_165	2	4	4
HSC_166	5	10	4
HSC_167	5	10	5
HSC_168	2	4	4
HSC_169	5	10	1
HSC_170	2	4	1
HSC_171	2	4	4
HSC_172	5	10	1
HSC_173	2	4	1
HSC_174	5	3	5
HSC_175	5	3	1
HSC_176	5	10	1
HSC_177	5	3	5
HSC_178	5	10	1
HSC_179	3	4	1
HSC_180	2	4	1
HSC_181	5	10	1
HSC_182	2	4	4
HSC_183	5	10	1
HSC_184	2	10	4
HSC_185	5	4	1
HSC_186	2	4	4
HSC_187	5	3	5
HSC_188	5	10	1
HSC_189	2	10	1
HSC_190	5	10	1
HSC_191	2	10	1
HSC_192	2	10	1
HSC_193	2	4	1
HSC_194	2	10	1
HSC_195	2	10	4
HSC_196	5	10	1
HSC_197	5	10	4
HSC_198	5	10	1
HSC_199	5	3	1
HSC_200	5	10	1
MEP_201	6	2	9
MEP_202	6	9	9
MEP_203	6	9	5
MEP_204	6	2	9
MEP_205	6	9	9
MEP_206	6	2	9
MEP_207	6	2	9
MEP_208	4	2	3
MEP_209	6	9	9
MEP_210	6	2	9
MEP_211	6	6	5
MEP_212	6	2	9
MEP_213	6	9	9
MEP_214	6	9	9
MEP_215	6	9	9
MEP_216	6	9	9
MEP_217	6	2	9
MEP_218	6	9	9
MEP_219	6	2	7
MEP_220	6	2	9
MEP_221	3	3	5
MEP_222	6	6	7
MEP_223	1	3	5
MEP_224	6	2	9
MEP_225	6	9	9
MEP_226	6	9	9
MEP_227	6	9	9
MEP_228	6	3	5
MEP_229	6	2	5
MEP_230	6	9	9
MEP_231	6	9	7
MEP_232	6	2	7
MEP_233	6	2	9
MEP_234	6	2	9
MEP_235	6	9	7
MEP_236	1	9	2
MEP_237	6	8	7
MEP_238	6	2	9
MEP_239	6	2	9
MEP_240	4	2	3
MEP_241	6	9	9
MEP_242	6	2	9
MEP_243	6	9	9
MEP_244	6	2	9
MEP_245	6	9	9
MEP_246	6	2	9
MEP_247	6	3	5
MEP_248	6	2	9
MEP_249	6	2	9
MEP_250	6	2	9
MEP_251	6	2	3
MEP_252	6	9	9
MEP_253	6	3	5
MEP_254	6	2	9
MEP_255	4	2	3
MEP_256	6	9	9
MEP_257	6	9	5
MEP_258	6	9	5
MEP_259	6	2	9
MEP_260	6	9	9
MEP_261	6	9	9
MEP_262	2	9	8
MEP_263	6	2	9
MEP_264	6	2	1
MEP_265	6	2	9
MEP_266	6	9	1
MEP_267	6	9	9
MEP_268	6	2	9
MEP_269	6	9	9
MEP_270	6	2	9
MEP_271	6	2	9
MEP_272	6	9	9
MEP_273	6	9	9
MEP_274	6	2	9
MEP_275	6	2	9
MEP_276	6	3	5
MEP_277	6	2	9
MEP_278	6	9	9
MEP_279	6	2	9
MEP_280	6	2	9
MEP_281	4	2	3
MEP_282	6	2	9
MEP_283	6	2	9
MEP_284	6	2	9
MEP_285	6	2	9
MEP_286	6	9	9
MEP_287	6	9	9
MEP_288	6	9	5
MEP_289	6	2	9
MEP_290	6	2	9
MEP_291	6	2	9
MEP_292	6	9	7
MEP_293	6	2	7
MEP_294	6	9	9
MEP_295	6	2	9
MEP_296	6	9	9
MEP_297	6	9	9
MEP_298	6	9	9
MEP_299	6	3	5
MEP_300	6	2	9
MPP_301	3	3	5
MPP_302	5	10	1
MPP_303	5	3	5
MPP_304	5	3	5
MPP_305	2	9	1
MPP_306	2	4	1
MPP_307	5	10	1
MPP_308	2	9	1
MPP_309	5	10	1
MPP_310	2	4	1
MPP_311	5	9	1
MPP_312	3	3	1
MPP_313	5	10	4
MPP_314	2	4	4
MPP_315	5	10	1
MPP_316	5	10	1
MPP_317	3	3	1
MPP_318	3	3	5
MPP_319	2	4	4
MPP_320	3	3	5
MPP_321	2	4	1
MPP_322	5	3	1
MPP_323	5	10	1
MPP_324	3	3	8
MPP_325	5	9	1
MPP_326	2	4	1
MPP_327	2	4	4
MPP_328	3	9	1
MPP_329	5	3	1
MPP_330	5	10	8
MPP_331	5	9	1
MPP_332	5	10	1
MPP_333	2	4	4
MPP_334	2	4	1
MPP_335	2	4	1
MPP_336	2	4	4
MPP_337	5	10	1
MPP_338	2	4	4
MPP_339	3	3	5
MPP_340	5	3	5
MPP_341	3	3	1
MPP_342	2	4	4
MPP_343	2	9	1
MPP_344	5	10	4
MPP_345	5	3	1
MPP_346	2	10	1
MPP_347	5	3	5
MPP_348	5	10	1
MPP_349	3	3	5
MPP_350	2	4	4
MPP_351	5	10	1
MPP_352	5	10	1
MPP_353	5	3	5
MPP_354	5	10	1
MPP_355	5	9	1
MPP_356	2	4	4
MPP_357	5	10	1
MPP_358	5	10	1
MPP_359	5	10	5
MPP_360	2	10	4
MPP_361	3	3	1
MPP_362	2	4	1
MPP_363	3	9	1
MPP_364	5	3	1
MPP_365	2	4	4
MPP_366	3	3	1
MPP_367	5	3	1
MPP_368	2	4	4
MPP_369	3	3	1
MPP_370	2	4	4
MPP_371	3	10	1
MPP_372	2	4	4
MPP_373	2	10	5
MPP_374	2	4	4
MPP_375	2	4	4
MPP_376	2	9	1
MPP_377	5	10	1
MPP_378	5	10	1
MPP_379	5	10	1
MPP_380	2	4	1
MPP_381	3	3	5
MPP_382	2	4	1
MPP_383	5	9	1
MPP_384	2	4	1
MPP_385	2	4	4
MPP_386	5	10	1
MPP_387	3	10	1
MPP_388	5	10	1
MPP_389	3	9	4
MPP_390	2	4	1
MPP_391	2	11	1
MPP_392	5	3	5
