	louvain	kmeans	hc
CMP_1	8	7	3
CMP_2	8	7	3
CMP_3	8	7	3
CMP_4	8	7	3
CMP_5	8	2	3
CMP_6	8	7	3
CMP_7	8	7	3
CMP_8	8	7	3
CMP_9	8	7	3
CMP_10	8	7	3
CMP_11	8	7	3
CMP_12	8	7	3
CMP_13	8	7	3
CMP_14	8	7	3
CMP_15	8	7	3
CMP_16	8	2	3
CMP_17	2	2	4
CMP_18	8	7	3
CMP_19	8	2	3
CMP_20	8	7	3
CMP_21	8	7	3
CMP_22	8	7	3
CMP_23	8	7	3
CMP_24	8	7	3
CMP_25	8	7	3
CMP_26	8	7	3
CMP_27	8	7	3
CMP_28	8	7	3
CMP_29	8	7	3
CMP_30	8	7	3
CMP_31	8	7	3
CMP_32	8	7	3
CMP_33	8	7	3
CMP_34	8	7	3
CMP_35	8	7	3
CMP_36	8	7	3
CMP_37	8	2	10
CMP_38	8	7	3
CMP_39	8	7	3
CMP_40	8	7	3
CMP_41	8	2	10
CMP_42	8	7	3
CMP_43	9	2	3
CMP_44	8	2	3
CMP_45	9	2	10
CMP_46	8	2	3
CMP_47	8	7	3
CMP_48	8	7	3
CMP_49	8	7	3
CMP_50	8	7	3
CMP_51	8	7	3
CMP_52	8	7	3
CMP_53	8	7	3
CMP_54	8	7	3
CMP_55	8	7	3
CMP_56	8	7	3
CMP_57	8	2	3
CMP_58	8	2	3
CMP_59	8	2	3
CMP_60	8	7	3
CMP_61	8	2	3
CMP_62	8	7	3
CMP_63	8	7	3
CMP_64	8	7	3
CMP_65	8	7	3
CMP_66	8	7	3
CMP_67	8	7	3
CMP_68	8	7	3
CMP_69	8	7	3
CMP_70	8	7	3
CMP_71	8	8	3
CMP_72	8	7	3
CMP_73	8	7	3
CMP_74	8	2	3
CMP_75	8	7	3
CMP_76	8	7	3
CMP_77	8	7	3
CMP_78	8	7	3
CMP_79	8	7	3
CMP_80	8	7	3
CMP_81	8	7	3
CMP_82	8	7	3
CMP_83	8	7	3
CMP_84	8	7	3
CMP_85	8	7	3
CMP_86	8	7	3
CMP_87	8	7	3
CMP_88	8	7	3
CMP_89	8	7	3
CMP_90	8	7	3
CMP_91	8	7	3
CMP_92	8	7	3
CMP_93	8	7	3
CMP_94	8	7	3
CMP_95	8	7	3
CMP_96	8	7	3
CMP_97	8	8	3
CMP_98	8	7	3
CMP_99	8	8	2
CMP_100	8	7	3
HSC_101	2	10	4
HSC_102	9	2	10
HSC_103	2	10	4
HSC_104	2	10	4
HSC_105	9	2	10
HSC_106	2	10	4
HSC_107	2	10	4
HSC_108	9	2	10
HSC_109	9	2	10
HSC_110	2	10	4
HSC_111	9	2	10
HSC_112	9	2	10
HSC_113	9	2	10
HSC_114	2	10	4
HSC_115	2	10	4
HSC_116	2	10	4
HSC_117	9	2	10
HSC_118	2	10	4
HSC_119	2	10	10
HSC_120	2	10	4
HSC_121	2	10	4
HSC_122	9	2	10
HSC_123	2	10	4
HSC_124	9	2	10
HSC_125	2	10	4
HSC_126	2	10	4
HSC_127	9	2	10
HSC_128	2	2	10
HSC_129	2	10	4
HSC_130	9	2	10
HSC_131	2	10	4
HSC_132	2	10	4
HSC_133	2	10	4
HSC_134	2	10	4
HSC_135	2	10	4
HSC_136	2	10	4
HSC_137	9	2	10
HSC_138	2	10	4
HSC_139	9	2	10
HSC_140	2	2	4
HSC_141	2	10	4
HSC_142	9	2	10
HSC_143	2	10	4
HSC_144	9	2	10
HSC_145	9	2	10
HSC_146	2	10	4
HSC_147	2	10	4
HSC_148	2	10	10
HSC_149	9	2	10
HSC_150	9	2	4
HSC_151	9	2	10
HSC_152	9	2	10
HSC_153	9	2	10
HSC_154	2	10	4
HSC_155	9	2	10
HSC_156	9	2	10
HSC_157	9	2	10
HSC_158	9	2	10
HSC_159	9	2	10
HSC_160	9	2	10
HSC_161	2	10	4
HSC_162	9	2	10
HSC_163	9	2	10
HSC_164	9	2	10
HSC_165	9	2	10
HSC_166	2	10	4
HSC_167	9	2	10
HSC_168	2	2	10
HSC_169	9	2	10
HSC_170	9	2	3
HSC_171	9	2	10
HSC_172	2	10	4
HSC_173	9	2	10
HSC_174	2	10	4
HSC_175	9	10	10
HSC_176	9	2	10
HSC_177	9	10	10
HSC_178	2	10	4
HSC_179	9	2	10
HSC_180	2	10	4
HSC_181	2	10	4
HSC_182	2	10	4
HSC_183	9	2	10
HSC_184	2	10	4
HSC_185	2	10	4
HSC_186	9	2	10
HSC_187	2	2	10
HSC_188	2	10	4
HSC_189	2	10	4
HSC_190	2	10	4
HSC_191	9	2	10
HSC_192	9	2	10
HSC_193	9	2	10
HSC_194	9	2	10
HSC_195	2	10	4
HSC_196	2	10	4
HSC_197	9	2	10
HSC_198	2	10	4
HSC_199	2	10	4
HSC_200	9	2	10
MEP_201	6	8	2
MEP_202	6	8	2
MEP_203	6	8	2
MEP_204	6	1	2
MEP_205	6	8	2
MEP_206	6	1	2
MEP_207	6	1	2
MEP_208	6	1	2
MEP_209	6	8	2
MEP_210	6	1	2
MEP_211	6	8	2
MEP_212	6	1	2
MEP_213	6	8	2
MEP_214	6	1	2
MEP_215	6	8	2
MEP_216	6	1	2
MEP_217	6	8	2
MEP_218	6	1	2
MEP_219	6	1	2
MEP_220	6	8	2
MEP_221	6	1	2
MEP_222	6	1	2
MEP_223	6	8	2
MEP_224	6	8	2
MEP_225	6	1	2
