	louvain	kmeans	hc
CMP_1	5	5	2
CMP_2	5	7	0
CMP_3	5	5	2
CMP_4	5	5	2
CMP_5	5	5	2
CMP_6	5	5	2
CMP_7	5	9	7
CMP_8	5	5	2
CMP_9	5	5	2
CMP_10	5	5	2
CMP_11	5	5	2
CMP_12	5	5	2
CMP_13	5	7	2
CMP_14	5	5	2
CMP_15	5	5	2
CMP_16	5	5	2
CMP_17	5	5	2
CMP_18	5	5	2
CMP_19	5	5	2
CMP_20	5	5	2
CMP_21	5	5	2
CMP_22	5	5	2
CMP_23	5	5	2
CMP_24	5	5	2
CMP_25	5	5	2
CMP_26	5	5	2
CMP_27	5	5	2
CMP_28	5	5	2
CMP_29	5	5	2
CMP_30	5	5	2
CMP_31	5	5	2
CMP_32	5	5	2
CMP_33	5	7	1
CMP_34	5	5	2
CMP_35	5	5	2
CMP_36	5	9	2
CMP_37	5	5	2
CMP_38	5	5	2
CMP_39	5	5	2
CMP_40	5	5	0
CMP_41	5	5	0
CMP_42	5	5	2
CMP_43	5	5	2
CMP_44	5	5	2
CMP_45	5	9	2
CMP_46	5	5	2
CMP_47	5	5	2
CMP_48	5	5	2
CMP_49	5	5	2
CMP_50	5	4	2
CMP_51	5	9	2
CMP_52	5	5	2
CMP_53	5	5	2
CMP_54	5	5	2
CMP_55	5	5	2
CMP_56	5	9	2
CMP_57	5	5	2
CMP_58	5	5	2
CMP_59	5	5	2
CMP_60	5	5	2
CMP_61	5	5	2
CMP_62	5	5	2
CMP_63	5	5	2
CMP_64	5	5	2
CMP_65	5	5	2
CMP_66	5	5	2
CMP_67	5	5	2
CMP_68	5	5	2
CMP_69	5	5	2
CMP_70	5	5	2
CMP_71	5	5	2
CMP_72	5	5	2
CMP_73	5	5	2
CMP_74	5	5	2
CMP_75	5	5	2
CMP_76	5	5	2
CMP_77	5	5	2
CMP_78	5	5	2
CMP_79	5	5	2
CMP_80	5	5	2
CMP_81	5	5	2
CMP_82	5	5	2
CMP_83	5	5	2
CMP_84	5	5	2
CMP_85	5	5	2
CMP_86	5	5	2
CMP_87	5	5	2
CMP_88	5	5	2
CMP_89	5	5	2
CMP_90	5	5	2
CMP_91	5	5	2
CMP_92	5	5	2
CMP_93	5	7	0
CMP_94	5	5	2
CMP_95	5	7	2
CMP_96	5	5	2
CMP_97	5	5	2
CMP_98	5	5	2
CMP_99	5	5	2
CMP_100	5	5	2
HSC_101	9	4	4
HSC_102	9	2	4
HSC_103	9	4	4
HSC_104	9	4	4
HSC_105	3	4	4
HSC_106	9	2	4
HSC_107	3	4	4
HSC_108	9	4	4
HSC_109	3	4	4
HSC_110	9	2	4
HSC_111	3	4	4
HSC_112	3	2	4
HSC_113	3	2	4
HSC_114	9	2	4
HSC_115	3	4	4
HSC_116	3	2	4
HSC_117	3	2	4
HSC_118	9	2	4
HSC_119	9	4	4
HSC_120	9	4	4
HSC_121	9	2	4
HSC_122	9	4	4
HSC_123	9	4	4
HSC_124	3	2	4
HSC_125	3	4	4
HSC_126	9	2	4
HSC_127	3	4	4
HSC_128	9	2	4
HSC_129	3	4	4
HSC_130	3	2	4
HSC_131	3	4	4
HSC_132	3	4	4
HSC_133	9	2	4
HSC_134	3	2	4
HSC_135	3	4	4
HSC_136	9	2	4
HSC_137	3	2	4
HSC_138	3	4	4
HSC_139	9	4	4
HSC_140	9	2	4
HSC_141	3	4	4
HSC_142	3	2	4
HSC_143	9	4	4
HSC_144	3	2	4
HSC_145	9	4	4
HSC_146	9	2	4
HSC_147	3	2	4
HSC_148	9	2	4
HSC_149	3	2	4
HSC_150	3	4	4
HSC_151	9	2	4
HSC_152	3	2	4
HSC_153	9	2	4
