	louvain	kmeans	hc
CMP_1	1	8	7
CMP_2	8	8	7
CMP_3	0	8	7
CMP_4	8	8	7
CMP_5	0	0	0
CMP_6	4	8	7
CMP_7	8	8	7
CMP_8	6	8	7
CMP_9	8	8	7
CMP_10	0	0	7
CMP_11	3	8	7
CMP_12	0	0	7
CMP_13	0	8	7
CMP_14	1	8	7
CMP_15	2	8	7
CMP_16	9	8	7
CMP_17	6	8	7
CMP_18	7	8	7
CMP_19	5	8	7
CMP_20	5	8	7
CMP_21	6	8	7
CMP_22	8	8	7
CMP_23	2	8	7
CMP_24	9	8	2
CMP_25	1	8	7
CMP_26	6	8	7
CMP_27	4	8	7
CMP_28	0	8	7
CMP_29	11	8	7
CMP_30	5	8	7
CMP_31	8	8	7
CMP_32	6	8	7
CMP_33	6	8	7
CMP_34	4	8	7
CMP_35	0	8	7
CMP_36	3	8	7
CMP_37	0	8	7
CMP_38	1	8	10
CMP_39	5	8	7
CMP_40	1	8	7
CMP_41	3	8	7
CMP_42	8	8	7
CMP_43	10	4	5
CMP_44	7	8	7
CMP_45	4	8	7
CMP_46	11	8	7
CMP_47	0	8	7
CMP_48	0	8	7
CMP_49	0	0	0
CMP_50	4	8	7
CMP_51	0	0	0
CMP_52	7	8	7
CMP_53	6	8	7
CMP_54	10	8	7
CMP_55	7	10	7
CMP_56	3	8	7
CMP_57	8	8	7
CMP_58	7	8	7
CMP_59	10	4	5
CMP_60	9	8	7
CMP_61	0	8	7
CMP_62	7	8	7
CMP_63	0	8	7
CMP_64	5	8	7
CMP_65	3	8	7
CMP_66	4	8	7
CMP_67	5	8	7
CMP_68	4	8	7
CMP_69	10	4	5
CMP_70	6	8	7
CMP_71	0	0	7
CMP_72	10	9	5
CMP_73	2	8	7
CMP_74	8	8	7
CMP_75	0	8	7
CMP_76	9	8	7
CMP_77	10	8	7
CMP_78	0	8	7
CMP_79	4	8	7
CMP_80	1	8	7
CMP_81	7	8	7
CMP_82	11	8	7
CMP_83	3	8	7
CMP_84	0	8	0
CMP_85	11	8	7
CMP_86	3	8	7
CMP_87	4	8	7
CMP_88	7	8	7
CMP_89	2	8	7
CMP_90	7	8	7
CMP_91	0	8	7
CMP_92	4	8	7
CMP_93	10	9	5
CMP_94	6	8	7
CMP_95	0	0	0
CMP_96	4	8	7
CMP_97	3	8	7
CMP_98	10	9	5
CMP_99	0	0	0
CMP_100	2	8	7
HSC_101	6	8	3
HSC_102	10	9	5
HSC_103	4	8	7
HSC_104	2	8	7
HSC_105	1	8	7
HSC_106	9	8	7
HSC_107	2	8	7
HSC_108	8	8	7
HSC_109	2	8	7
HSC_110	10	8	7
HSC_111	0	8	7
HSC_112	2	8	7
HSC_113	0	0	0
HSC_114	2	8	7
HSC_115	4	8	7
HSC_116	0	0	0
HSC_117	0	0	0
HSC_118	2	8	0
HSC_119	5	8	7
HSC_120	10	8	7
HSC_121	0	8	7
HSC_122	7	8	7
HSC_123	0	0	0
HSC_124	0	8	7
HSC_125	7	8	7
HSC_126	4	8	7
HSC_127	7	8	7
HSC_128	9	8	7
HSC_129	0	8	7
HSC_130	9	8	7
HSC_131	8	8	7
HSC_132	8	8	7
HSC_133	7	8	7
HSC_134	0	0	0
HSC_135	0	8	7
HSC_136	1	8	7
HSC_137	8	8	7
HSC_138	7	8	7
HSC_139	8	8	7
HSC_140	1	8	7
HSC_141	6	8	7
HSC_142	5	8	7
HSC_143	0	8	7
HSC_144	8	8	7
HSC_145	4	10	7
HSC_146	3	8	7
HSC_147	3	8	7
HSC_148	11	8	7
HSC_149	1	8	7
HSC_150	7	8	7
HSC_151	2	8	7
HSC_152	9	8	7
HSC_153	1	8	7
HSC_154	4	8	7
HSC_155	2	8	7
HSC_156	5	8	7
HSC_157	6	8	7
HSC_158	0	8	7
HSC_159	8	8	7
HSC_160	7	8	7
HSC_161	11	8	7
HSC_162	4	8	7
HSC_163	4	8	7
HSC_164	2	8	7
HSC_165	5	8	7
HSC_166	0	8	0
HSC_167	3	8	7
HSC_168	4	8	7
HSC_169	0	8	7
HSC_170	2	8	7
