	louvain	kmeans	hc
CMP_1	5	4	6
CMP_2	5	11	6
CMP_3	5	11	4
CMP_4	5	11	6
CMP_5	11	4	6
CMP_6	5	4	6
CMP_7	5	4	6
CMP_8	5	4	6
CMP_9	5	11	6
CMP_10	5	4	6
CMP_11	5	11	4
CMP_12	5	4	6
CMP_13	5	4	6
CMP_14	5	11	6
CMP_15	5	11	6
CMP_16	11	4	0
CMP_17	11	4	6
CMP_18	11	4	6
CMP_19	5	4	6
CMP_20	11	4	6
CMP_21	5	11	4
CMP_22	5	11	6
CMP_23	5	11	4
CMP_24	5	11	6
CMP_25	5	11	4
CMP_26	5	11	4
CMP_27	3	5	4
CMP_28	5	11	4
CMP_29	5	4	6
CMP_30	5	11	6
CMP_31	5	11	6
CMP_32	5	11	4
CMP_33	5	11	4
CMP_34	5	5	4
CMP_35	5	11	6
CMP_36	5	11	4
CMP_37	11	4	6
CMP_38	5	4	6
CMP_39	5	11	4
CMP_40	5	11	4
CMP_41	1	3	0
CMP_42	5	11	4
CMP_43	5	4	6
CMP_44	5	11	4
CMP_45	11	4	6
CMP_46	5	11	4
CMP_47	5	11	6
CMP_48	5	11	4
CMP_49	5	11	4
CMP_50	5	11	4
CMP_51	5	11	4
CMP_52	5	5	4
CMP_53	5	11	4
CMP_54	5	11	4
CMP_55	5	11	4
CMP_56	5	11	4
CMP_57	5	4	6
CMP_58	5	11	6
CMP_59	5	4	6
CMP_60	5	11	4
CMP_61	11	4	6
CMP_62	5	11	4
CMP_63	5	11	6
CMP_64	5	11	4
CMP_65	5	11	6
CMP_66	5	11	4
CMP_67	3	5	10
CMP_68	5	11	6
CMP_69	5	4	6
CMP_70	5	11	4
CMP_71	5	11	4
CMP_72	5	4	6
CMP_73	3	5	10
CMP_74	5	11	6
CMP_75	5	11	6
CMP_76	5	4	6
CMP_77	5	11	6
CMP_78	5	4	6
CMP_79	5	11	4
CMP_80	3	5	10
CMP_81	5	11	6
CMP_82	5	11	4
CMP_83	5	11	4
CMP_84	5	11	4
CMP_85	5	4	6
CMP_86	5	11	4
CMP_87	5	5	4
CMP_88	5	11	4
CMP_89	5	4	6
CMP_90	5	11	6
CMP_91	5	11	4
CMP_92	5	11	4
CMP_93	5	11	6
CMP_94	5	11	4
CMP_95	5	11	6
CMP_96	5	11	4
CMP_97	3	5	10
CMP_98	5	11	6
CMP_99	5	11	4
CMP_100	5	11	4
HSC_101	1	3	0
HSC_102	1	3	0
HSC_103	1	3	0
HSC_104	1	3	0
HSC_105	1	3	0
HSC_106	1	3	0
HSC_107	11	4	0
HSC_108	11	4	0
HSC_109	1	3	0
HSC_110	1	3	0
HSC_111	11	4	6
HSC_112	11	4	6
HSC_113	1	3	0
HSC_114	1	3	0
HSC_115	1	3	0
HSC_116	1	3	0
HSC_117	1	3	0
HSC_118	1	3	0
HSC_119	1	3	0
HSC_120	1	3	0
HSC_121	1	3	0
HSC_122	1	4	0
HSC_123	1	3	0
HSC_124	11	4	0
HSC_125	1	3	0
HSC_126	1	3	0
HSC_127	11	4	0
HSC_128	1	3	0
HSC_129	1	3	0
HSC_130	11	4	0
HSC_131	1	3	0
HSC_132	1	3	0
HSC_133	1	3	0
HSC_134	1	3	0
HSC_135	1	3	0
HSC_136	11	4	0
HSC_137	1	3	0
HSC_138	1	3	0
HSC_139	11	4	6
HSC_140	1	3	0
HSC_141	1	3	0
HSC_142	1	4	0
HSC_143	1	3	0
HSC_144	1	3	0
HSC_145	1	3	0
HSC_146	1	3	0
HSC_147	11	4	0
HSC_148	1	3	0
HSC_149	11	4	0
HSC_150	1	3	0
HSC_151	1	4	0
HSC_152	1	4	0
HSC_153	11	4	0
HSC_154	11	4	6
HSC_155	11	4	6
HSC_156	11	4	0
HSC_157	1	4	0
HSC_158	1	3	0
HSC_159	1	3	0
HSC_160	11	4	6
