	louvain	kmeans	hc
CMP_1	6	2	7
CMP_2	10	2	7
CMP_3	10	2	7
CMP_4	6	2	7
CMP_5	6	10	9
CMP_6	6	2	9
CMP_7	6	2	7
CMP_8	6	2	9
CMP_9	10	2	7
CMP_10	6	2	9
CMP_11	10	2	7
CMP_12	6	2	7
CMP_13	6	2	7
CMP_14	10	2	7
CMP_15	10	2	7
CMP_16	6	10	9
CMP_17	6	10	9
CMP_18	6	2	9
CMP_19	6	2	9
CMP_20	6	10	9
CMP_21	10	2	7
CMP_22	6	2	7
CMP_23	10	2	7
CMP_24	10	2	7
CMP_25	10	2	7
CMP_26	10	6	7
CMP_27	4	6	5
CMP_28	10	2	7
CMP_29	6	2	7
CMP_30	10	2	7
CMP_31	10	2	7
CMP_32	10	2	7
CMP_33	10	2	7
CMP_34	4	6	7
CMP_35	10	2	7
CMP_36	10	6	7
CMP_37	6	10	9
CMP_38	6	2	7
CMP_39	10	2	7
CMP_40	10	2	7
CMP_41	1	10	1
CMP_42	10	2	7
CMP_43	6	2	9
CMP_44	6	2	7
CMP_45	6	10	9
CMP_46	10	2	7
CMP_47	10	2	7
CMP_48	10	2	7
CMP_49	10	2	7
CMP_50	10	2	7
CMP_51	10	2	7
CMP_52	4	6	5
CMP_53	10	2	7
CMP_54	10	2	7
CMP_55	10	2	7
CMP_56	10	2	7
CMP_57	6	2	7
CMP_58	6	2	7
CMP_59	6	2	7
CMP_60	10	2	7
CMP_61	6	10	9
CMP_62	10	2	7
CMP_63	10	2	7
CMP_64	10	2	7
CMP_65	10	2	7
CMP_66	10	2	7
CMP_67	4	6	5
CMP_68	10	2	7
CMP_69	6	2	9
CMP_70	10	2	7
CMP_71	10	2	7
CMP_72	6	2	7
CMP_73	4	6	5
CMP_74	6	2	7
CMP_75	10	2	7
CMP_76	6	2	9
CMP_77	6	2	7
CMP_78	6	2	9
CMP_79	10	6	7
CMP_80	4	6	5
CMP_81	10	2	7
CMP_82	10	2	7
CMP_83	10	2	7
CMP_84	10	2	7
CMP_85	6	2	9
CMP_86	10	2	7
CMP_87	4	6	5
CMP_88	10	2	7
CMP_89	6	2	7
CMP_90	10	2	9
CMP_91	10	2	7
CMP_92	10	2	7
CMP_93	10	2	7
CMP_94	10	2	7
CMP_95	10	2	7
CMP_96	10	2	7
CMP_97	4	6	5
CMP_98	6	2	7
CMP_99	10	6	7
CMP_100	10	2	7
HSC_101	1	5	1
HSC_102	1	10	1
HSC_103	1	10	1
HSC_104	1	5	1
HSC_105	1	10	1
HSC_106	1	5	1
HSC_107	6	10	9
HSC_108	6	10	9
HSC_109	1	10	1
HSC_110	1	5	1
HSC_111	6	10	9
HSC_112	6	10	9
HSC_113	1	10	1
HSC_114	1	5	1
HSC_115	1	5	1
HSC_116	1	5	1
HSC_117	1	10	1
HSC_118	1	5	1
HSC_119	1	5	1
HSC_120	6	10	1
HSC_121	1	5	1
HSC_122	6	10	9
HSC_123	1	5	1
HSC_124	1	10	9
HSC_125	1	5	1
HSC_126	1	5	1
HSC_127	6	10	9
HSC_128	1	10	1
HSC_129	1	5	1
HSC_130	6	10	9
HSC_131	1	5	1
HSC_132	1	5	1
HSC_133	1	5	1
HSC_134	1	10	1
HSC_135	1	5	1
HSC_136	6	10	1
HSC_137	1	10	1
HSC_138	1	5	1
HSC_139	6	10	9
HSC_140	1	5	1
HSC_141	1	5	1
HSC_142	1	10	9
HSC_143	1	5	1
HSC_144	1	10	1
HSC_145	1	10	1
HSC_146	1	5	1
HSC_147	6	10	9
HSC_148	1	10	1
HSC_149	6	10	9
HSC_150	1	10	1
HSC_151	1	10	9
HSC_152	6	10	1
HSC_153	1	10	1
HSC_154	6	10	9
HSC_155	6	10	9
HSC_156	6	10	1
HSC_157	6	10	9
HSC_158	1	10	1
HSC_159	1	10	1
HSC_160	6	10	9
HSC_161	1	10	1
HSC_162	6	10	9
HSC_163	6	10	1
HSC_164	6	10	1
HSC_165	6	10	9
HSC_166	1	5	1
HSC_167	1	10	1
HSC_168	1	5	1
HSC_169	1	10	9
HSC_170	1	10	1
HSC_171	1	10	1
HSC_172	1	5	1
HSC_173	10	2	7
HSC_174	1	5	1
HSC_175	6	10	1
HSC_176	1	10	9
HSC_177	6	10	1
HSC_178	1	5	1
HSC_179	1	10	1
HSC_180	1	10	1
HSC_181	1	5	1
HSC_182	1	10	1
HSC_183	1	5	1
HSC_184	6	10	1
HSC_185	1	5	1
HSC_186	6	10	9
HSC_187	1	10	9
HSC_188	1	5	1
HSC_189	1	5	1
HSC_190	1	5	1
HSC_191	1	5	1
HSC_192	6	10	9
HSC_193	1	10	1
HSC_194	1	5	1
HSC_195	1	5	1
HSC_196	1	5	1
HSC_197	6	10	9
HSC_198	1	5	1
HSC_199	1	5	1
HSC_200	6	10	9
MEP_201	4	6	5
MEP_202	4	6	5
MEP_203	4	6	5
MEP_204	4	6	5
MEP_205	4	1	5
MEP_206	4	6	5
MEP_207	10	2	7
MEP_208	4	6	5
MEP_209	4	6	5
MEP_210	4	6	5
MEP_211	4	6	5
MEP_212	4	6	7
MEP_213	4	6	5
MEP_214	10	6	7
MEP_215	4	6	5
MEP_216	4	6	5
MEP_217	4	6	5
MEP_218	4	6	5
MEP_219	4	6	7
MEP_220	4	6	5
MEP_221	10	2	7
MEP_222	4	6	5
MEP_223	4	6	5
MEP_224	4	6	5
MEP_225	4	6	5
MEP_226	10	2	7
MEP_227	4	6	5
MEP_228	4	6	7
MEP_229	4	6	5
MEP_230	4	6	5
MEP_231	10	2	7
MEP_232	4	6	5
MEP_233	4	6	5
MEP_234	4	6	5
MEP_235	4	6	5
MEP_236	4	6	5
MEP_237	4	6	5
MEP_238	4	6	5
MEP_239	4	6	7
MEP_240	4	6	5
MEP_241	4	6	5
MEP_242	4	6	5
MEP_243	4	6	5
MEP_244	4	2	5
MEP_245	4	6	5
MEP_246	4	2	7
MEP_247	4	6	5
MEP_248	4	6	5
MEP_249	4	6	5
MEP_250	4	6	5
MEP_251	4	6	5
MEP_252	4	6	5
MEP_253	4	6	5
MEP_254	4	6	5
MEP_255	4	6	5
MEP_256	4	2	7
MEP_257	4	6	5
MEP_258	4	6	5
MEP_259	4	6	5
MEP_260	4	6	7
MEP_261	4	6	5
MEP_262	4	6	5
MEP_263	4	6	5
MEP_264	4	6	5
MEP_265	4	6	5
MEP_266	4	6	5
MEP_267	4	6	5
MEP_268	4	6	5
MEP_269	4	2	7
MEP_270	4	6	5
MEP_271	4	6	5
MEP_272	4	6	5
MEP_273	4	6	5
MEP_274	4	6	5
MEP_275	4	6	5
MEP_276	4	6	5
MEP_277	4	6	5
MEP_278	4	6	5
MEP_279	4	6	5
MEP_280	10	2	7
MEP_281	4	6	5
MEP_282	4	6	5
MEP_283	4	6	5
MEP_284	4	6	5
MEP_285	4	6	5
MEP_286	4	6	5
MEP_287	4	6	5
MEP_288	4	6	7
MEP_289	4	6	5
MEP_290	4	6	5
MEP_291	4	6	5
MEP_292	4	6	7
MEP_293	4	6	5
MEP_294	4	6	5
MEP_295	4	6	5
MEP_296	4	6	7
MEP_297	10	2	7
MEP_298	4	6	5
MEP_299	4	6	5
MEP_300	4	6	5
MPP_301	1	5	1
MPP_302	6	10	9
MPP_303	6	10	1
MPP_304	6	10	9
MPP_305	1	5	1
MPP_306	6	10	9
MPP_307	6	10	1
MPP_308	1	5	1
MPP_309	1	10	1
MPP_310	6	10	9
MPP_311	1	10	1
MPP_312	1	5	1
MPP_313	6	10	9
MPP_314	1	5	1
MPP_315	1	5	1
MPP_316	1	5	1
MPP_317	6	10	9
MPP_318	1	5	1
MPP_319	1	5	1
MPP_320	1	5	1
MPP_321	1	5	1
MPP_322	1	5	1
MPP_323	1	10	1
MPP_324	1	10	1
MPP_325	1	5	1
MPP_326	1	5	1
MPP_327	1	5	1
MPP_328	6	10	9
MPP_329	6	10	9
MPP_330	6	2	9
MPP_331	1	10	1
MPP_332	1	5	1
MPP_333	6	10	9
MPP_334	6	10	9
MPP_335	1	5	1
MPP_336	6	10	1
MPP_337	1	5	1
MPP_338	6	10	1
MPP_339	1	5	1
MPP_340	1	5	1
MPP_341	1	5	1
MPP_342	1	5	1
MPP_343	6	10	9
MPP_344	1	10	1
MPP_345	1	5	1
MPP_346	1	5	1
MPP_347	6	10	9
MPP_348	6	10	9
MPP_349	6	10	9
MPP_350	1	10	1
MPP_351	6	10	9
MPP_352	1	5	1
MPP_353	6	10	1
MPP_354	1	5	1
MPP_355	1	10	1
MPP_356	6	2	9
MPP_357	1	5	1
MPP_358	1	5	1
MPP_359	1	5	1
MPP_360	1	5	1
MPP_361	6	10	1
MPP_362	1	5	1
MPP_363	1	5	1
MPP_364	1	10	1
MPP_365	1	5	1
MPP_366	1	10	1
MPP_367	6	10	9
MPP_368	6	2	7
MPP_369	6	10	9
MPP_370	1	10	1
MPP_371	1	5	1
MPP_372	6	10	9
MPP_373	1	10	1
MPP_374	1	10	9
MPP_375	6	10	9
MPP_376	1	5	1
MPP_377	1	5	1
MPP_378	1	5	1
MPP_379	1	5	1
MPP_380	1	5	1
MPP_381	6	10	9
MPP_382	1	5	1
MPP_383	6	2	7
MPP_384	1	10	9
MPP_385	6	2	9
MPP_386	6	10	9
MPP_387	1	5	1
MPP_388	1	5	1
MPP_389	1	10	1
MPP_390	1	10	1
MPP_391	1	5	1
MPP_392	1	5	1
MPP_393	1	10	1
MPP_394	1	5	1
MPP_395	6	10	9
MPP_396	6	10	9
MPP_397	1	5	1
MPP_398	1	5	1
MPP_399	1	5	1
MPP_400	1	5	1
P1_401	5	4	2
P1_402	5	4	2
P1_403	5	4	2
P1_404	5	4	2
P1_405	5	4	2
P1_406	5	4	2
P1_407	5	4	2
P1_408	5	4	2
P1_409	5	4	2
P1_410	5	4	2
P1_411	5	4	2
P1_412	5	4	2
P1_413	5	4	2
P1_414	5	4	2
P1_415	5	4	2
P1_416	5	4	2
P1_417	5	4	2
P1_418	5	4	2
P1_419	5	4	2
P1_420	5	4	2
P1_421	5	4	2
P1_422	5	4	2
P1_423	5	4	2
P1_424	5	4	2
P1_425	5	4	2
P1_426	5	4	2
P1_427	5	4	2
P1_428	5	4	2
P1_429	5	4	2
P1_430	5	4	2
P1_431	5	4	2
P1_432	5	4	2
P1_433	5	4	2
P1_434	5	4	2
P1_435	5	4	2
P1_436	5	4	2
P1_437	5	4	2
P1_438	5	4	2
P1_439	5	4	2
P1_440	5	4	2
P1_441	5	4	2
P1_442	5	4	2
P1_443	5	4	2
P1_444	5	4	2
P1_445	5	4	2
P1_446	5	4	2
P1_447	5	4	2
P1_448	5	4	2
P1_449	5	4	2
P1_450	5	4	2
P1_451	5	4	2
P1_452	5	4	2
P1_453	5	4	2
P1_454	5	4	2
P1_455	5	4	2
P1_456	5	4	2
P1_457	5	4	2
P1_458	5	4	2
P1_459	5	4	2
P1_460	5	4	2
P1_461	5	4	2
P1_462	5	4	2
P1_463	5	4	2
P1_464	5	4	2
P1_465	5	4	2
P1_466	5	4	2
P1_467	5	4	2
P1_468	5	4	2
P1_469	5	4	2
P1_470	5	4	2
P1_471	5	4	2
P1_472	5	4	2
P1_473	5	4	2
P1_474	5	4	2
P1_475	5	4	2
P1_476	5	4	2
P1_477	5	4	2
P1_478	5	4	2
P1_479	5	4	2
P1_480	5	4	2
P1_481	5	4	2
P1_482	5	4	2
P1_483	5	4	2
P1_484	5	4	2
P1_485	5	4	2
P1_486	5	4	2
P1_487	5	4	2
P1_488	5	4	2
P1_489	5	4	2
P1_490	5	4	2
P1_491	5	4	2
P1_492	5	4	2
P1_493	5	4	2
P1_494	5	4	2
P1_495	5	4	2
P1_496	5	4	2
P1_497	5	4	2
P1_498	5	0	2
P1_499	5	4	2
P1_500	5	4	2
P2_501	2	1	4
P2_502	8	9	3
P2_503	2	9	4
P2_504	8	9	3
P2_505	8	9	4
P2_506	8	9	3
P2_507	7	1	4
P2_508	7	1	4
P2_509	2	1	4
P2_510	8	9	3
P2_511	8	9	4
P2_512	2	1	4
