	louvain	kmeans	hc
CMP_1	3	9	11
CMP_2	3	9	11
CMP_3	3	9	11
CMP_4	3	9	11
CMP_5	3	9	11
CMP_6	3	9	11
CMP_7	3	9	11
CMP_8	3	9	11
CMP_9	3	9	11
CMP_10	3	9	11
CMP_11	3	9	11
CMP_12	3	9	11
CMP_13	3	9	11
CMP_14	3	9	11
CMP_15	3	9	11
CMP_16	3	9	11
CMP_17	3	9	11
CMP_18	3	9	11
CMP_19	3	5	0
CMP_20	3	9	11
CMP_21	3	9	11
CMP_22	3	9	11
CMP_23	3	9	11
CMP_24	3	9	11
CMP_25	3	9	11
CMP_26	3	9	11
CMP_27	3	9	11
CMP_28	3	9	11
CMP_29	3	9	11
CMP_30	3	9	11
CMP_31	3	9	11
CMP_32	3	1	11
CMP_33	3	9	11
CMP_34	3	9	11
CMP_35	3	9	11
CMP_36	3	9	11
CMP_37	3	9	11
CMP_38	3	9	11
CMP_39	3	9	11
CMP_40	3	9	11
CMP_41	3	9	11
CMP_42	3	9	11
CMP_43	3	9	11
CMP_44	3	9	11
CMP_45	3	9	11
CMP_46	3	9	11
CMP_47	3	9	11
CMP_48	3	9	11
CMP_49	3	9	11
CMP_50	3	9	11
CMP_51	3	9	11
CMP_52	3	9	11
CMP_53	3	9	11
CMP_54	3	9	0
CMP_55	3	9	11
CMP_56	3	9	11
CMP_57	3	9	11
CMP_58	3	9	11
CMP_59	3	9	11
CMP_60	3	9	11
CMP_61	3	9	11
CMP_62	3	9	11
CMP_63	3	9	11
CMP_64	3	9	11
CMP_65	3	9	11
CMP_66	3	9	11
CMP_67	3	9	11
CMP_68	3	9	11
CMP_69	3	9	11
CMP_70	3	9	11
CMP_71	3	9	11
CMP_72	3	9	11
CMP_73	3	9	11
CMP_74	3	9	11
CMP_75	3	9	11
CMP_76	3	9	11
CMP_77	3	9	11
CMP_78	3	9	11
CMP_79	3	9	11
CMP_80	3	9	11
CMP_81	3	9	11
CMP_82	3	9	11
CMP_83	3	9	11
CMP_84	3	9	11
CMP_85	3	9	11
CMP_86	3	9	11
CMP_87	3	9	11
CMP_88	3	9	11
CMP_89	3	9	11
CMP_90	3	9	11
CMP_91	0	9	11
CMP_92	3	9	11
CMP_93	3	9	11
CMP_94	3	9	11
CMP_95	3	9	11
CMP_96	3	9	11
CMP_97	3	9	11
CMP_98	3	9	11
CMP_99	3	9	11
CMP_100	3	9	11
HSC_101	0	11	0
HSC_102	0	11	0
HSC_103	0	5	0
HSC_104	0	5	0
HSC_105	0	11	0
HSC_106	0	5	0
HSC_107	0	5	0
HSC_108	0	5	0
HSC_109	0	11	0
HSC_110	0	5	0
HSC_111	0	11	0
HSC_112	0	5	0
HSC_113	0	11	0
HSC_114	0	11	0
HSC_115	0	5	0
HSC_116	0	5	0
HSC_117	0	5	0
HSC_118	0	5	0
HSC_119	0	11	0
HSC_120	0	11	0
HSC_121	0	11	0
HSC_122	0	5	0
HSC_123	0	11	0
HSC_124	0	5	0
HSC_125	0	11	0
HSC_126	0	5	0
HSC_127	0	11	0
HSC_128	0	5	0
HSC_129	0	5	0
HSC_130	0	11	0
HSC_131	0	11	0
HSC_132	0	11	0
HSC_133	0	11	0
HSC_134	0	5	0
HSC_135	0	11	0
HSC_136	0	5	0
HSC_137	0	11	0
HSC_138	0	11	0
HSC_139	0	5	0
HSC_140	0	11	0
HSC_141	0	11	0
HSC_142	0	11	0
HSC_143	0	5	0
HSC_144	0	11	0
HSC_145	0	5	0
HSC_146	0	5	0
HSC_147	0	11	0
HSC_148	0	5	0
HSC_149	0	11	0
HSC_150	0	11	0
HSC_151	0	11	0
HSC_152	0	5	0
HSC_153	0	5	0
HSC_154	0	11	0
HSC_155	0	11	0
HSC_156	0	11	0
HSC_157	0	5	0
HSC_158	0	5	0
HSC_159	0	11	0
HSC_160	0	11	0
HSC_161	0	5	0
HSC_162	0	11	0
HSC_163	0	11	0
HSC_164	0	11	0
HSC_165	0	11	0
HSC_166	0	11	0
HSC_167	0	5	0
HSC_168	0	5	0
HSC_169	0	11	0
HSC_170	0	11	0
HSC_171	0	5	0
HSC_172	0	11	0
HSC_173	0	5	0
HSC_174	0	11	0
HSC_175	0	5	0
HSC_176	0	5	0
HSC_177	0	5	0
HSC_178	0	11	0
HSC_179	0	11	0
HSC_180	0	5	0
HSC_181	0	5	0
HSC_182	0	11	0
HSC_183	0	5	0
HSC_184	0	5	0
HSC_185	0	5	0
HSC_186	0	5	0
HSC_187	0	5	0
HSC_188	0	11	0
HSC_189	0	11	0
HSC_190	0	11	0
HSC_191	0	5	0
HSC_192	0	5	0
HSC_193	0	11	0
HSC_194	0	11	0
HSC_195	0	11	0
HSC_196	0	11	0
HSC_197	0	11	0
HSC_198	0	11	0
HSC_199	0	5	0
HSC_200	0	5	0
MEP_201	5	1	7
MEP_202	5	1	7
MEP_203	5	1	7
MEP_204	5	1	7
MEP_205	5	1	7
MEP_206	5	1	7
MEP_207	5	1	7
MEP_208	5	1	7
MEP_209	5	1	7
MEP_210	5	1	7
MEP_211	5	1	7
MEP_212	5	1	7
MEP_213	5	1	7
MEP_214	5	1	7
MEP_215	5	1	7
MEP_216	5	1	7
MEP_217	5	1	7
MEP_218	5	1	7
MEP_219	5	1	7
MEP_220	5	1	7
MEP_221	5	1	7
MEP_222	5	1	7
MEP_223	5	1	7
MEP_224	5	1	7
MEP_225	5	1	7
MEP_226	5	1	7
MEP_227	5	1	7
MEP_228	5	1	7
MEP_229	5	1	7
MEP_230	5	1	7
MEP_231	5	1	7
MEP_232	5	1	7
MEP_233	5	1	7
MEP_234	5	1	7
MEP_235	5	1	7
MEP_236	5	1	7
MEP_237	5	1	7
MEP_238	5	1	7
MEP_239	5	1	7
MEP_240	5	1	7
MEP_241	5	1	7
MEP_242	5	1	7
MEP_243	5	1	7
MEP_244	5	1	7
MEP_245	5	1	7
MEP_246	5	1	7
MEP_247	5	1	7
MEP_248	5	1	7
MEP_249	5	1	7
MEP_250	5	1	7
MEP_251	5	1	7
MEP_252	5	1	7
MEP_253	5	1	7
MEP_254	5	1	7
MEP_255	5	1	7
MEP_256	5	1	11
MEP_257	5	1	7
MEP_258	5	1	7
MEP_259	5	1	7
MEP_260	5	1	7
MEP_261	5	1	7
MEP_262	5	1	7
MEP_263	5	1	7
MEP_264	5	1	7
MEP_265	5	1	7
MEP_266	5	1	7
MEP_267	5	1	7
MEP_268	5	1	7
MEP_269	5	1	7
MEP_270	5	1	7
MEP_271	5	1	7
MEP_272	5	1	7
MEP_273	5	1	7
MEP_274	5	1	7
MEP_275	5	1	7
MEP_276	5	1	7
MEP_277	5	1	7
MEP_278	5	1	7
MEP_279	5	1	7
MEP_280	5	1	7
MEP_281	5	1	7
MEP_282	5	1	7
MEP_283	5	1	7
MEP_284	5	1	7
MEP_285	5	1	7
MEP_286	5	1	7
MEP_287	5	1	7
MEP_288	5	1	7
MEP_289	5	1	7
MEP_290	5	1	7
MEP_291	5	1	7
MEP_292	5	1	7
MEP_293	5	1	7
MEP_294	5	1	7
MEP_295	5	1	7
MEP_296	5	1	7
MEP_297	5	1	7
MEP_298	5	1	7
MEP_299	5	1	7
MEP_300	5	1	7
MPP_301	0	11	0
MPP_302	0	11	0
MPP_303	0	11	0
MPP_304	0	5	0
MPP_305	0	5	0
MPP_306	0	5	0
MPP_307	0	11	0
MPP_308	0	5	0
MPP_309	0	5	0
MPP_310	0	11	0
MPP_311	0	5	0
MPP_312	0	11	0
MPP_313	0	11	0
MPP_314	0	11	0
MPP_315	0	11	0
MPP_316	0	5	0
MPP_317	0	11	0
MPP_318	0	5	0
MPP_319	0	5	0
MPP_320	0	5	0
MPP_321	0	5	0
MPP_322	0	5	0
MPP_323	0	5	0
MPP_324	0	11	0
MPP_325	0	5	0
MPP_326	0	11	0
MPP_327	0	11	0
MPP_328	0	5	0
MPP_329	0	5	0
MPP_330	0	5	0
MPP_331	0	11	0
MPP_332	0	5	0
MPP_333	0	5	0
MPP_334	0	5	0
MPP_335	0	11	0
MPP_336	0	5	0
MPP_337	0	5	0
MPP_338	0	5	0
MPP_339	0	11	0
MPP_340	0	5	0
MPP_341	0	11	0
MPP_342	0	11	0
MPP_343	0	5	0
MPP_344	0	5	0
MPP_345	0	11	0
MPP_346	0	5	0
MPP_347	0	5	0
MPP_348	0	11	0
MPP_349	0	5	0
MPP_350	0	5	0
MPP_351	0	11	0
MPP_352	0	5	0
MPP_353	0	5	0
MPP_354	0	11	0
MPP_355	0	11	0
MPP_356	0	5	0
MPP_357	0	11	11
MPP_358	0	5	0
MPP_359	0	11	0
MPP_360	0	5	0
MPP_361	0	5	0
MPP_362	0	11	0
MPP_363	0	11	0
MPP_364	0	11	0
MPP_365	3	5	0
MPP_366	0	11	0
MPP_367	0	5	0
MPP_368	0	11	0
MPP_369	0	5	0
MPP_370	0	5	0
MPP_371	0	11	0
MPP_372	0	5	0
MPP_373	0	11	0
MPP_374	0	5	0
MPP_375	0	5	0
MPP_376	0	11	0
MPP_377	0	11	0
MPP_378	0	11	0
MPP_379	0	5	0
MPP_380	0	11	0
MPP_381	0	11	0
MPP_382	0	5	0
MPP_383	0	11	0
MPP_384	3	11	0
MPP_385	0	11	0
MPP_386	0	11	0
MPP_387	0	5	0
MPP_388	0	11	0
MPP_389	0	11	0
MPP_390	3	5	0
MPP_391	0	5	0
MPP_392	0	11	0
MPP_393	0	11	0
MPP_394	0	11	0
MPP_395	0	5	0
MPP_396	0	5	0
MPP_397	0	11	0
MPP_398	0	11	0
MPP_399	0	5	0
MPP_400	0	5	0
P1_401	4	2	3
P1_402	4	2	3
P1_403	4	2	3
P1_404	4	2	3
P1_405	4	2	3
P1_406	4	2	3
P1_407	4	2	3
P1_408	4	2	3
P1_409	4	2	3
P1_410	4	2	3
P1_411	4	2	3
P1_412	4	2	3
P1_413	4	2	3
P1_414	4	2	3
P1_415	4	2	3
P1_416	4	2	3
P1_417	4	2	3
P1_418	4	2	3
P1_419	4	2	3
