	louvain	kmeans	hc
CMP_1	7	1	6
CMP_2	7	1	6
CMP_3	7	1	6
CMP_4	7	1	6
CMP_5	7	1	6
CMP_6	7	1	6
CMP_7	7	1	6
CMP_8	7	1	6
CMP_9	7	1	6
CMP_10	7	1	6
CMP_11	7	1	6
CMP_12	7	1	6
CMP_13	7	1	6
CMP_14	7	1	6
CMP_15	7	1	6
CMP_16	7	1	6
CMP_17	7	1	6
CMP_18	7	1	6
CMP_19	7	1	6
CMP_20	7	1	6
CMP_21	7	1	6
CMP_22	7	1	6
CMP_23	7	1	6
CMP_24	7	1	6
CMP_25	7	1	6
CMP_26	7	1	6
CMP_27	7	1	6
CMP_28	7	1	6
CMP_29	7	1	6
CMP_30	7	1	6
CMP_31	7	1	6
CMP_32	7	1	6
CMP_33	7	1	6
CMP_34	7	1	6
CMP_35	7	1	6
CMP_36	7	1	6
CMP_37	7	1	6
CMP_38	7	1	6
CMP_39	7	1	6
CMP_40	7	1	6
CMP_41	7	1	6
CMP_42	7	1	6
CMP_43	7	1	6
CMP_44	7	1	6
CMP_45	7	1	6
CMP_46	7	1	6
CMP_47	7	1	6
CMP_48	7	1	6
CMP_49	7	1	6
CMP_50	7	1	6
CMP_51	7	1	6
CMP_52	7	1	6
CMP_53	7	1	6
CMP_54	7	1	6
CMP_55	7	1	6
CMP_56	7	1	6
CMP_57	7	1	6
CMP_58	7	1	6
CMP_59	7	1	6
CMP_60	7	1	6
CMP_61	7	1	6
CMP_62	7	1	6
CMP_63	7	1	6
CMP_64	7	1	6
CMP_65	7	1	6
CMP_66	7	1	6
CMP_67	7	1	6
CMP_68	7	1	6
CMP_69	7	1	6
CMP_70	7	1	6
CMP_71	7	1	6
CMP_72	7	1	6
CMP_73	7	1	6
CMP_74	7	1	6
CMP_75	7	1	6
CMP_76	7	1	6
CMP_77	7	1	6
CMP_78	7	1	6
CMP_79	7	1	6
CMP_80	7	1	6
CMP_81	7	1	6
CMP_82	7	1	6
CMP_83	7	1	6
CMP_84	7	1	6
CMP_85	7	1	6
CMP_86	7	1	6
CMP_87	7	1	6
CMP_88	7	1	6
CMP_89	7	1	6
CMP_90	7	1	6
CMP_91	7	1	6
CMP_92	7	1	6
CMP_93	7	1	6
CMP_94	7	1	6
CMP_95	7	1	6
CMP_96	7	1	6
CMP_97	7	1	6
CMP_98	7	1	6
CMP_99	7	1	6
CMP_100	7	1	6
HSC_101	0	9	8
HSC_102	11	11	11
HSC_103	0	9	8
HSC_104	0	9	11
HSC_105	11	11	8
HSC_106	0	9	8
HSC_107	11	9	11
HSC_108	11	11	11
HSC_109	11	11	11
HSC_110	0	11	11
HSC_111	11	11	8
HSC_112	11	11	11
HSC_113	11	11	11
HSC_114	0	11	11
HSC_115	11	11	11
HSC_116	0	11	11
HSC_117	0	11	11
HSC_118	0	11	11
HSC_119	0	9	8
HSC_120	11	11	11
HSC_121	0	9	8
HSC_122	0	9	8
HSC_123	0	11	11
HSC_124	0	11	11
HSC_125	0	9	8
HSC_126	0	9	8
HSC_127	11	11	11
HSC_128	11	11	11
HSC_129	0	11	11
HSC_130	11	11	11
HSC_131	11	11	11
HSC_132	0	9	8
HSC_133	11	11	8
HSC_134	11	11	11
HSC_135	11	11	11
HSC_136	0	9	11
HSC_137	11	11	8
HSC_138	0	9	8
HSC_139	11	11	11
HSC_140	11	11	11
HSC_141	11	11	11
HSC_142	0	9	8
HSC_143	11	11	11
HSC_144	11	11	11
HSC_145	0	11	11
HSC_146	0	9	8
HSC_147	11	11	11
HSC_148	11	11	11
HSC_149	11	11	11
HSC_150	11	11	11
HSC_151	11	11	11
HSC_152	0	9	8
HSC_153	0	11	11
HSC_154	11	11	11
HSC_155	11	11	11
HSC_156	0	9	8
HSC_157	11	11	11
HSC_158	11	11	11
HSC_159	11	11	11
HSC_160	0	11	8
HSC_161	11	11	11
HSC_162	0	9	8
HSC_163	11	11	8
HSC_164	0	9	8
HSC_165	0	11	11
HSC_166	11	11	11
HSC_167	11	11	11
HSC_168	0	9	8
HSC_169	11	11	11
HSC_170	11	11	11
HSC_171	0	9	8
HSC_172	11	11	11
HSC_173	11	11	11
HSC_174	0	11	11
HSC_175	11	11	11
HSC_176	0	9	8
HSC_177	11	11	11
HSC_178	0	9	11
HSC_179	0	11	11
HSC_180	0	9	8
HSC_181	0	11	11
HSC_182	11	11	11
HSC_183	0	11	11
HSC_184	0	11	11
HSC_185	11	11	11
HSC_186	0	11	11
HSC_187	0	9	11
HSC_188	0	9	11
HSC_189	0	9	8
HSC_190	11	11	11
HSC_191	0	9	8
HSC_192	0	11	11
HSC_193	11	11	11
HSC_194	0	9	8
HSC_195	11	11	11
HSC_196	0	11	8
HSC_197	0	9	8
HSC_198	0	11	11
HSC_199	0	9	8
HSC_200	0	9	8
MEP_201	4	5	5
MEP_202	4	5	5
MEP_203	4	5	5
MEP_204	4	5	5
MEP_205	4	5	5
MEP_206	4	5	5
MEP_207	4	5	5
MEP_208	4	5	5
MEP_209	4	5	5
MEP_210	4	5	5
MEP_211	4	5	5
MEP_212	4	5	5
MEP_213	4	5	5
MEP_214	4	5	5
MEP_215	4	5	5
MEP_216	4	5	5
MEP_217	4	5	5
MEP_218	4	5	5
MEP_219	4	5	5
MEP_220	4	5	5
MEP_221	4	5	5
MEP_222	4	5	5
MEP_223	4	5	5
MEP_224	4	5	5
MEP_225	4	5	5
MEP_226	4	5	5
MEP_227	4	5	5
MEP_228	4	5	5
MEP_229	4	5	5
MEP_230	4	5	5
MEP_231	4	5	5
MEP_232	4	5	5
MEP_233	4	5	5
MEP_234	4	5	5
MEP_235	4	5	5
MEP_236	4	5	5
MEP_237	4	5	5
MEP_238	4	5	5
MEP_239	4	5	5
MEP_240	4	5	5
MEP_241	4	5	5
MEP_242	4	5	5
MEP_243	4	5	5
MEP_244	4	5	5
MEP_245	4	5	5
MEP_246	4	5	5
MEP_247	4	5	5
MEP_248	4	5	5
MEP_249	4	5	5
MEP_250	4	5	5
MEP_251	4	5	5
MEP_252	4	5	5
MEP_253	4	5	5
MEP_254	4	5	5
MEP_255	4	5	5
MEP_256	4	5	5
MEP_257	4	5	5
MEP_258	4	5	5
MEP_259	4	5	5
MEP_260	4	5	5
MEP_261	4	5	5
MEP_262	4	5	5
MEP_263	4	5	5
MEP_264	4	5	5
MEP_265	4	5	5
MEP_266	4	5	5
MEP_267	4	5	5
MEP_268	4	5	5
MEP_269	4	5	5
MEP_270	4	5	5
MEP_271	4	5	5
MEP_272	4	5	5
MEP_273	4	5	5
MEP_274	4	5	5
MEP_275	4	5	5
MEP_276	4	5	5
MEP_277	4	5	5
MEP_278	4	5	5
MEP_279	4	5	5
MEP_280	4	5	5
MEP_281	4	5	5
MEP_282	4	5	5
MEP_283	4	5	5
MEP_284	4	5	5
MEP_285	4	5	5
MEP_286	4	5	5
MEP_287	4	5	5
MEP_288	4	5	5
MEP_289	4	5	5
MEP_290	4	5	5
MEP_291	4	5	5
MEP_292	4	5	5
MEP_293	4	5	5
MEP_294	4	5	5
MEP_295	4	5	5
MEP_296	4	5	5
MEP_297	4	5	5
MEP_298	4	5	5
MEP_299	4	5	5
MEP_300	4	5	5
MPP_301	11	11	8
MPP_302	0	9	8
MPP_303	0	11	11
