	louvain	kmeans	hc
CMP_1	8	1	9
CMP_2	2	1	5
CMP_3	3	2	4
CMP_4	8	1	8
CMP_5	3	11	8
CMP_6	2	11	8
CMP_7	8	1	8
CMP_8	2	1	11
CMP_9	2	2	3
CMP_10	8	1	8
CMP_11	8	1	11
CMP_12	2	1	11
CMP_13	2	11	8
CMP_14	1	11	5
CMP_15	2	11	5
CMP_16	8	1	5
CMP_17	2	11	8
CMP_18	3	2	4
CMP_19	2	1	11
CMP_20	8	1	5
CMP_21	8	1	11
CMP_22	2	9	3
CMP_23	3	1	5
CMP_24	2	11	8
CMP_25	2	1	4
CMP_26	2	11	5
CMP_27	8	11	8
CMP_28	2	1	3
CMP_29	2	11	3
CMP_30	2	1	5
CMP_31	2	11	5
CMP_32	2	11	3
CMP_33	2	1	9
CMP_34	8	1	11
CMP_35	2	11	5
CMP_36	2	11	11
CMP_37	2	1	8
CMP_38	1	11	5
CMP_39	2	11	8
CMP_40	1	11	5
CMP_41	8	1	11
CMP_42	3	11	5
CMP_43	2	11	8
CMP_44	8	1	5
CMP_45	8	1	11
CMP_46	1	11	8
CMP_47	2	11	8
CMP_48	2	1	8
CMP_49	2	1	5
CMP_50	3	2	4
CMP_51	2	11	8
CMP_52	2	9	8
CMP_53	2	11	8
CMP_54	8	1	9
CMP_55	8	1	5
CMP_56	2	11	5
CMP_57	2	1	11
CMP_58	1	11	5
CMP_59	2	11	5
CMP_60	2	2	5
CMP_61	8	1	11
CMP_62	2	2	5
CMP_63	8	7	8
CMP_64	2	11	8
CMP_65	2	1	11
CMP_66	2	11	5
CMP_67	2	11	8
CMP_68	2	1	11
CMP_69	2	2	4
CMP_70	1	11	8
CMP_71	2	7	5
CMP_72	8	1	11
CMP_73	3	2	5
CMP_74	2	11	5
CMP_75	2	9	8
CMP_76	1	11	8
CMP_77	2	11	8
CMP_78	2	11	11
CMP_79	8	1	5
CMP_80	2	1	5
CMP_81	2	11	8
CMP_82	1	7	5
CMP_83	2	7	8
CMP_84	1	11	5
CMP_85	2	1	11
CMP_86	2	1	3
CMP_87	1	11	8
CMP_88	8	1	11
CMP_89	2	11	11
CMP_90	2	2	5
CMP_91	2	11	8
CMP_92	8	1	9
CMP_93	8	1	5
CMP_94	3	1	11
CMP_95	3	2	5
CMP_96	3	2	4
CMP_97	2	9	5
CMP_98	2	1	11
CMP_99	2	1	5
CMP_100	2	2	5
HSC_101	1	7	9
HSC_102	1	11	8
HSC_103	8	1	9
HSC_104	2	7	9
HSC_105	1	7	8
HSC_106	1	7	9
HSC_107	1	7	9
HSC_108	1	7	9
HSC_109	8	7	8
HSC_110	8	7	9
HSC_111	1	11	8
HSC_112	1	11	8
HSC_113	1	7	9
HSC_114	8	1	9
HSC_115	1	11	8
HSC_116	1	7	8
HSC_117	1	11	8
HSC_118	8	7	9
HSC_119	1	1	11
HSC_120	1	7	9
HSC_121	1	11	8
HSC_122	1	7	8
HSC_123	1	7	8
HSC_124	1	7	11
HSC_125	1	7	8
HSC_126	1	7	5
HSC_127	1	11	8
HSC_128	8	1	8
HSC_129	1	11	8
HSC_130	1	7	8
HSC_131	1	11	8
HSC_132	1	11	8
HSC_133	1	7	8
HSC_134	8	7	8
HSC_135	1	7	9
HSC_136	1	7	9
HSC_137	1	1	9
HSC_138	1	1	9
HSC_139	1	11	8
HSC_140	1	11	4
HSC_141	1	11	9
HSC_142	1	7	9
HSC_143	1	7	9
HSC_144	1	7	8
HSC_145	1	7	11
HSC_146	1	7	9
HSC_147	1	11	8
HSC_148	8	1	8
HSC_149	1	7	5
HSC_150	1	7	9
HSC_151	1	1	9
HSC_152	1	11	11
HSC_153	1	7	9
HSC_154	1	7	9
HSC_155	1	7	8
HSC_156	8	1	9
HSC_157	1	11	8
HSC_158	1	7	8
HSC_159	1	7	8
HSC_160	1	7	9
HSC_161	1	11	8
HSC_162	8	7	11
HSC_163	1	7	8
HSC_164	8	1	9
HSC_165	1	7	9
HSC_166	1	7	9
HSC_167	1	7	8
HSC_168	1	7	9
HSC_169	1	11	8
HSC_170	1	1	11
HSC_171	8	7	9
HSC_172	1	11	8
HSC_173	1	7	8
HSC_174	1	7	8
HSC_175	1	7	9
HSC_176	1	11	8
HSC_177	1	11	8
HSC_178	1	11	8
HSC_179	1	7	9
HSC_180	1	7	9
HSC_181	1	11	8
HSC_182	1	11	8
HSC_183	1	11	8
HSC_184	1	7	5
HSC_185	8	7	9
HSC_186	8	1	9
HSC_187	1	7	9
HSC_188	1	11	8
HSC_189	1	11	8
HSC_190	1	11	8
HSC_191	1	7	8
HSC_192	1	7	9
HSC_193	1	11	8
HSC_194	1	11	8
HSC_195	1	7	8
HSC_196	1	7	8
HSC_197	1	11	11
HSC_198	1	7	8
HSC_199	8	1	11
HSC_200	8	1	9
MEP_201	2	9	3
MEP_202	2	9	3
MEP_203	2	9	3
MEP_204	2	9	3
MEP_205	2	9	3
MEP_206	2	9	3
MEP_207	2	9	3
MEP_208	2	9	3
MEP_209	2	9	3
MEP_210	3	9	3
MEP_211	2	9	3
MEP_212	2	9	3
MEP_213	2	9	3
MEP_214	2	9	3
MEP_215	2	9	3
MEP_216	2	9	3
MEP_217	2	9	3
MEP_218	2	9	3
MEP_219	2	9	3
MEP_220	2	9	3
MEP_221	2	9	3
MEP_222	2	9	3
MEP_223	2	9	3
MEP_224	2	1	3
MEP_225	2	9	3
MEP_226	2	9	3
MEP_227	2	9	3
MEP_228	2	9	5
MEP_229	2	9	3
MEP_230	2	9	3
MEP_231	2	9	3
MEP_232	2	9	3
MEP_233	2	9	3
MEP_234	2	9	3
MEP_235	2	9	3
MEP_236	2	9	3
MEP_237	2	9	3
MEP_238	2	9	3
MEP_239	2	9	3
MEP_240	2	9	3
MEP_241	2	9	3
MEP_242	2	9	3
MEP_243	2	9	3
MEP_244	2	9	3
MEP_245	2	9	3
MEP_246	2	9	4
MEP_247	2	9	3
MEP_248	2	9	3
MEP_249	2	9	3
MEP_250	2	9	3
MEP_251	2	9	3
MEP_252	2	9	3
MEP_253	2	9	3
MEP_254	2	9	3
MEP_255	2	9	3
MEP_256	2	9	3
MEP_257	2	9	3
MEP_258	2	9	3
MEP_259	2	9	3
MEP_260	2	9	3
MEP_261	2	9	3
MEP_262	2	9	3
MEP_263	2	9	3
MEP_264	2	9	3
MEP_265	2	9	3
MEP_266	2	9	3
MEP_267	2	9	3
MEP_268	2	9	3
MEP_269	2	9	3
MEP_270	2	9	3
MEP_271	2	9	3
MEP_272	2	9	3
MEP_273	2	9	3
MEP_274	2	9	3
MEP_275	2	9	3
MEP_276	2	9	3
MEP_277	2	9	3
MEP_278	2	9	3
MEP_279	2	9	3
MEP_280	2	9	5
MEP_281	2	9	3
MEP_282	2	2	4
MEP_283	2	9	3
MEP_284	2	9	3
MEP_285	2	9	3
MEP_286	2	9	3
MEP_287	2	9	3
MEP_288	2	9	3
MEP_289	2	9	3
MEP_290	2	9	3
MEP_291	2	9	3
MEP_292	2	9	3
MEP_293	2	9	3
MEP_294	2	9	3
MEP_295	2	9	3
MEP_296	5	9	3
MEP_297	2	9	3
MEP_298	2	9	3
MEP_299	2	9	3
MEP_300	2	9	3
MPP_301	1	11	5
MPP_302	8	7	9
MPP_303	1	7	9
MPP_304	1	7	9
MPP_305	1	11	8
MPP_306	1	7	9
MPP_307	8	1	11
MPP_308	1	11	8
MPP_309	1	11	8
MPP_310	1	11	8
MPP_311	8	1	11
MPP_312	1	11	5
MPP_313	1	11	8
MPP_314	1	7	8
MPP_315	1	1	8
MPP_316	8	1	11
MPP_317	1	11	8
MPP_318	1	7	8
MPP_319	8	1	11
MPP_320	8	1	9
MPP_321	8	1	9
MPP_322	1	11	5
MPP_323	1	7	8
MPP_324	1	11	8
MPP_325	1	11	8
MPP_326	8	1	9
MPP_327	1	7	9
MPP_328	1	7	5
MPP_329	1	11	8
MPP_330	1	11	8
MPP_331	8	7	9
MPP_332	1	11	8
MPP_333	1	11	8
MPP_334	8	11	8
MPP_335	1	11	8
MPP_336	1	11	8
MPP_337	1	7	8
MPP_338	1	1	9
MPP_339	1	7	11
MPP_340	8	1	9
MPP_341	1	11	8
MPP_342	1	7	8
MPP_343	1	11	5
MPP_344	1	11	8
MPP_345	1	7	9
MPP_346	1	7	8
MPP_347	1	7	9
MPP_348	1	7	8
MPP_349	1	7	8
MPP_350	1	7	9
MPP_351	8	7	9
MPP_352	1	11	8
MPP_353	1	11	8
MPP_354	1	1	8
MPP_355	8	1	9
MPP_356	1	11	8
MPP_357	1	11	5
MPP_358	8	1	9
MPP_359	1	1	8
MPP_360	1	11	8
MPP_361	8	1	5
MPP_362	2	1	3
MPP_363	8	1	11
MPP_364	1	11	8
MPP_365	1	7	8
MPP_366	8	7	9
MPP_367	1	11	8
MPP_368	1	1	11
MPP_369	1	11	8
MPP_370	1	11	8
MPP_371	1	11	5
MPP_372	2	7	5
MPP_373	8	1	11
MPP_374	8	11	5
MPP_375	1	11	8
MPP_376	1	11	8
MPP_377	1	7	8
MPP_378	1	7	8
MPP_379	1	11	8
MPP_380	1	11	8
MPP_381	1	11	8
MPP_382	8	1	8
MPP_383	1	11	8
MPP_384	1	11	5
MPP_385	1	7	9
MPP_386	1	11	9
MPP_387	1	11	5
MPP_388	1	11	8
MPP_389	1	11	8
MPP_390	1	11	8
MPP_391	1	7	8
MPP_392	1	11	8
MPP_393	1	7	9
