	louvain	kmeans	hc
CMP_1	1	8	4
CMP_2	0	2	3
CMP_3	0	7	9
CMP_4	6	0	9
CMP_5	0	2	3
CMP_6	1	8	4
CMP_7	0	0	9
CMP_8	1	8	4
CMP_9	1	8	4
CMP_10	1	0	9
CMP_11	0	2	9
CMP_12	1	8	4
CMP_13	1	8	7
CMP_14	0	0	9
CMP_15	0	0	9
CMP_16	0	7	2
CMP_17	6	0	7
CMP_18	0	0	2
CMP_19	1	8	4
CMP_20	1	8	4
CMP_21	1	9	1
CMP_22	1	7	4
CMP_23	0	2	2
CMP_24	0	2	3
CMP_25	1	8	4
CMP_26	1	0	9
CMP_27	6	7	7
CMP_28	1	8	4
CMP_29	0	7	2
CMP_30	1	7	2
CMP_31	0	0	2
CMP_32	0	2	9
CMP_33	0	0	9
CMP_34	0	8	2
CMP_35	0	2	3
CMP_36	0	2	3
CMP_37	11	2	3
CMP_38	1	8	4
CMP_39	1	8	4
CMP_40	1	8	4
CMP_41	1	0	4
CMP_42	1	8	4
CMP_43	6	7	7
CMP_44	0	2	3
CMP_45	0	2	9
CMP_46	0	0	2
CMP_47	0	2	2
CMP_48	0	0	9
CMP_49	1	8	4
CMP_50	1	8	4
CMP_51	6	0	7
CMP_52	0	2	3
CMP_53	0	2	3
CMP_54	0	0	9
CMP_55	1	8	4
CMP_56	0	2	3
CMP_57	11	2	2
CMP_58	0	7	9
CMP_59	1	7	4
CMP_60	0	2	3
CMP_61	0	0	2
CMP_62	0	2	3
CMP_63	0	7	9
CMP_64	0	7	3
CMP_65	11	7	2
CMP_66	0	0	9
CMP_67	0	0	9
CMP_68	0	2	3
CMP_69	1	8	4
CMP_70	0	2	3
CMP_71	1	8	4
CMP_72	11	2	2
CMP_73	1	8	4
CMP_74	5	2	3
CMP_75	1	0	4
CMP_76	6	2	9
CMP_77	0	2	9
CMP_78	0	0	4
CMP_79	0	2	9
CMP_80	0	2	9
CMP_81	6	2	3
CMP_82	1	8	4
CMP_83	1	8	4
CMP_84	0	2	9
CMP_85	1	7	4
CMP_86	1	8	4
CMP_87	0	0	9
CMP_88	0	2	3
CMP_89	6	7	7
CMP_90	1	8	4
CMP_91	0	0	9
CMP_92	1	8	2
CMP_93	6	0	9
CMP_94	0	2	3
CMP_95	1	8	4
CMP_96	0	0	2
CMP_97	1	8	4
CMP_98	0	0	3
CMP_99	0	2	3
CMP_100	1	0	9
HSC_101	1	7	2
HSC_102	11	7	2
HSC_103	1	8	4
HSC_104	0	0	9
HSC_105	1	8	4
HSC_106	0	0	9
HSC_107	1	8	4
HSC_108	0	8	4
HSC_109	1	8	4
HSC_110	0	2	3
HSC_111	1	8	4
HSC_112	0	0	9
HSC_113	1	8	4
HSC_114	1	8	4
HSC_115	1	0	9
HSC_116	6	7	7
HSC_117	1	8	4
HSC_118	0	2	3
HSC_119	0	2	3
HSC_120	0	0	9
HSC_121	1	7	2
HSC_122	0	0	9
HSC_123	0	0	9
HSC_124	0	2	3
HSC_125	0	0	9
HSC_126	0	0	9
HSC_127	1	0	4
HSC_128	0	7	2
HSC_129	0	7	3
HSC_130	1	8	4
HSC_131	1	8	4
HSC_132	0	0	9
HSC_133	0	2	9
HSC_134	1	0	4
HSC_135	0	2	9
HSC_136	0	2	3
HSC_137	0	0	9
HSC_138	0	0	4
HSC_139	1	8	4
HSC_140	1	8	9
HSC_141	0	2	3
HSC_142	0	0	9
HSC_143	1	0	2
HSC_144	0	2	3
HSC_145	1	0	4
HSC_146	1	8	4
HSC_147	0	0	9
HSC_148	1	8	4
HSC_149	0	0	2
HSC_150	1	0	9
HSC_151	0	0	4
HSC_152	0	0	9
HSC_153	1	8	4
HSC_154	0	0	2
HSC_155	0	2	3
HSC_156	0	0	9
HSC_157	0	0	9
HSC_158	1	0	4
HSC_159	1	8	4
HSC_160	0	0	9
HSC_161	0	0	9
HSC_162	0	0	7
HSC_163	0	2	3
HSC_164	1	8	4
HSC_165	1	8	4
HSC_166	0	0	4
HSC_167	0	2	9
HSC_168	0	0	2
HSC_169	0	0	9
HSC_170	1	8	4
HSC_171	1	8	9
HSC_172	0	2	3
HSC_173	1	8	4
HSC_174	0	2	3
HSC_175	11	7	4
HSC_176	0	0	9
HSC_177	0	0	2
HSC_178	0	0	4
HSC_179	1	8	4
HSC_180	1	8	4
HSC_181	1	8	4
HSC_182	1	8	4
HSC_183	0	2	2
HSC_184	0	0	9
HSC_185	0	8	9
HSC_186	1	8	4
HSC_187	0	0	9
HSC_188	0	2	9
HSC_189	1	8	4
HSC_190	0	0	9
HSC_191	1	8	7
HSC_192	0	0	9
HSC_193	1	8	4
HSC_194	0	7	3
HSC_195	1	0	9
HSC_196	0	0	9
HSC_197	0	0	4
HSC_198	0	0	9
HSC_199	0	2	3
HSC_200	1	0	9
MEP_201	1	8	4
MEP_202	0	2	3
MEP_203	0	2	0
MEP_204	6	1	7
MEP_205	6	7	7
MEP_206	6	9	1
MEP_207	6	11	4
MEP_208	3	9	1
MEP_209	6	7	5
MEP_210	6	11	7
MEP_211	2	1	0
MEP_212	6	7	7
MEP_213	6	0	7
MEP_214	6	0	9
MEP_215	9	11	5
MEP_216	2	1	0
MEP_217	0	0	9
MEP_218	0	0	2
MEP_219	2	1	0
MEP_220	6	7	7
MEP_221	0	7	7
MEP_222	2	1	0
MEP_223	0	1	0
MEP_224	6	8	4
MEP_225	6	11	7
MEP_226	2	1	0
MEP_227	1	11	5
MEP_228	0	2	0
MEP_229	6	7	7
MEP_230	6	7	7
MEP_231	10	7	5
MEP_232	11	11	7
MEP_233	6	11	7
MEP_234	6	11	7
MEP_235	6	7	5
MEP_236	10	7	5
MEP_237	6	7	7
MEP_238	6	11	7
MEP_239	6	11	7
MEP_240	3	9	1
MEP_241	6	7	7
MEP_242	6	11	5
MEP_243	6	7	5
MEP_244	6	9	4
MEP_245	6	11	7
MEP_246	10	5	5
MEP_247	2	2	0
MEP_248	6	7	7
MEP_249	6	11	7
MEP_250	3	6	7
MEP_251	11	9	4
MEP_252	6	11	11
MEP_253	0	2	9
MEP_254	6	7	4
MEP_255	3	9	4
MEP_256	0	0	9
MEP_257	6	7	0
MEP_258	2	1	0
MEP_259	3	9	7
MEP_260	2	1	9
MEP_261	3	6	7
MEP_262	11	7	5
MEP_263	6	7	7
MEP_264	1	8	3
MEP_265	1	7	7
MEP_266	2	1	0
MEP_267	6	11	7
MEP_268	6	7	7
MEP_269	6	6	11
MEP_270	1	8	4
MEP_271	6	7	7
MEP_272	6	11	7
MEP_273	6	1	7
MEP_274	6	11	7
MEP_275	6	11	5
MEP_276	6	7	7
MEP_277	6	7	5
MEP_278	6	7	7
MEP_279	6	11	7
MEP_280	3	9	1
MEP_281	3	6	1
MEP_282	1	0	9
MEP_283	6	11	7
MEP_284	6	7	2
MEP_285	6	7	7
MEP_286	6	7	7
MEP_287	6	7	0
MEP_288	6	2	9
MEP_289	1	9	4
MEP_290	6	11	7
MEP_291	6	11	7
MEP_292	2	1	0
MEP_293	10	9	1
MEP_294	6	7	7
MEP_295	10	4	2
MEP_296	6	7	5
MEP_297	6	9	4
MEP_298	2	2	0
MEP_299	2	1	0
MEP_300	6	9	1
MPP_301	0	2	3
MPP_302	0	0	4
MPP_303	0	0	9
MPP_304	0	7	2
MPP_305	0	0	5
MPP_306	1	8	4
MPP_307	0	0	9
MPP_308	0	2	4
MPP_309	0	2	9
MPP_310	6	11	7
MPP_311	0	7	2
MPP_312	0	2	3
MPP_313	1	8	4
MPP_314	1	0	4
MPP_315	1	0	4
MPP_316	0	0	9
MPP_317	0	2	9
MPP_318	0	2	9
MPP_319	1	8	4
MPP_320	0	2	3
MPP_321	1	8	4
MPP_322	0	2	3
MPP_323	1	0	2
MPP_324	0	2	3
MPP_325	0	2	3
MPP_326	10	9	1
MPP_327	1	8	2
MPP_328	6	7	2
MPP_329	0	2	3
MPP_330	1	8	9
MPP_331	0	0	3
MPP_332	0	0	9
MPP_333	1	8	4
MPP_334	1	8	4
MPP_335	1	8	4
MPP_336	1	8	4
MPP_337	0	2	3
MPP_338	1	0	9
MPP_339	0	2	0
MPP_340	1	0	9
MPP_341	0	8	4
MPP_342	1	9	4
MPP_343	1	8	4
MPP_344	0	0	2
MPP_345	0	0	9
MPP_346	0	8	4
MPP_347	0	2	9
MPP_348	0	0	9
MPP_349	0	7	2
MPP_350	1	8	4
MPP_351	0	2	9
MPP_352	0	0	9
MPP_353	0	2	3
MPP_354	0	0	9
MPP_355	0	7	2
MPP_356	1	8	4
MPP_357	0	0	9
MPP_358	0	0	9
MPP_359	0	0	9
MPP_360	0	0	9
MPP_361	0	2	3
MPP_362	0	7	2
MPP_363	0	7	2
MPP_364	0	2	3
MPP_365	1	8	4
MPP_366	6	7	7
MPP_367	0	2	9
MPP_368	1	8	4
MPP_369	0	2	3
MPP_370	1	8	4
MPP_371	1	8	4
MPP_372	1	0	4
MPP_373	1	0	9
MPP_374	1	0	4
MPP_375	0	0	4
MPP_376	1	0	2
MPP_377	1	8	4
MPP_378	0	0	9
MPP_379	0	0	3
MPP_380	0	0	9
MPP_381	0	2	3
MPP_382	1	8	4
MPP_383	0	2	3
MPP_384	1	0	9
MPP_385	1	0	4
MPP_386	0	0	4
MPP_387	0	2	3
MPP_388	0	0	9
MPP_389	6	7	7
MPP_390	1	8	4
MPP_391	11	2	3
MPP_392	0	7	2
MPP_393	1	8	4
MPP_394	0	2	3
MPP_395	1	8	4
MPP_396	0	0	4
MPP_397	0	2	2
MPP_398	1	8	4
MPP_399	0	0	9
MPP_400	0	2	3
P1_401	1	7	3
P1_402	1	8	9
P1_403	11	2	2
P1_404	1	8	2
P1_405	1	8	2
P1_406	0	2	3
P1_407	0	2	3
P1_408	1	8	2
P1_409	3	9	1
P1_410	11	7	2
P1_411	11	7	7
P1_412	1	8	4
P1_413	0	2	4
P1_414	0	2	2
P1_415	11	2	2
P1_416	1	8	4
P1_417	1	8	4
P1_418	11	7	2
P1_419	0	2	3
P1_420	1	8	4
P1_421	5	2	3
P1_422	0	11	6
P1_423	11	2	2
P1_424	0	2	4
P1_425	1	8	4
P1_426	1	7	2
P1_427	1	8	4
P1_428	0	2	9
P1_429	0	2	3
P1_430	6	7	4
P1_431	11	2	2
P1_432	6	7	10
P1_433	0	2	3
P1_434	1	8	4
P1_435	1	8	2
P1_436	0	2	2
P1_437	1	8	4
P1_438	1	0	2
P1_439	11	7	9
P1_440	1	8	2
P1_441	0	2	3
P1_442	1	8	2
P1_443	11	7	2
P1_444	0	2	3
P1_445	0	2	9
P1_446	1	7	2
P1_447	0	2	3
P1_448	11	2	2
P1_449	1	8	4
P1_450	1	8	4
P1_451	0	2	2
P1_452	11	2	0
P1_453	0	2	3
P1_454	1	8	4
P1_455	2	5	0
P1_456	11	2	9
P1_457	1	8	4
P1_458	0	8	2
P1_459	1	7	3
P1_460	1	8	9
P1_461	1	8	4
P1_462	11	8	2
P1_463	11	2	9
P1_464	0	2	3
P1_465	1	8	4
P1_466	0	2	3
P1_467	1	8	2
P1_468	0	2	9
P1_469	1	8	4
P1_470	0	2	9
P1_471	0	7	2
P1_472	0	2	9
P1_473	1	8	2
P1_474	1	8	4
P1_475	1	8	4
P1_476	1	8	4
P1_477	1	8	9
P1_478	0	2	2
P1_479	0	2	3
P1_480	2	7	2
P1_481	1	8	2
P1_482	0	7	3
P1_483	11	2	2
P1_484	1	8	4
P1_485	0	2	3
P1_486	1	8	4
P1_487	1	8	4
P1_488	1	8	4
P1_489	0	8	2
P1_490	1	8	4
P1_491	11	2	9
P1_492	1	8	2
P1_493	1	8	4
P1_494	11	2	2
P1_495	0	8	2
P1_496	1	8	3
P1_497	0	2	9
P1_498	1	7	4
P1_499	11	7	5
P1_500	1	7	3
P2_501	2	6	0
P2_502	9	11	4
P2_503	2	1	0
P2_504	10	4	8
P2_505	8	4	5
P2_506	9	5	11
P2_507	8	4	5
P2_508	3	6	1
P2_509	3	6	10
P2_510	8	4	0
P2_511	2	11	0
P2_512	9	11	11
P2_513	9	11	5
P2_514	2	1	0
P2_515	8	4	0
P2_516	9	5	0
P2_517	2	1	0
P2_518	2	1	9
P2_519	2	1	0
P2_520	10	4	10
P2_521	11	4	5
