	louvain	kmeans	hc
CMP_1	3	1	5
CMP_2	0	1	0
CMP_3	0	1	8
CMP_4	0	1	0
CMP_5	0	1	0
CMP_6	0	1	0
CMP_7	0	1	0
CMP_8	3	1	0
CMP_9	3	1	5
CMP_10	0	1	2
CMP_11	0	1	0
CMP_12	3	1	0
CMP_13	0	1	0
CMP_14	0	1	8
CMP_15	0	1	0
CMP_16	0	1	2
CMP_17	0	1	8
CMP_18	0	1	0
CMP_19	0	1	8
CMP_20	0	1	2
CMP_21	0	1	2
CMP_22	0	1	0
CMP_23	0	1	2
CMP_24	0	1	0
CMP_25	11	1	8
CMP_26	0	1	8
CMP_27	2	1	0
CMP_28	0	1	0
CMP_29	0	1	0
CMP_30	3	1	8
CMP_31	0	1	8
CMP_32	0	1	2
CMP_33	0	1	2
CMP_34	5	1	8
CMP_35	0	7	0
CMP_36	3	1	5
CMP_37	0	1	0
CMP_38	0	1	0
CMP_39	0	1	0
CMP_40	0	1	0
CMP_41	0	1	0
CMP_42	0	1	2
CMP_43	0	1	5
CMP_44	0	1	0
CMP_45	0	1	0
CMP_46	0	1	2
CMP_47	0	1	0
CMP_48	0	1	5
CMP_49	0	1	7
CMP_50	0	1	0
CMP_51	0	1	0
CMP_52	0	1	2
CMP_53	0	1	8
CMP_54	0	1	2
CMP_55	0	1	8
CMP_56	3	1	0
CMP_57	3	1	8
CMP_58	3	1	8
CMP_59	3	1	0
CMP_60	0	1	0
CMP_61	0	1	0
CMP_62	3	1	8
CMP_63	0	1	0
CMP_64	0	1	0
CMP_65	0	1	8
CMP_66	2	1	8
CMP_67	0	1	0
CMP_68	0	1	5
CMP_69	0	1	0
CMP_70	0	1	0
CMP_71	7	1	0
CMP_72	3	1	8
CMP_73	0	1	8
CMP_74	0	1	2
CMP_75	0	1	0
CMP_76	0	1	8
CMP_77	0	1	0
CMP_78	0	1	0
CMP_79	0	1	8
CMP_80	0	1	0
CMP_81	3	1	0
CMP_82	0	1	0
CMP_83	3	1	0
CMP_84	0	1	0
CMP_85	0	1	5
CMP_86	0	1	5
CMP_87	0	1	0
CMP_88	0	1	2
CMP_89	0	1	0
CMP_90	0	1	0
CMP_91	0	1	8
CMP_92	0	1	0
CMP_93	0	1	0
CMP_94	0	1	0
CMP_95	0	1	0
CMP_96	0	1	8
CMP_97	0	1	0
CMP_98	0	1	2
CMP_99	0	1	0
CMP_100	0	1	8
HSC_101	0	1	2
HSC_102	0	1	2
HSC_103	0	1	2
HSC_104	0	1	2
HSC_105	0	1	2
HSC_106	0	1	2
HSC_107	0	1	5
HSC_108	0	1	8
HSC_109	0	1	2
HSC_110	0	1	2
HSC_111	0	1	2
HSC_112	0	1	2
HSC_113	0	1	2
HSC_114	0	1	2
HSC_115	3	1	5
HSC_116	0	1	8
HSC_117	0	1	5
HSC_118	0	1	2
HSC_119	0	1	2
HSC_120	0	1	2
HSC_121	0	1	2
HSC_122	0	1	2
HSC_123	3	1	8
HSC_124	0	1	2
HSC_125	0	1	8
HSC_126	0	1	5
HSC_127	0	1	2
HSC_128	0	1	2
HSC_129	0	1	2
HSC_130	0	1	2
HSC_131	0	1	2
HSC_132	7	1	5
HSC_133	0	1	2
HSC_134	0	1	2
HSC_135	0	1	2
HSC_136	3	1	8
HSC_137	0	1	2
HSC_138	0	1	2
HSC_139	0	1	2
HSC_140	0	1	2
HSC_141	0	1	2
HSC_142	0	1	2
HSC_143	0	1	2
HSC_144	0	1	8
HSC_145	0	1	5
HSC_146	0	1	2
HSC_147	0	1	2
HSC_148	0	1	8
HSC_149	0	1	2
HSC_150	0	1	2
HSC_151	3	1	2
HSC_152	0	1	8
HSC_153	0	1	5
HSC_154	0	1	5
HSC_155	0	1	2
HSC_156	0	1	2
HSC_157	0	1	2
HSC_158	0	1	2
HSC_159	0	1	2
HSC_160	0	1	2
HSC_161	0	1	5
HSC_162	0	1	2
HSC_163	0	1	2
HSC_164	3	1	2
HSC_165	0	1	2
HSC_166	0	1	2
HSC_167	0	1	5
HSC_168	0	1	2
HSC_169	0	1	5
HSC_170	0	1	2
HSC_171	0	1	2
HSC_172	0	1	8
HSC_173	0	1	2
HSC_174	11	1	2
HSC_175	0	1	2
HSC_176	0	1	8
HSC_177	0	1	2
HSC_178	0	1	0
HSC_179	0	1	2
HSC_180	3	1	8
HSC_181	0	1	2
HSC_182	0	1	2
HSC_183	0	1	8
HSC_184	3	1	2
HSC_185	0	1	2
HSC_186	0	1	2
HSC_187	0	1	2
HSC_188	0	1	8
HSC_189	0	1	2
HSC_190	0	1	5
HSC_191	3	1	0
HSC_192	0	1	2
HSC_193	0	1	2
HSC_194	3	1	0
HSC_195	0	1	2
HSC_196	0	1	2
HSC_197	0	1	2
HSC_198	0	1	2
HSC_199	0	1	8
HSC_200	0	1	8
MEP_201	3	1	0
MEP_202	0	1	0
MEP_203	3	1	0
MEP_204	0	1	0
MEP_205	5	1	0
MEP_206	8	1	0
MEP_207	0	1	0
MEP_208	0	1	0
MEP_209	2	1	0
MEP_210	0	9	8
MEP_211	0	1	0
MEP_212	0	1	0
MEP_213	3	1	8
MEP_214	0	1	0
MEP_215	0	1	0
MEP_216	11	1	0
MEP_217	7	1	0
MEP_218	12	1	0
MEP_219	0	1	0
MEP_220	0	1	0
MEP_221	0	1	0
MEP_222	0	1	0
MEP_223	0	1	0
MEP_224	2	1	0
MEP_225	0	1	0
MEP_226	5	1	7
MEP_227	0	1	0
MEP_228	5	1	7
MEP_229	0	1	8
MEP_230	12	1	0
MEP_231	11	1	0
MEP_232	0	1	0
MEP_233	0	1	0
MEP_234	0	1	5
MEP_235	0	1	0
MEP_236	7	9	0
MEP_237	0	1	0
MEP_238	0	1	0
MEP_239	0	1	0
MEP_240	0	1	0
MEP_241	0	1	0
MEP_242	0	1	0
MEP_243	0	1	0
MEP_244	7	1	0
MEP_245	7	1	5
MEP_246	0	1	0
MEP_247	0	1	0
MEP_248	0	1	0
MEP_249	0	1	3
MEP_250	0	1	0
MEP_251	12	1	0
MEP_252	0	1	0
MEP_253	0	1	0
MEP_254	7	1	8
MEP_255	0	1	0
MEP_256	0	1	0
MEP_257	0	1	0
MEP_258	0	1	0
MEP_259	0	1	0
MEP_260	0	1	0
MEP_261	5	1	0
MEP_262	0	1	0
MEP_263	0	1	0
MEP_264	0	1	0
MEP_265	0	1	0
MEP_266	0	1	0
MEP_267	0	1	0
MEP_268	0	1	2
MEP_269	0	1	0
MEP_270	0	1	0
MEP_271	0	1	0
MEP_272	0	1	7
MEP_273	0	1	0
MEP_274	0	1	0
MEP_275	0	1	0
MEP_276	0	1	0
MEP_277	3	1	0
MEP_278	0	1	0
MEP_279	0	1	5
MEP_280	0	1	0
MEP_281	3	1	0
MEP_282	0	1	8
MEP_283	7	1	0
MEP_284	0	1	7
MEP_285	0	1	0
MEP_286	0	1	0
MEP_287	0	1	0
MEP_288	0	1	7
MEP_289	0	1	0
MEP_290	0	1	8
MEP_291	0	1	0
MEP_292	11	1	0
MEP_293	0	1	0
MEP_294	0	1	0
MEP_295	0	1	0
MEP_296	3	1	7
MEP_297	2	1	0
MEP_298	0	1	0
MEP_299	0	1	0
MEP_300	0	1	0
MPP_301	0	1	5
MPP_302	0	1	8
MPP_303	0	1	2
MPP_304	0	1	8
MPP_305	0	1	5
MPP_306	0	1	8
MPP_307	0	1	2
MPP_308	3	1	0
MPP_309	0	1	2
MPP_310	0	1	8
MPP_311	0	1	0
MPP_312	0	1	2
MPP_313	0	1	0
MPP_314	0	1	2
MPP_315	0	1	8
MPP_316	0	1	2
MPP_317	0	1	2
MPP_318	0	1	8
MPP_319	0	1	2
MPP_320	0	1	8
MPP_321	0	1	8
MPP_322	0	1	2
MPP_323	0	1	2
MPP_324	0	1	2
MPP_325	0	1	2
MPP_326	0	1	8
MPP_327	3	1	0
MPP_328	0	1	5
MPP_329	0	1	2
MPP_330	0	1	2
MPP_331	0	1	2
MPP_332	0	1	2
MPP_333	0	1	2
MPP_334	0	1	2
MPP_335	0	1	8
MPP_336	0	1	8
MPP_337	0	1	2
MPP_338	0	1	2
MPP_339	0	1	5
MPP_340	0	1	0
MPP_341	3	1	2
MPP_342	0	1	2
MPP_343	0	1	5
MPP_344	0	1	2
MPP_345	0	1	2
MPP_346	0	1	8
MPP_347	3	1	2
MPP_348	3	1	2
MPP_349	0	1	8
MPP_350	0	1	2
MPP_351	0	1	2
MPP_352	0	1	2
MPP_353	0	1	5
MPP_354	0	1	2
MPP_355	0	1	2
MPP_356	0	1	2
MPP_357	0	1	2
MPP_358	3	1	8
MPP_359	0	1	2
MPP_360	0	1	5
MPP_361	0	1	5
MPP_362	0	1	2
MPP_363	0	1	2
MPP_364	0	1	8
MPP_365	0	1	2
MPP_366	0	1	2
MPP_367	3	1	2
MPP_368	0	1	2
MPP_369	0	1	2
MPP_370	0	1	2
MPP_371	3	1	2
MPP_372	0	1	2
MPP_373	0	1	5
MPP_374	0	1	8
MPP_375	0	1	8
MPP_376	0	1	8
MPP_377	0	1	2
MPP_378	3	1	2
MPP_379	0	1	2
MPP_380	0	1	2
MPP_381	0	1	2
MPP_382	0	1	2
MPP_383	0	1	2
MPP_384	0	1	8
MPP_385	0	1	5
MPP_386	0	1	2
MPP_387	3	1	2
MPP_388	0	1	2
MPP_389	0	1	2
MPP_390	0	1	2
MPP_391	0	1	5
MPP_392	0	1	2
MPP_393	0	1	8
MPP_394	0	1	2
MPP_395	3	1	8
MPP_396	0	1	2
MPP_397	0	1	8
MPP_398	0	1	8
MPP_399	0	1	2
MPP_400	0	1	5
P1_401	3	1	9
P1_402	3	9	9
P1_403	3	9	7
P1_404	3	1	9
P1_405	3	9	9
P1_406	3	9	9
P1_407	3	9	3
P1_408	3	1	9
P1_409	3	9	7
P1_410	3	1	9
P1_411	5	1	9
P1_412	3	1	9
P1_413	3	1	9
P1_414	3	9	9
P1_415	3	1	9
P1_416	3	9	9
P1_417	3	9	9
P1_418	3	9	9
P1_419	3	9	9
P1_420	3	9	9
P1_421	3	9	9
P1_422	3	1	9
P1_423	3	9	9
P1_424	3	9	9
P1_425	3	9	9
P1_426	3	9	9
P1_427	3	9	9
P1_428	3	1	9
P1_429	3	9	9
P1_430	3	1	9
P1_431	3	9	9
P1_432	3	9	9
P1_433	3	9	7
P1_434	3	9	9
P1_435	3	9	9
P1_436	3	9	9
P1_437	3	1	9
P1_438	3	9	9
P1_439	3	9	7
P1_440	5	9	7
P1_441	3	9	9
P1_442	3	9	7
P1_443	3	9	9
P1_444	3	9	9
P1_445	3	1	9
P1_446	3	9	9
P1_447	3	9	9
P1_448	3	9	9
P1_449	3	9	9
P1_450	3	9	9
P1_451	10	9	7
P1_452	3	9	9
P1_453	3	9	9
P1_454	3	9	9
P1_455	3	9	9
P1_456	3	1	9
P1_457	3	9	9
P1_458	3	9	7
P1_459	3	9	9
P1_460	3	1	9
P1_461	3	9	9
P1_462	3	9	9
P1_463	3	9	9
P1_464	3	1	9
P1_465	3	1	9
P1_466	3	9	9
P1_467	3	9	9
P1_468	3	9	9
P1_469	3	9	9
P1_470	3	9	9
P1_471	3	9	9
P1_472	3	1	7
P1_473	3	1	9
P1_474	3	1	9
P1_475	3	9	9
P1_476	3	9	9
P1_477	3	1	9
P1_478	3	9	9
P1_479	3	9	9
P1_480	3	9	9
P1_481	3	9	7
P1_482	3	9	9
P1_483	3	1	9
P1_484	3	1	9
P1_485	3	9	7
P1_486	3	9	9
P1_487	3	1	7
P1_488	3	9	9
P1_489	3	9	9
P1_490	3	9	9
P1_491	3	9	9
P1_492	3	1	9
P1_493	3	9	9
P1_494	3	9	0
P1_495	3	9	9
P1_496	3	9	7
P1_497	3	1	9
P1_498	3	9	9
P1_499	3	1	9
P1_500	3	9	7
P2_501	5	9	3
P2_502	6	9	3
P2_503	5	9	3
P2_504	5	9	7
P2_505	6	9	7
P2_506	2	9	7
P2_507	8	9	3
P2_508	2	9	3
P2_509	7	9	9
P2_510	6	9	3
P2_511	2	9	7
P2_512	2	9	3
P2_513	5	9	3
P2_514	8	9	3
P2_515	2	9	3
P2_516	2	9	7
P2_517	8	9	3
P2_518	2	9	3
P2_519	2	9	3
P2_520	2	9	7
P2_521	6	9	3
P2_522	10	9	3
P2_523	6	9	3
P2_524	5	9	3
P2_525	2	9	3
P2_526	5	9	3
P2_527	2	9	7
P2_528	7	9	4
P2_529	2	9	7
P2_530	5	9	3
P2_531	2	9	3
P2_532	3	9	3
P2_533	5	9	3
P2_534	2	9	3
P2_535	7	9	3
P2_536	5	9	3
P2_537	6	9	7
P2_538	3	9	7
P2_539	2	9	3
P2_540	6	9	7
P2_541	6	9	3
P2_542	5	9	3
P2_543	6	9	3
P2_544	2	9	3
P2_545	5	9	3
P2_546	2	9	3
P2_547	5	9	3
P2_548	6	9	4
P2_549	4	9	3
P2_550	3	9	3
P2_551	6	9	3
P2_552	2	9	7
P2_553	2	9	3
P2_554	2	9	3
P2_555	10	9	3
P2_556	6	9	3
P2_557	5	9	3
P2_558	2	9	3
P2_559	7	9	3
P2_560	2	9	3
P2_561	5	9	7
P2_562	3	9	3
P2_563	3	9	7
P2_564	2	9	3
P2_565	3	9	3
P2_566	2	9	7
P2_567	2	9	3
P2_568	2	9	3
P2_569	6	9	3
P2_570	5	9	7
P2_571	5	9	7
P2_572	2	9	3
P2_573	5	9	7
P2_574	9	9	3
P2_575	3	9	9
P2_576	2	9	3
P2_577	5	9	3
P2_578	7	9	3
P2_579	2	9	3
P2_580	2	9	7
P2_581	5	9	3
P2_582	3	9	3
P2_583	11	9	3
P2_584	2	9	3
P2_585	7	9	3
P2_586	9	9	3
P2_587	6	9	1
P2_588	7	9	3
P2_589	7	9	7
P2_590	2	9	3
P2_591	5	9	3
P2_592	7	9	3
P2_593	3	9	3
P2_594	3	9	9
P2_595	3	9	3
P2_596	7	9	7
P2_597	5	9	3
P2_598	3	9	3
P2_599	2	9	3
P2_600	2	9	7
P3_601	2	9	3
P3_602	2	9	3
P3_603	2	9	7
P3_604	3	9	3
P3_605	2	9	3
P3_606	7	9	3
P3_607	2	9	7
P3_608	2	9	3
P3_609	9	9	3
P3_610	2	9	3
P3_611	2	9	3
P3_612	9	9	3
P3_613	7	9	3
P3_614	2	9	3
P3_615	2	9	3
P3_616	2	9	1
P3_617	3	9	9
P3_618	2	9	3
P3_619	2	9	3
P3_620	2	9	3
P3_621	9	9	3
P3_622	2	9	7
P3_623	5	9	7
P3_624	5	9	3
P3_625	4	4	3
P3_626	2	9	3
P3_627	2	9	3
P3_628	2	9	3
P3_629	10	9	3
P3_630	2	9	3
P3_631	2	9	3
P3_632	2	9	3
P3_633	2	9	3
P3_634	2	9	10
P3_635	2	9	3
P3_636	5	9	3
P3_637	2	9	3
P3_638	3	9	3
P3_639	2	9	3
P3_640	2	9	3
P3_641	2	9	3
P3_642	2	9	3
P3_643	5	9	3
P3_644	2	9	3
P3_645	6	9	3
P3_646	7	9	3
P3_647	10	9	3
P3_648	2	9	7
P3_649	2	9	3
P3_650	7	9	3
P3_651	8	9	10
P3_652	2	9	3
P3_653	5	9	3
P3_654	8	9	3
P3_655	7	9	3
P3_656	8	9	3
P3_657	2	9	1
P3_658	2	9	3
P3_659	6	9	3
P3_660	6	9	3
P3_661	5	9	3
P3_662	2	9	3
P3_663	2	9	3
P3_664	2	9	3
P3_665	2	9	3
P3_666	6	9	3
P3_667	2	9	7
P3_668	6	9	7
P3_669	5	9	3
P3_670	2	9	4
P3_671	7	9	3
P3_672	2	9	7
P3_673	2	9	3
P3_674	2	5	3
P3_675	2	9	4
P3_676	2	9	3
P3_677	7	9	3
P3_678	9	9	3
P3_679	8	9	3
P3_680	2	9	3
P3_681	2	9	3
P3_682	7	9	3
P3_683	8	9	3
P3_684	6	9	3
P3_685	6	9	3
P3_686	2	9	3
P3_687	2	9	3
P3_688	6	9	3
P3_689	6	9	3
P3_690	2	9	3
P3_691	2	9	3
P3_692	3	9	3
P3_693	3	9	3
P3_694	2	9	1
P3_695	2	9	3
P3_696	5	9	3
P3_697	2	9	3
P3_698	4	9	3
P3_699	2	9	3
P3_700	2	9	3
P4_701	2	9	4
P4_702	7	9	4
P4_703	2	9	3
P4_704	2	9	3
P4_705	2	9	4
P4_706	2	9	7
P4_707	7	9	3
P4_708	2	9	3
P4_709	6	6	3
P4_710	6	9	3
P4_711	2	9	3
P4_712	2	9	3
P4_713	7	9	3
P4_714	2	9	3
P4_715	2	9	3
P4_716	5	9	3
P4_717	2	9	3
P4_718	2	9	3
P4_719	8	9	3
P4_720	2	3	3
P4_721	7	9	3
P4_722	2	9	3
P4_723	2	9	3
P4_724	2	9	3
P4_725	2	9	3
P4_726	2	9	3
P4_727	2	9	3
P4_728	2	9	3
P4_729	2	9	1
P4_730	4	9	3
P4_731	2	9	1
P4_732	2	9	3
P4_733	2	9	3
P4_734	4	9	3
P4_735	2	9	3
P4_736	3	9	3
P4_737	2	9	1
P4_738	2	9	3
P4_739	2	9	3
P4_740	6	9	3
P4_741	8	9	1
P4_742	2	3	3
P4_743	2	9	3
P4_744	2	3	1
P4_745	6	9	3
P4_746	5	9	4
P4_747	2	9	3
P4_748	6	9	3
P4_749	6	3	3
P4_750	2	9	3
P4_751	2	9	3
P4_752	2	9	7
P4_753	8	9	3
P4_754	2	9	7
P4_755	6	9	1
P4_756	7	9	3
P4_757	2	9	3
P4_758	6	9	3
P4_759	7	9	3
P4_760	2	9	3
P4_761	2	9	3
P4_762	5	9	3
P4_763	2	9	3
P4_764	9	9	7
P4_765	2	9	7
P4_766	8	9	3
P4_767	2	9	3
P4_768	2	9	7
P4_769	2	9	3
P4_770	2	9	3
P4_771	2	9	3
P4_772	2	9	3
P4_773	2	9	1
P4_774	5	9	3
P4_775	9	9	1
P4_776	2	9	3
P4_777	2	9	3
P4_778	9	9	3
P4_779	2	9	3
P4_780	8	9	3
P4_781	2	9	3
P4_782	4	9	3
P4_783	8	9	3
P4_784	9	9	4
P4_785	10	9	3
P4_786	2	9	3
P4_787	2	9	3
P4_788	2	9	3
P4_789	2	9	3
P4_790	2	9	3
P4_791	7	9	3
P4_792	2	9	3
P4_793	2	9	3
P4_794	6	9	7
P4_795	8	9	4
P4_796	2	9	3
P4_797	8	9	3
P4_798	2	9	3
P4_799	4	9	3
P4_800	5	9	3
P5_801	4	3	1
P5_802	4	3	1
P5_803	4	3	4
P5_804	4	3	1
P5_805	4	3	1
P5_806	4	3	1
P5_807	4	3	1
P5_808	4	3	1
P5_809	8	3	1
P5_810	1	3	1
P5_811	4	3	10
P5_812	1	3	1
P5_813	4	3	1
P5_814	4	3	1
P5_815	4	3	1
P5_816	4	3	1
P5_817	4	3	1
P5_818	8	3	1
P5_819	4	3	1
P5_820	10	3	3
P5_821	2	3	3
P5_822	4	3	3
P5_823	4	3	1
P5_824	4	3	1
P5_825	4	3	1
P5_826	2	3	1
P5_827	4	3	1
P5_828	4	3	1
P5_829	4	3	1
P5_830	4	3	1
P5_831	4	3	1
P5_832	4	3	1
P5_833	4	3	1
P5_834	4	3	1
P5_835	4	3	1
P5_836	7	3	3
P5_837	4	3	1
P5_838	4	3	1
P5_839	4	3	1
P5_840	4	3	1
P5_841	1	3	1
P5_842	4	3	1
P5_843	4	3	1
P5_844	4	9	1
P5_845	8	3	1
P5_846	2	3	1
P5_847	4	3	1
P5_848	4	3	1
P5_849	4	11	3
P5_850	4	3	1
P5_851	4	3	1
P5_852	1	3	1
P5_853	4	3	1
P5_854	1	3	1
P5_855	4	3	1
P5_856	4	3	1
P5_857	4	3	1
P5_858	8	3	4
P5_859	10	3	10
P5_860	4	3	1
P5_861	4	3	1
P5_862	4	3	1
P5_863	3	3	1
P5_864	4	3	1
P5_865	4	3	1
P5_866	4	3	1
P5_867	6	3	1
P5_868	6	3	1
P5_869	4	3	4
P5_870	4	3	10
P5_871	4	3	1
P5_872	4	3	1
P5_873	4	3	1
P5_874	2	3	1
P5_875	4	3	1
P5_876	4	3	1
P5_877	1	3	1
P5_878	4	3	4
P5_879	6	9	1
P5_880	2	3	1
P5_881	1	3	11
P5_882	4	3	1
P5_883	2	3	1
P5_884	4	3	1
P5_885	4	3	1
P5_886	4	3	1
P5_887	4	3	1
P5_888	4	3	1
P5_889	8	3	11
P5_890	4	3	1
P5_891	4	3	1
P5_892	2	3	1
P5_893	4	3	1
P5_894	4	3	1
P5_895	2	3	1
P5_896	4	3	4
P5_897	4	3	1
P5_898	4	3	1
P5_899	4	3	1
P5_900	4	3	1
P6_901	4	3	1
P6_902	1	3	1
P6_903	8	3	1
P6_904	4	3	1
P6_905	1	3	1
P6_906	6	8	4
P6_907	1	3	1
P6_908	4	3	1
P6_909	4	3	1
P6_910	4	3	1
P6_911	4	3	11
P6_912	7	3	1
P6_913	1	3	1
P6_914	4	3	1
P6_915	2	3	1
P6_916	4	3	1
P6_917	4	3	1
P6_918	1	3	1
P6_919	4	3	1
P6_920	4	3	1
P6_921	4	3	1
P6_922	4	3	1
P6_923	10	3	1
P6_924	4	3	1
P6_925	1	3	1
P6_926	1	3	11
P6_927	4	3	1
P6_928	4	0	10
P6_929	4	3	1
P6_930	2	3	1
P6_931	1	3	1
P6_932	4	3	1
P6_933	4	3	3
P6_934	4	3	1
P6_935	4	3	1
P6_936	4	3	1
P6_937	4	3	10
P6_938	4	3	1
P6_939	2	3	1
P6_940	6	9	11
P6_941	4	3	4
P6_942	1	3	1
P6_943	2	3	4
P6_944	4	3	1
P6_945	4	3	1
P6_946	4	3	1
P6_947	1	3	1
P6_948	4	3	1
P6_949	1	3	1
P6_950	4	3	10
P6_951	1	3	1
P6_952	4	3	11
P6_953	4	3	1
P6_954	1	3	1
P6_955	4	3	1
P6_956	1	3	1
P6_957	1	3	11
P6_958	4	3	1
P6_959	9	3	1
P6_960	4	3	1
P6_961	1	3	1
P6_962	1	3	1
P6_963	4	3	1
P6_964	4	3	1
P6_965	1	3	1
P6_966	3	3	1
P6_967	6	3	7
P6_968	4	3	1
P6_969	4	3	1
P6_970	1	8	10
P6_971	2	3	1
P6_972	4	3	11
P6_973	4	3	1
P6_974	4	3	3
P6_975	1	3	1
P6_976	5	3	1
P6_977	4	3	1
P6_978	1	3	1
P6_979	4	3	10
P6_980	1	3	1
P6_981	1	3	1
P6_982	4	3	11
P6_983	4	3	1
P6_984	1	3	3
P6_985	4	3	1
P6_986	1	3	1
P6_987	4	3	1
P6_988	4	3	1
P6_989	5	8	1
P6_990	4	9	1
P6_991	4	3	1
P6_992	4	3	11
P6_993	4	3	11
P6_994	1	3	10
P6_995	4	3	1
P6_996	8	3	1
P6_997	4	3	1
P6_998	4	3	1
P6_999	4	3	1
P6_1000	4	3	1
P7_1001	1	3	6
P7_1002	4	3	11
P7_1003	1	3	11
P7_1004	1	3	1
P7_1005	1	3	11
P7_1006	1	2	11
P7_1007	1	3	11
P7_1008	1	3	1
P7_1009	1	3	11
P7_1010	1	3	10
P7_1011	1	3	10
P7_1012	1	3	1
P7_1013	1	3	11
P7_1014	1	3	11
P7_1015	1	3	6
P7_1016	1	3	6
P7_1017	1	3	10
P7_1018	1	3	11
P7_1019	1	3	1
P7_1020	1	3	1
P7_1021	1	3	1
P7_1022	1	3	11
P7_1023	1	3	11
P7_1024	1	3	11
P7_1025	1	3	10
P7_1026	1	3	1
P7_1027	1	8	11
P7_1028	1	3	11
P7_1029	1	3	11
P7_1030	1	3	11
P7_1031	1	3	11
P7_1032	1	3	6
P7_1033	1	3	1
P7_1034	1	3	10
P7_1035	1	3	6
P7_1036	1	3	11
P7_1037	1	3	1
P7_1038	1	3	11
P7_1039	1	3	11
P7_1040	1	8	10
P7_1041	1	8	1
P7_1042	1	3	11
P7_1043	1	3	10
P7_1044	1	3	11
P7_1045	1	3	10
P7_1046	1	3	10
P7_1047	1	3	11
P7_1048	1	3	1
P7_1049	1	3	11
P7_1050	4	3	11
P7_1051	1	3	6
P7_1052	1	3	1
P7_1053	1	3	6
P7_1054	1	3	11
P7_1055	4	3	11
P7_1056	1	3	10
P7_1057	1	3	11
P7_1058	1	3	6
P7_1059	1	3	6
P7_1060	1	3	6
P7_1061	1	3	1
P7_1062	1	3	11
P7_1063	1	3	6
P7_1064	1	3	11
P7_1065	1	3	11
P7_1066	1	3	6
P7_1067	1	8	6
P7_1068	1	8	1
P7_1069	1	3	11
P7_1070	1	3	10
P7_1071	1	3	6
P7_1072	1	3	10
P7_1073	1	3	1
P7_1074	1	3	6
P7_1075	4	3	1
P7_1076	1	3	6
P7_1077	1	3	11
P7_1078	1	3	10
P7_1079	1	3	11
P7_1080	1	3	1
P7_1081	1	3	11
P7_1082	1	3	6
P7_1083	1	3	10
P7_1084	1	3	11
P7_1085	1	3	11
P7_1086	1	3	10
P7_1087	1	10	6
P7_1088	4	3	1
P7_1089	1	3	1
P7_1090	1	3	11
P7_1091	1	3	10
P7_1092	1	3	1
P7_1093	4	3	1
P7_1094	1	3	10
P7_1095	1	3	6
P7_1096	1	3	1
P7_1097	1	3	6
P7_1098	1	3	11
P7_1099	1	3	11
P7_1100	1	3	11
P8_1101	1	3	6
P8_1102	1	3	6
P8_1103	1	3	6
P8_1104	1	3	6
P8_1105	1	3	11
P8_1106	1	3	11
P8_1107	1	3	11
P8_1108	1	8	6
P8_1109	1	8	6
P8_1110	1	3	6
P8_1111	1	3	6
P8_1112	1	3	6
P8_1113	1	3	11
P8_1114	1	3	11
P8_1115	1	3	10
P8_1116	1	8	11
P8_1117	1	3	6
P8_1118	1	3	11
P8_1119	1	8	11
P8_1120	1	8	6
P8_1121	1	3	6
P8_1122	1	8	1
P8_1123	1	3	6
P8_1124	1	3	6
P8_1125	1	3	6
P8_1126	1	8	6
