,ARI_Louvain,ARI_kmeans,ARI_HC,AMI_Louvain,AMI_kmeans,AMI_HC,Homogeneity_Louvain,Homogeneity_kmeans,Homogeneity_HC
Control,0.6597203551166297,0.6360971058560111,0.591576460842098,0.79335010181358,0.7803630268133197,0.7567682605060642,0.7895688684490529,0.7774099069468409,0.7552999106812401
BROCKMAN,0.6411551701890469,0.5324344356107796,0.5769586444969719,0.7849556109625905,0.7378196767247521,0.7586992459384134,0.7837496710920486,0.736046857507058,0.7564782587941566
Cusanovich2018,0.692885664653698,0.5926264695584138,0.6183722956749702,0.8144546073487662,0.7879937204030252,0.7717332931386622,0.8178615482646054,0.7775854706454273,0.7600768197851735
cisTopic,0.7215357944156693,0.7205756658079383,0.6547830020862485,0.8249281934059192,0.838677948934908,0.784447963556151,0.8269186213321283,0.835139373526599,0.7876152915814725
chromVAR_kmers,0.39293865455250204,0.36240220455187455,0.3753655739846102,0.5529592521648277,0.5658575321862607,0.5391507608954209,0.5418803516496059,0.5623663441946793,0.5425487519922144
chromVAR_motifs,0.17774869596735277,0.2125737833749623,0.1674907983453308,0.35995936626048447,0.4059000144335442,0.3253842658401722,0.36485588745157144,0.41569732463441067,0.3370289899852661
chromVAR_kmers_pca,0.4074674827442473,0.4053974733995516,0.3524998981440401,0.5542167796652355,0.5834389446481424,0.5376400041243201,0.5479640420953696,0.5909542836672456,0.5410551757039934
chromVAR_motifs_pca,0.21442342889397914,0.1848625136691533,0.15100696859166324,0.3949819859301326,0.37446665325480677,0.32461145310534173,0.399324607822397,0.38642296559729494,0.3342912980801341
GeneScoring,0.002842938681826479,0.17550042796904733,0.17565741238462299,0.004416107168979269,0.2892363368925036,0.28200899690775844,0.02521268128183012,0.2668344592178586,0.2795384943155678
GeneScoring_pca,0.14994545898325082,0.18496485542684032,0.19743231386931145,0.3271868331001485,0.3347765196870714,0.34613024995404795,0.33463510190043494,0.33875020862953964,0.3460180917697557
Cicero,-0.00014255373623597883,0.24290915611602829,0.3082657311992984,0.0009383863705933768,0.45450254966928605,0.4774165080394511,0.0218704361586035,0.37667252162290205,0.45372524363260663
Cicero_pca,0.2935735385669846,0.2628293333274978,0.23418648084170834,0.47035996587030554,0.43328389964374175,0.4219392140133154,0.4615479541197443,0.4337756756801475,0.4074896676378045
SnapATAC,0.8478293453902445,0.846590647584739,0.8153988409965314,0.9077374203122421,0.9062473770093953,0.8947515608608232,0.9079184906471791,0.9081204215740332,0.8954945101940974
Scasat,0.6260847453107485,0.64737530672845,0.6155755111398251,0.7700453732845595,0.7852126066128895,0.7611838647803322,0.7679625353845431,0.7830160605651366,0.7588479924461962
scABC,0.3415784029310239,0.2784195395079997,0.40274651604494105,0.5098232401835282,0.5490588889814227,0.5892720781978783,0.4717249178154702,0.415121066293348,0.5722942015057181
SCRAT,0.5515885504701816,0.4884866301956947,0.4797006055272946,0.7288612124967905,0.7037750926405987,0.706105313074414,0.7284873011032841,0.7023397402785495,0.7009588409365274
SCRAT_pca,0.5374568071316068,0.516056334183499,0.5126021878258995,0.720959633300134,0.7180257259390712,0.7200164678374656,0.7194593963608358,0.718331899066728,0.7160906732933219
