CMP	HSC	MEP	MPP	P1	P2	P3	P4	P5	P6	P7	P8
19	9	18	14	9	16	28	13	39	35	29	19
2	2	29	2	1	39	100	160	303	44	23	7
4	2	2	1	7	12	23	17	19	23	34	23
24	9	20	18	27	20	37	25	33	12	33	16
7	0	5	3	7	3	4	10	45	14	38	13
9	0	7	1	3	8	37	43	54	8	9	3
9	9	17	11	15	24	32	29	22	13	17	5
306	329	257	343	193	367	554	603	1284	562	912	498
42	38	33	41	62	86	139	96	188	74	203	140
3	2	3	0	5	31	40	48	58	50	55	16
61	2	94	5	23	109	121	43	7	6	13	6
2	1	17	0	3	37	84	126	273	128	137	36
72	55	63	76	43	68	120	109	152	97	126	98
39	34	37	51	38	63	77	81	122	42	77	43
220	262	101	297	43	82	116	73	111	75	99	27
36	11	99	11	17	172	328	324	436	170	185	49
45	54	60	49	22	67	81	67	24	9	20	15
131	114	91	119	57	50	61	61	27	15	15	17
42	35	47	40	33	70	128	100	54	46	67	34
54	78	68	58	19	77	108	92	48	28	24	14
90	63	102	78	82	128	148	140	270	161	339	193
50	49	57	42	33	38	77	53	99	39	73	49
90	130	98	127	41	74	137	91	111	72	80	37
109	84	111	82	49	94	122	114	75	34	42	30
34	21	28	21	28	24	38	41	30	15	25	24
88	81	58	105	36	65	100	68	61	15	25	20
28	23	32	24	38	54	96	63	79	46	42	41
143	64	117	84	53	64	64	20	18	21	24	17
222	218	188	252	54	116	177	142	236	153	318	202
79	82	91	94	29	87	88	66	90	62	112	74
91	84	94	94	80	76	93	110	168	91	142	96
33	28	43	27	19	60	91	59	62	41	49	28
11	12	48	8	16	56	97	119	215	75	97	36
20	14	28	31	16	35	44	52	39	23	25	18
129	142	119	145	52	96	126	110	103	45	69	47
62	45	49	60	61	101	187	163	142	46	48	25
171	148	149	183	74	113	160	157	135	42	72	50
141	155	73	155	46	85	124	76	92	41	90	43
39	33	39	32	35	72	93	82	119	57	108	69
29	11	32	17	27	39	53	37	74	49	81	53
143	158	141	175	23	95	171	113	56	20	22	16
59	61	53	78	19	70	105	66	35	28	24	20
18	11	12	12	17	17	12	11	15	8	14	14
738	552	596	566	231	438	684	664	1361	699	1215	636
106	90	95	129	53	86	135	101	81	30	40	34
26	8	29	14	22	21	39	18	23	17	25	19
7	10	10	7	14	14	15	12	10	10	23	23
93	114	85	112	40	96	137	99	49	22	23	20
92	83	82	86	37	46	74	44	41	20	24	28
82	70	55	73	25	32	37	35	28	23	19	20
31	13	24	20	15	15	11	11	13	24	24	14
63	115	33	121	46	31	34	25	27	6	17	16
97	66	53	84	39	94	131	76	19	17	24	21
159	174	74	187	85	42	45	31	17	19	31	21
453	432	387	440	160	255	397	362	734	387	835	610
10	4	101	5	16	145	252	239	126	41	52	20
26	12	86	13	13	99	171	143	22	18	25	12
10	2	66	3	8	75	127	165	135	58	52	24
224	187	157	184	123	202	267	290	516	236	291	157
5	3	12	6	10	37	58	32	25	21	23	26
17	1	21	9	30	29	45	26	34	23	31	24
90	74	85	70	30	95	115	82	81	24	54	36
239	458	172	358	84	206	294	232	238	95	147	96
205	188	210	167	182	240	313	324	510	212	341	234
4	3	7	5	6	40	68	78	128	108	287	157
187	158	169	152	75	188	275	234	500	228	441	273
15	3	23	9	16	44	47	50	31	35	51	47
103	128	76	132	37	26	39	50	78	31	62	46
78	94	68	108	40	47	52	40	76	37	46	34
17	15	31	15	20	43	75	55	51	31	45	31
322	256	210	273	97	146	216	92	47	34	30	30
549	486	537	520	245	409	650	672	1125	571	1234	878
803	630	681	695	241	385	540	585	1083	475	1057	726
26	9	48	9	20	53	84	88	57	37	42	24
240	158	196	191	108	174	216	222	312	204	336	271
21	30	35	38	19	23	31	16	17	20	23	19
67	94	67	108	41	84	79	81	69	19	28	23
105	59	86	64	58	90	111	77	51	35	49	52
11	9	17	8	10	32	41	49	24	16	21	17
7	2	19	4	8	30	42	23	18	12	24	19
15	11	8	14	6	22	39	24	13	15	13	10
14	10	8	20	10	30	28	31	12	14	13	9
192	178	191	204	102	183	293	297	397	152	235	78
140	62	180	88	36	206	287	273	162	54	71	63
55	37	84	41	31	103	148	115	101	31	56	32
64	44	50	67	19	92	110	79	67	27	24	20
345	299	311	335	171	275	391	385	756	305	554	250
60	86	44	85	24	47	63	45	23	22	17	18
38	21	60	22	8	31	45	35	20	14	16	23
75	54	80	89	32	53	59	36	84	38	79	91
216	154	179	185	114	189	236	243	435	204	376	318
43	25	51	32	17	46	58	36	18	17	15	21
150	34	327	45	85	201	290	219	192	56	68	25
474	429	435	483	211	444	697	663	1012	464	903	622
287	225	253	269	133	247	339	322	509	266	449	352
123	86	98	109	33	74	98	91	59	14	29	14
12	1	58	3	15	105	182	210	313	158	272	123
108	99	114	104	54	120	164	166	209	93	158	150
6	2	9	4	16	18	30	15	35	29	35	39
6	3	11	6	16	14	29	19	21	21	40	46
7	4	10	5	13	26	24	28	40	28	52	57
27	5	51	10	15	34	27	25	28	19	35	28
33	46	13	41	14	9	20	11	9	15	62	103
90	82	67	78	109	144	211	296	623	375	641	455
1	3	5	2	8	7	17	13	24	14	27	26
4	1	27	0	6	78	120	119	228	90	181	83
179	171	189	170	177	312	454	469	787	412	776	636
8	0	18	0	5	30	30	43	106	48	82	28
35	33	37	43	67	130	175	138	177	96	166	147
97	96	76	96	53	84	115	88	187	96	182	131
9	1	13	2	13	27	27	38	23	33	22	28
12	3	45	8	24	53	95	81	60	55	114	90
88	11	52	17	118	49	49	33	37	19	32	28
54	50	52	42	32	30	41	41	65	37	54	48
88	109	91	120	45	82	109	79	131	59	78	54
133	179	125	196	58	94	156	106	126	62	101	55
268	135	150	164	101	107	88	60	21	21	29	25
3	1	12	2	4	22	35	44	17	2	11	9
62	9	152	27	12	84	105	74	45	8	21	9
160	119	273	122	35	95	152	141	161	52	62	21
13	4	24	7	6	12	29	9	18	16	8	12
24	7	30	17	10	18	27	21	19	21	18	23
56	18	48	27	13	37	39	19	15	8	15	19
236	227	193	235	97	128	166	167	280	131	257	163
159	156	113	142	58	84	114	90	110	41	94	45
108	106	74	94	11	42	46	39	24	14	25	21
111	66	91	80	74	91	111	108	95	66	100	77
200	176	194	171	128	220	350	317	479	253	446	301
310	247	343	252	216	414	582	509	784	347	539	272
59	54	35	49	20	27	35	36	12	17	22	14
47	63	52	76	28	34	46	39	30	13	16	13
50	27	34	47	16	22	20	24	12	10	14	8
42	29	31	28	11	13	15	24	7	6	4	5
76	67	66	69	36	44	42	47	39	18	17	17
18	16	26	16	19	37	61	45	35	17	28	28
110	246	65	222	55	30	28	14	12	5	30	16
5	0	8	1	10	8	12	5	14	9	27	34
39	15	22	19	26	18	21	11	18	5	14	13
107	1	33	3	25	17	12	6	8	15	14	13
27	5	15	9	9	17	24	11	14	8	13	18
113	103	34	96	25	12	8	8	8	7	10	9
385	358	328	392	217	355	534	395	416	129	166	58
46	57	24	48	26	34	43	27	19	14	23	14
63	5	16	2	146	33	16	10	12	11	26	5
5	3	15	1	16	43	47	40	71	46	61	35
173	127	130	137	133	202	295	257	199	93	220	186
165	153	121	161	91	183	272	261	320	138	264	171
232	182	203	223	116	171	284	271	290	126	283	145
273	436	242	424	115	353	524	520	650	291	446	130
83	67	51	79	53	75	78	57	65	38	48	37
77	90	82	79	105	154	212	181	231	107	185	143
11	10	38	15	9	45	79	68	109	45	47	24
97	219	59	196	43	70	153	94	125	50	63	40
454	441	358	466	164	206	246	273	548	302	516	366
139	121	129	108	40	80	126	124	252	88	107	61
27	11	71	24	13	73	145	137	95	38	36	20
436	221	128	255	330	147	166	133	172	65	114	41
59	69	22	75	23	38	66	47	30	17	25	19
